Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
1,OUTLET,,67.45,0.00283,,,,0.00,,,,,,,,,,,,,,,,,,,1
2,1,,67.45,0.00283,,,,247.14,,,,,,,,,,,,,,,,,,,1
3,2,,67.82,0.00134,,,,75.01,,,,,,,,,,,,,,,,,,,1
4,3,,67.94,0.00097,,,,103.91,,,,,,,,,,,,,,,,,,,1
5,4,,68.30,0.00172,,,,406.73,,,,,,,,,,,,,,,,,,,1
6,5,,70.49,0.01032,,,,242.20,,,,,,,,,,,,,,,,,,,1
7,6,,71.40,0.01571,,,,44.56,,,,,,,,,,,,,,,,,,,1
8,7,,72.86,0.01681,,,,83.33,,,,,,,,,,,,,,,,,,,1
9,8,,75.08,0.01343,,,,335.20,,,,,,,,,,,,,,,,,,,1
10,8,,73.62,0.00734,,,,81.70,,,,,,,,,,,,,,,,,,,1
11,7,,76.82,0.02066,,,,561.48,,,,,,,,,,,,,,,,,,,1
12,6,,71.97,0.01780,,,,106.74,,,,,,,,,,,,,,,,,,,1
13,12,,73.33,0.00384,,,,182.52,,,,,,,,,,,,,,,,,,,1
14,12,,73.28,0.00120,,,,168.92,,,,,,,,,,,,,,,,,,,1
15,14,,76.99,0.02602,,,,341.92,,,,,,,,,,,,,,,,,,,1
16,14,,73.41,0.00290,,,,68.25,,,,,,,,,,,,,,,,,,,1
17,16,,73.50,0.00002,,,,12.49,,,,,,,,,,,,,,,,,,,1
18,17,,73.50,0.00002,,,,27.21,,,,,,,,,,,,,,,,,,,1
19,17,,75.28,0.02095,,,,310.19,,,,,,,,,,,,,,,,,,,1
20,16,,73.55,0.00078,,,,129.85,,,,,,,,,,,,,,,,,,,1
21,20,,73.65,0.00223,,,,44.46,,,,,,,,,,,,,,,,,,,1
22,21,,73.76,0.00163,,,,61.77,,,,,,,,,,,,,,,,,,,1
23,22,,73.88,0.00214,,,,46.80,,,,,,,,,,,,,,,,,,,1
24,23,,76.33,0.02674,,,,299.12,,,,,,,,,,,,,,,,,,,1
25,23,,74.00,0.00230,,,,43.38,,,,,,,,,,,,,,,,,,,1
26,25,,74.71,0.01277,,,,250.55,,,,,,,,,,,,,,,,,,,1
27,25,,74.26,0.00271,,,,184.79,,,,,,,,,,,,,,,,,,,1
28,27,,75.06,0.01355,,,,132.85,,,,,,,,,,,,,,,,,,,1
29,27,,75.40,0.01181,,,,220.21,,,,,,,,,,,,,,,,,,,1
30,22,,74.26,0.00265,,,,301.72,,,,,,,,,,,,,,,,,,,1
31,21,,75.16,0.00607,,,,840.04,,,,,,,,,,,,,,,,,,,1
32,20,,73.71,0.00225,,,,88.54,,,,,,,,,,,,,,,,,,,1
33,5,,68.87,0.00253,,,,118.68,,,,,,,,,,,,,,,,,,,1
34,33,,69.64,0.00175,,,,687.56,,,,,,,,,,,,,,,,,,,1
35,34,,70.30,0.00098,,,,308.32,,,,,,,,,,,,,,,,,,,1
36,35,,70.67,0.00183,,,,273.31,,,,,,,,,,,,,,,,,,,1
37,36,,74.70,0.01077,,,,483.16,,,,,,,,,,,,,,,,,,,1
38,36,,71.00,0.00002,,,,23.31,,,,,,,,,,,,,,,,,,,1
39,38,,74.78,0.01572,,,,292.61,,,,,,,,,,,,,,,,,,,1
40,39,,75.64,0.00118,,,,85.57,,,,,,,,,,,,,,,,,,,1
41,39,,75.65,0.00076,,,,132.58,,,,,,,,,,,,,,,,,,,1
