Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code
Mgmt_1,CROPLAND,Mgmt_1,1982,,,,,,,1
Mgmt_2,CROPLAND,Mgmt_2,1982,,,,,,,1
Mgmt_3,CROPLAND,Mgmt_3,1982,,,,,,,1
Mgmt_4,CROPLAND,Mgmt_4,1982,,,,,,,1
Mgmt_5,CROPLAND,Mgmt_5,1982,,,,,,,1
Mgmt_6,CROPLAND,Mgmt_6,1982,,,,,,,1
Mgmt_7,CROPLAND,Mgmt_7,1982,,,,,,,1
Mgmt_8,CROPLAND,Mgmt_8,1982,,,,,,,1
Mgmt_9,CROPLAND,Mgmt_9,1982,,,,,,,1
Mgmt_10,CROPLAND,Mgmt_10,1982,,,,,,,1
Mgmt_11,CROPLAND,Mgmt_11,1982,,,,,,,1
Mgmt_12,CROPLAND,Mgmt_12,1982,,,,,,,1
Mgmt_13,CROPLAND,Mgmt_13,1982,,,,,,,1
Mgmt_14,CROPLAND,Mgmt_14,1982,,,,,,,1
Mgmt_15,CROPLAND,Mgmt_15,1982,,,,,,,1
Mgmt_16,CROPLAND,Mgmt_16,1982,,,,,,,1
Mgmt_17,CROPLAND,Mgmt_17,1982,,,,,,,1
Mgmt_18,CROPLAND,Mgmt_18,1982,,,,,,,1
Mgmt_19,CROPLAND,Mgmt_19,1982,,,,,,,1
Mgmt_20,CROPLAND,Mgmt_20,1982,,,,,,,1
Mgmt_21,CROPLAND,Mgmt_21,1982,,,,,,,1
Mgmt_22,CROPLAND,Mgmt_22,1982,,,,,,,1
Mgmt_23,CROPLAND,Mgmt_23,1982,,,,,,,1
Mgmt_24,CROPLAND,Mgmt_24,1982,,,,,,,1
Mgmt_25,CROPLAND,Mgmt_25,1982,,,,,,,1
Mgmt_26,CROPLAND,Mgmt_26,1982,,,,,,,1
Mgmt_27,CROPLAND,Mgmt_27,1982,,,,,,,1
Mgmt_28,CROPLAND,Mgmt_28,1982,,,,,,,1
Mgmt_29,CROPLAND,Mgmt_29,1982,,,,,,,1
Mgmt_30,CROPLAND,Mgmt_30,1982,,,,,,,1
Mgmt_31,CROPLAND,Mgmt_31,1982,,,,,,,1
Mgmt_32,CROPLAND,Mgmt_32,1982,,,,,,,1
Mgmt_33,CROPLAND,Mgmt_33,1982,,,,,,,1
