Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
Fertilizer,1,1,1,1,1,,,,,,,,,,,,,1
fallow,1,,,,,,,,,,,,,,,,,1
add current crop res,3,1,1,1,1,,,,,,,,,,,,,1
add other crop res.,4,1,1,1,1,,,,,,,100.,0.0175,0.0175,600.,1550.,3850.,1
add rock mulch,4,1,1,1,1,,,,,,,100.,0.0175,0.0175,10.,30.,60.,1
add straw mulch,4,1,1,1,1,,,,,,,100.,0.008,0.008,600.,1550.,3850.,1
aerial seeding,7,1,1,1,1,,,,,,,,,,,,,1
anhydrous applic.  F,2,1,1,1,1,55.,0.,15.,15.24,6.096,50.8,,,,,,,1
anhydrous applic.  N,2,1,1,1,1,80.,0.,15.,15.24,6.096,50.8,,,,,,,1
bedder/lister/hip  F,2,1,1,1,1,10.,0.,100.,20.32,6.1,101.6,,,,,,,1
bedder/lister/hip  N,2,1,1,1,1,20.,0.,100.,20.32,6.096,101.6,,,,,,,1
begin growth,7,1,1,1,1,,,,,,,,,,,,,1
begin volunteer grow,7,1,1,1,1,,,,,,,,,,,,,1
blade cut matl,10,2,8,1,1,50.,0.,80.,3.81,3.81,50.8,,,,,,,1
blade fill matl,2,8,1,1,1,50.,0.,100.,3.81,3.81,50.8,,,,,,,1
broadcast planter,2,7,1,1,1,90.,0.,5.,10.16,6.096,50.8,,,,,,,1
burn stubble,5,1,1,1,1,,,,,,,,,,,,,1
chemical kill,6,3,8,1,1,,,,,,,,,,,,,1
chis-disk; str.pt. F,2,8,1,1,1,35.,0.,100.,38.1,6.096,101.6,,,,,,,1
chis-disk_other,2,1,1,1,1,35.,0.,100.,38.1,6.096,101.6,,,,,,,1
chis-disk; str.pt. N,2,8,1,1,1,55.,0.,100.,38.1,6.096,152.4,,,,,,,1
chis-disk; sweeps  F,2,8,1,1,1,40.,0.,100.,30.48,6.096,152.4,,,,,,,1
chis-disk; sweeps  N,2,8,1,1,1,65.,0.,100.,30.48,6.096,152.4,,,,,,,1
chis-disk; twst.pt.F,2,8,1,1,1,25.,0.,100.,48.26,6.096,152.4,,,,,,,1
chis-disk; twst.pt.N,2,8,1,1,1,40.,0.,100.,48.26,6.096,152.4,,,,,,,1
chisel plow st. pts,2,8,1,1,1,0.001,0.,100.,38.1,6.096,304.8,,,,,,,1
chisel_Soybean,2,8,1,1,1,15.,0.,100.,38.1,6.096,304.8,,,,,,,1
chisel; str points N,2,8,1,1,1,70.,0.,100.,38.1,6.096,152.4,,,,,,,1
chisel;twisted pts.F,2,8,1,1,1,35.,0.,100.,48.26,6.096,152.4,,,,,,,1
chisel;twisted pts.N,2,8,1,1,1,60.,0.,100.,48.26,6.096,152.4,,,,,,,1
cultivator; field  F,2,1,1,1,1,55.,0.,100.,17.78,6.096,76.2,,,,,,,1
cultivator; field  N,2,8,1,1,1,75.,0.,100.,17.78,6.096,76.2,,,,,,,1
cultivator; row    F,2,1,1,1,1,60.,0.,85.,17.78,6.096,50.8,,,,,,,1
cultivator; row    N,2,1,1,1,1,80.,0.,85.,17.78,6.096,50.8,,,,,,,1
cultivator;ridgetilF,2,1,1,1,1,25.,0.,90.,17.78,6.096,50.8,,,,,,,1
cultivator;ridgetilN,2,1,1,1,1,40.,0.,90.,17.78,6.096,50.8,,,,,,,1
defoliate cotton,4,1,1,1,1,,,,,,,100.,0.015,0.015,1600.,4150.,0.,1
disk har; plow     F,2,8,1,1,1,15.,0.,100.,48.26,6.096,152.4,,,,,,,1
disk har; plow     N,2,8,1,1,1,35.,0.,100.,48.26,6.096,152.4,,,,,,,1
disk har; tandem_Cor,2,8,1,1,1,10.,0.,100.,20.32,6.096,101.6,,,,,,,1
disk har; tandem   N,2,8,1,1,1,50.,0.,100.,20.32,6.096,101.6,,,,,,,1
disk har; tandem ltF,2,8,1,1,1,45.,0.,100.,20.32,6.096,101.6,,,,,,,1
disk har; tandem   F,2,8,1,1,1,30.,0.,100.,20.32,6.096,101.6,,,,,,,1
do-all,2,8,1,1,1,60.,0.,100.,10.16,6.096,76.2,,,,,,,1
drill; dbl dsk opn F,2,7,1,1,1,70.,0.,85.,10.16,6.1,50.8,,,,,,,1
drill; dbl dsk opn N,2,7,1,1,1,90.,0.,85.,10.16,6.096,50.8,,,,,,,1
drill; deep furrow F,2,7,1,1,1,65.,0.,90.,12.7,6.096,76.2,,,,,,,1
drill; deep furrow N,2,7,1,1,1,70.,0.,90.,12.7,6.096,76.2,,,,,,,1
