Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
CaA,1,430.,1.55,.185,.698,.117,,.06699999,0.0,10.152,.291,.14,,,,4.8,.0225,,,,,,1
CaA,2,580.,1.55,.2,.686,.114,,.066,0.0,33.012,.287,.135,,,,5.3,.0125,,,,,,1
CaA,3,760.,1.71,.285,.644,.07099999,,.029,0.0,3.312,.318,.181,,,,4.6,.0075,,,,,,1
CaA,4,1020.,1.52,.21,.6769999,.113,,.066,0.0,3.312,.279,.125,,,,5.3,.0025,,,,,,1
CaA,5,1650.,1.57,.24,.6669999,.093,,.065,0.0,3.312,.294,.145,,,,6.5,.001,,,,,,1
CaA,6,1830.,1.62,.2,.686,.114,,.066,0.0,10.152,.281,.128,,,,5.7,.0025,,,,,,1
CaB,1,430.,1.55,.185,.698,.117,,.06699999,0.0,10.152,.291,.14,,,,4.8,.0225,,,,,,1
CaB,2,640.,1.55,.2,.686,.114,,.066,0.0,33.012,.287,.135,,,,5.3,.0125,,,,,,1
CaB,3,760.,1.71,.285,.644,.07099999,,.029,0.0,3.312,.318,.181,,,,4.6,.0075,,,,,,1
CaB,4,1630.,1.52,.21,.6769999,.113,,.066,0.0,3.312,.279,.125,,,,5.3,.0025,,,,,,1
CaB,5,1730.,1.57,.24,.6669999,.093,,.065,0.0,3.312,.294,.145,,,,6.5,.001,,,,,,1
CaB,6,1830.,1.62,.2,.686,.114,,.066,0.0,10.152,.281,.128,,,,5.7,.0025,,,,,,1
Cm,1,200.,1.52,.115,.6769999,.208,,.134,0.0,33.012,.242,.08399999,,,,5.,.0125,,,,,,1
Cm,2,430.,1.55,.185,.698,.117,,.06699999,0.0,10.152,.291,.14,,,,4.8,.0225,,,,,,1
Cm,3,760.,1.71,.285,.644,.07099999,,.029,0.0,3.312,.318,.181,,,,4.6,.0075,,,,,,1
Cm,4,1570.,1.52,.115,.6769999,.208,,.134,0.0,33.012,.226,.069,,,,5.,.0015,,,,,,1
Cm,5,1830.,1.62,.2,.686,.114,,.066,0.0,10.152,.281,.128,,,,5.7,.0025,,,,,,1
Co,1,200.,1.52,.115,.6769999,.208,,.134,0.0,33.012,.242,.08399999,,,,5.,.0125,,,,,,1
Co,2,430.,1.55,.185,.698,.117,,.06699999,0.0,10.152,.291,.14,,,,4.8,.0225,,,,,,1
Co,3,760.,1.71,.285,.644,.07099999,,.029,0.0,3.312,.318,.181,,,,4.6,.0075,,,,,,1
Co,4,1570.,1.52,.115,.6769999,.208,,.134,0.0,33.012,.226,.069,,,,5.,.0015,,,,,,1
Co,5,1830.,1.62,.2,.686,.114,,.066,0.0,10.152,.281,.128,,,,5.7,.0025,,,,,,1
Fa,1,130.,1.52,.12,.673,.207,,.133,0.0,33.012,.255,.097,,,,5.,.02,,,,,,1
Fa,2,1270.,1.41,.12,.673,.207,,.133,0.0,33.012,.246,.087,,,,5.,.0175,,,,,,1
Fa,3,1520.,1.55,.14,.718,.142,,.086,0.0,33.012,.182,.085,,,,5.,.0015,,,,,,1
Fa,4,1650.,1.44,.19,.694,.116,,.06699999,0.0,26.172,.264,.107,,,,5.,.002,,,,,,1
Fl,1,130.,1.52,.12,.673,.207,,.133,0.0,33.012,.255,.097,,,,5.,.02,,,,,,1
Fl,2,1270.,1.41,.12,.673,.207,,.133,0.0,33.012,.246,.087,,,,5.,.0175,,,,,,1
Fl,3,1520.,1.55,.14,.718,.142,,.086,0.0,33.012,.182,.085,,,,5.,.0015,,,,,,1
Fl,4,1650.,1.44,.19,.694,.116,,.06699999,0.0,26.172,.264,.107,,,,5.,.002,,,,,,1
GrB2,1,130.,1.52,.14,.718,.142,,.086,0.0,33.012,.256,.098,,,,5.3,.0125,,,,,,1
GrB2,2,530.,1.52,.24,.6669999,.093,,.065,0.0,33.012,.293,.143,,,,5.3,.003,,,,,,1
GrB2,3,610.,1.5,.14,.718,.142,,.086,0.0,33.012,.241,.083,,,,5.3,.002,,,,,,1
GrB2,4,1070.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,5.3,.001,,,,,,1
GrB2,5,1520.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,6.2,.001,,,,,,1
GrB3,1,130.,1.52,.14,.718,.142,,.086,0.0,33.012,.256,.098,,,,5.3,.0125,,,,,,1
GrB3,2,530.,1.52,.24,.6669999,.093,,.065,0.0,33.012,.293,.143,,,,5.3,.003,,,,,,1
GrB3,3,610.,1.5,.14,.718,.142,,.086,0.0,33.012,.241,.083,,,,5.3,.002,,,,,,1
GrB3,4,1070.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,5.3,.001,,,,,,1
GrB3,5,1520.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,6.2,.001,,,,,,1
GrC2,1,130.,1.52,.12,.673,.207,,.133,0.0,33.012,.255,.097,,,,5.,.02,,,,,,1
GrC2,2,530.,1.52,.24,.6669999,.093,,.065,0.0,33.012,.293,.143,,,,5.3,.003,,,,,,1
GrC2,3,610.,1.5,.14,.718,.142,,.086,0.0,33.012,.241,.083,,,,5.3,.002,,,,,,1
GrC2,4,1070.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,5.3,.001,,,,,,1
GrC2,5,1520.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,6.2,.001,,,,,,1
GrC2,6,1520.,1.55,.14,.718,.142,,.086,0.0,33.012,.182,.085,,,,5.,.0015,,,,,,1
GrC3,1,80.,1.52,.14,.718,.142,,.086,0.0,33.012,.256,.098,,,,5.3,.0125,,,,,,1
GrC3,2,130.,1.52,.12,.673,.207,,.133,0.0,33.012,.255,.097,,,,5.,.02,,,,,,1
GrC3,3,480.,1.52,.24,.6669999,.093,,.065,0.0,33.012,.293,.143,,,,5.3,.003,,,,,,1
GrC3,4,560.,1.5,.14,.718,.142,,.086,0.0,33.012,.241,.083,,,,5.3,.002,,,,,,1
GrC3,5,1020.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,5.3,.001,,,,,,1
GrC3,6,1520.,1.6,.235,.6709999,.094,,.066,0.0,3.312,.294,.145,,,,6.2,.001,,,,,,1
GrC3,7,1520.,1.55,.14,.718,.142,,.086,0.0,33.012,.182,.085,,,,5.,.0015,,,,,,1
GrD2,1,130.,1.52,.12,.673,.207,,.133,0.0,33.012,.255,.097,,,,5.,.02,,,,,,1
GrD2,2,530.,1.52,.24,.6669999,.093,,.065,0.0,33.012,.293,.143,,,,5.3,.003,,,,,,1
