Soil_ID,Hydrologic_Soil_Group,K_Factor,Albedo,Time_to_Consolidation,Impervious_Depth,Specific_Gravity,Initial_Soil_Conditions_ID,Soil_Name,Soil_Texture,Number_of_Soil_Layers,Input_Units_Code
CaA,C,0.0645,,7,,2.65,,Calloway,silt loam,3,1
CaB,C,0.0645,,7,,2.65,,Calloway,silt loam,3,1
Cm,B,0.0566,,7,,2.65,,Collins,silt loam,2,1
Co,C,0.0566,,7,,2.65,,Collins,silt loam,2,1
Fa,D,0.0645,,7,1000,2.65,,Falaya,silt loam,2,1
Fl,D,0.0645,,7,1000,2.65,,Falaya,silt loam,2,1
GrB2,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
GrB3,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
GrC2,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
GrC3,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
GrD2,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
GrD3,C,0.0645,,7,457,2.65,,Grenada,silt loam,5,1
He,D,0.0645,,7,,2.65,,Henry,silt loam,4,1
LoB2,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoB3,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoC,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoC2,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoC3,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoD,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoD2,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoD3,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoE2,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
LoE3,C,0.0645,,7,356,2.65,,Loring,silt loam,4,1
GS,C,0.0645,,7,356,2.65,,Loring_LoE3,silt loam,4,1
GU,C,0.0645,,7,356,2.65,,Loring_LoE3,silt loam,4,1
MlF2,B,0.0645,,7,,2.65,,Memphis,silt loam,3,1
MlF3,B,0.0645,,7,,2.65,,Memphis,silt loam,3,1
MnF2,B,0.0645,,7,,2.65,,Memphis,silt loam,3,1
