Crop_ID,Yield_Units_Harvested,Residue_Mass_Ratio,Surface_Decomp,Sub-surface_Decomp,USLE_C_Fctr,Moisture_Depletion,Residue_Adjust_Amt,Crop_Residue_30%,Crop_Residue_60%,Crop_Residue_90%,Annual_Crop_Code,Legume_Code,Senescence_Code,Yield_Unit_Name,Yield_Unit_Mass,Harvest_C-N_Ratio,Pre-Harvest_C-N_Ratio,Harvest_Water,N_Uptake,P_Uptake,Harvest_C-P_Ratio,Pre-Harvest_C-P_Ratio,Growth_Time_Ini,Growth_Time_Dev,Growth_Time_Mat,Growth_Time_Sen,Growth_N_Uptake_Ini,Growth_N_Uptake_Dev,Growth_N_Uptake_Mat,Growth_N_Uptake_Sen,Growth_P_Uptake_Ini,Growth_P_Uptake_Dev,Growth_P_Uptake_Mat,Growth_P_Uptake_Sen,Basal_Crop_Coef_Ini,Basal_Crop_Coef_Dev,Basal_Crop_Coef_Mid,Basal_Crop_Coef_End,Basal_Crop_Coef_Climate_Adjust,Input_Units_Code
corn; 125 bu,7861.,1.,0.016,0.016,,,224.36,1197.,3023.25,7617.,0,N,Y,kg,1.,97.,97.,0.5,0.022,0.0044,300.,300.,0.18,0.41,0.71,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.15,,1.15,0.15,,1
sorghum,160.6,1.,0.016,0.016,,,,1177.9,3028.9,7572.2,,,,bushels,25.4,97.,97.,0.5,0.022,0.0044,300.,300.,0.1,0.3,0.8,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,,,,,,1
sorghum; silage,49.42,0.0125,0.016,0.016,,,,1065.71,2692.32,6786.89,,,,tons,908.,97.,97.,0.5,0.022,0.0044,300.,300.,0.1,0.3,0.8,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,,,,,,1
wheat; winter se,98.84,1.7,0.008,0.008,,,,673.08,1738.79,4318.93,,,,bushels,27.2,30.,30.,,0.06,0.002,300.,300.,0.1,0.3,0.8,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,,,,,,1
corn; 112 bu,276.752,1.,0.016,0.016,,,,1065.71,2692.32,6786.89,,,,bushels,25.4,97.,97.,0.5,0.021,0.0043,300.,300.,0.18,0.41,0.71,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.15,,1.15,0.15,,1
weeds,988.4,1.,0.019,0.019,,,,718.,1851.,4600.,,,,lbs,0.454,84.,84.,0.,0.002,0.0002,100.,100.,0.07,0.19,0.74,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.3,,0.7,0.7,,1
Soybeans,56.09,1.5,0.025,0.025,,1.,,755.,2011.4,4845.,1,,,bu,27.2,97.,97.,,0.07,0.0044,300.,300.,0.14,0.39,0.82,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.15,,1.1,0.3,,1
Cotton,1853.25,6.,0.015,0.015,,1.,,2013.,5222.,0.,1,,,lbs,0.454,97.,97.,,0.06,0.0044,300.,300.,0.17,0.44,0.75,1.,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.15,,1.1,0.4,,1
pasture_bromegrass,3.7065,0.15,0.017,0.017,,,,717.312,1849.32,4595.28,,,,tons,907.18,,,,,,,,0.07,0.19,0.74,1.,,,,,,,,,0.3,,0.7,0.7,,1
Urban_Rotation,3.7065,0.15,0.017,0.017,,,,717.312,1849.32,4595.28,,,,tons,907.18,,,,,,,,0.07,0.19,0.74,1.,,,,,,,,,0.75,,0.8,0.8,,1
Forest_Rotation,3.7065,0.15,0.017,0.017,,,,717.312,1849.32,4595.28,,,,tons,907.18,,,,,,,,0.11,0.16,0.84,1.,,,,,,,,,0.4,,1.05,0.6,,1
