Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
CaA,1,580.,1.55,.2,.686,.114,,.066,0.0,33.,.287,.135,N,,0.0,5.3,.0207,,,,,4,1
CaA,2,1020.,1.52,.21,.677,.113,,.066,0.0,3.3,.279,.125,N,,0.0,5.3,.0042,,,,,4,1
CaA,3,1650.,1.57,.24,.667,.093,,.065,0.0,3.3,.294,.145,N,,0.0,6.5,.0017,,,,,4,1
CaB,1,640.,1.55,.2,.686,.114,,.066,0.0,33.,.287,.135,N,,0.0,5.3,.0207,,,,,4,1
CaB,2,1630.,1.52,.21,.677,.113,,.066,0.0,3.3,.279,.125,N,,0.0,5.3,.0042,,,,,4,1
CaB,3,1730.,1.57,.24,.667,.093,,.065,0.0,3.3,.294,.145,N,,0.0,6.5,.0017,,,,,4,1
Cm,1,200.,1.52,.115,.677,.208,,.134,0.0,33.,.242,.084,N,,0.0,5.,.0207,,,,,4,1
Cm,2,1570.,1.52,.115,.677,.208,,.134,0.0,33.,.226,.069,N,,0.0,5.,.0025,,,,,4,1
Co,1,200.,1.52,.115,.677,.208,,.134,0.0,33.,.242,.084,N,,0.0,5.,.0207,,,,,4,1
Co,2,1570.,1.52,.115,.677,.208,,.134,0.0,33.,.226,.069,N,,0.0,5.,.0025,,,,,4,1
Fa,1,1270.,1.41,.12,.673,.207,,.133,0.0,33.,.246,.087,N,,0.0,5.,.029,,,,,4,1
Fa,2,1650.,1.44,.19,.694,.116,,.067,0.0,26.2,.264,.107,N,,0.0,5.,.0033,,,,,4,1
Fl,1,1270.,1.41,.12,.673,.207,,.133,0.0,33.,.246,.087,N,,0.0,5.,.029,,,,,4,1
Fl,2,1650.,1.44,.19,.694,.116,,.067,0.0,26.2,.264,.107,N,,0.0,5.,.0033,,,,,4,1
GrB2,1,130.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrB2,2,530.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrB2,3,610.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrB2,4,1070.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
GrB2,5,1520.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,6.2,.0017,,,,,4,1
GrB3,1,130.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrB3,2,530.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrB3,3,610.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrB3,4,1070.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
GrB3,5,1520.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,6.2,.0017,,,,,4,1
GrC2,1,130.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrC2,2,530.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrC2,3,610.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrC2,4,1070.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
GrC2,5,1520.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,6.2,.0017,,,,,4,1
GrC3,1,80.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrC3,2,480.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrC3,3,560.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrC3,4,1020.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
GrC3,5,1520.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,6.2,.0017,,,,,4,1
GrD2,1,130.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrD2,2,530.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrD2,3,610.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrD2,4,1070.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
GrD2,5,1520.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,6.2,.0017,,,,,4,1
GrD3,1,130.,1.52,.14,.718,.142,,.086,0.0,33.,.256,.098,N,,0.0,5.3,.0207,,,,,4,1
GrD3,2,530.,1.52,.24,.667,.093,,.065,0.0,33.,.293,.143,N,,0.0,5.3,.005,,,,,4,1
GrD3,3,610.,1.5,.14,.718,.142,,.086,0.0,33.,.241,.083,N,,0.0,5.3,.0033,,,,,4,1
GrD3,4,1070.,1.6,.235,.671,.094,,.066,0.0,3.3,.294,.145,N,,0.0,5.3,.0017,,,,,4,1
