Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924

Simulation Start Month,Simulation Start Day,Simulation Start Year,Simulation End Month,Simulation End Day,Simulation End Year,Initialization Years,Simulation Years,Total Rainfall Events,Average Rainfall Events per Year,Surface Runoff Events Exceeding "0.0000" [mm] (Included as runoff events),Surface Runoff Events Exceeding "0.0000" [mm] (Met user-specified limits and written to user-requested output files)
01,01,0001,12,31,0010,2,10.000,1087,108.70,1362,0,
Corresponding sediment events were not requested.

AVERAGE ANNUAL FILE: WATER LOADING [Unit Area per Annum]
Watershed Average Annual Precipitation: 1416.60 [mm]           Watershed Average Annual Loading at Outlet: 611.915 [mm]
Subsurface Direct Yield: 0.025 [mm]         Surface Direct Yield: 611.890 [mm]         Total Direct Yield: 611.916 [mm]

,,Reach ID,Reach ID, 
,,OUTLET,
Cell ID,Drainage Area [ha],Up [mm/yr],Dn [mm/yr], 
22,37.54,650.988,,
23,30.54,650.266,,
31,33.65,395.478,,
32,9.37,651.385,,
33,33.09,653.101,,
41,30.17,655.540,,
42,14.91,635.962,,
43,30.25,652.833,,
Totals [mm/yr],,611.915,
Area [ha],   219.520,219.520,,
