Crop_Growth_ID,Root_Mass,Canopy_Cover,Rain_Fall_Height,Input_Units_Code
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,40,0.1,0.1,0
corn;_grain__18_in_1,160,0.25,0.5,0
corn;_grain__18_in_1,320,0.7,1,0
corn;_grain__18_in_1,480,0.85,1.7,0
corn;_grain__18_in_1,760,0.95,2.4,0
corn;_grain__18_in_1,950,0.95,2.9,0
corn;_grain__18_in_1,950,0.95,2.9,0
corn;_grain__18_in_1,950,0.95,2.9,0
corn;_grain__18_in_1,950,0.95,2.9,0
corn;_grain__18_in_1,950,0.85,2.9,0
corn;_grain__18_in_1,950,0.65,2.9,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain__18_in_1,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,40,0.05,0.1,0
corn;_grain,160,0.1,0.5,0
corn;_grain,320,0.5,1,0
corn;_grain,480,0.75,1.7,0
corn;_grain,760,0.95,2.4,0
corn;_grain,950,0.95,2.9,0
corn;_grain,950,0.95,2.9,0
corn;_grain,950,0.95,2.9,0
corn;_grain,950,0.95,2.9,0
corn;_grain,950,0.85,2.9,0
corn;_grain,950,0.65,2.9,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
corn;_grain,0,0,0,0
weeds;_exposed_after,150,0.4,0.2,0
weeds;_exposed_after,400,0.6,0.2,0
weeds;_exposed_after,500,0.8,0.3,0
weeds;_exposed_after,500,0.8,0.3,0
weeds;_exposed_after,500,0.8,0.3,0
weeds;_exposed_after,500,0.8,0.3,0
weeds;_exposed_after,500,0.8,0.3,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
weeds;_exposed_after,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,70,0.05,0.1,0
wheat;_winter;_cover,200,0.15,0.195344,0
wheat;_winter;_cover,300,0.3,0.3,0
wheat;_winter;_cover,400,0.45,0.5,0
wheat;_winter;_cover,480,0.55,0.6,0
wheat;_winter;_cover,530,0.65,0.7,0
wheat;_winter;_cover,590,0.75,0.7,0
wheat;_winter;_cover,600,0.85,0.8,0
wheat;_winter;_cover,660,0.95,0.9,0
wheat;_winter;_cover,710,0.95,1,0
wheat;_winter;_cover,800,0.95,1.17206,0
wheat;_winter;_cover,890,0.95,1.26973,0
wheat;_winter;_cover,1070,0.95,1.46508,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
wheat;_winter;_cover,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,40,0.05,0.1,0
corn;_silage,160,0.1,0.5,0
corn;_silage,320,0.5,1,0
corn;_silage,480,0.75,1.7,0
corn;_silage,760,0.95,2.4,0
corn;_silage,950,0.95,2.9,0
corn;_silage,950,0.95,2.9,0
corn;_silage,950,0.95,2.9,0
corn;_silage,950,0.95,2.9,0
corn;_silage,950,0.85,2.9,0
corn;_silage,950,0.65,2.9,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
corn;_silage,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,25,0.05,0.1,0
wheat;_winter;_silag,85.25,0.2,0.2,0
wheat;_winter;_silag,209.25,0.35,0.2,0
wheat;_winter;_silag,209.25,0.35,0.2,0
wheat;_winter;_silag,209.25,0.35,0.2,0
wheat;_winter;_silag,217,0.35,0.25,0
wheat;_winter;_silag,224.75,0.4,0.3,0
wheat;_winter;_silag,240.25,0.45,0.5,0
wheat;_winter;_silag,279,0.55,1,0
wheat;_winter;_silag,457.25,0.8,1.23538889,0
wheat;_winter;_silag,697.5,0.9,1.42544872,0
wheat;_winter;_silag,837,0.9,1.42544872,0
wheat;_winter;_silag,837,0.9,1.42544872,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
wheat;_winter;_silag,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,90,0.05,0.1,0
rye;_winter;_silage;,180,0.15,0.2,0
rye;_winter;_silage;,360,0.5,0.3,0
rye;_winter;_silage;,540,0.75,0.4,0
rye;_winter;_silage;,600,0.9,0.6,0
rye;_winter;_silage;,700,0.95,1,0
rye;_winter;_silage;,800,0.95,1.1,0
rye;_winter;_silage;,900,0.95,1.3,0
rye;_winter;_silage;,1000,0.95,1.5,0
rye;_winter;_silage;,1000,0.95,2,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
rye;_winter;_silage;,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,30,0.05,0.1,0
cotton;_southern_upl,60,0.15,0.2,0
cotton;_southern_upl,90,0.35,0.4,0
cotton;_southern_upl,270,0.55,0.9,0
cotton;_southern_upl,310,0.85,1.3,0
cotton;_southern_upl,360,0.95,1.7,0
cotton;_southern_upl,360,0.95,1.7,0
cotton;_southern_upl,360,0.6,1.7,0
cotton;_southern_upl,360,0.2,1.7,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
cotton;_southern_upl,0,0,0,0
weeds;_winter;_mid_s,40,0.05,0.1,0
weeds;_winter;_mid_s,80,0.1,0.1,0
weeds;_winter;_mid_s,150,0.3,0.1,0
weeds;_winter;_mid_s,400,0.4,0.1,0
weeds;_winter;_mid_s,500,0.5,0.1,0
weeds;_winter;_mid_s,600,0.6,0.1,0
weeds;_winter;_mid_s,600,0.6,0.1,0
weeds;_winter;_mid_s,600,0.6,0.1,0
weeds;_winter;_mid_s,600,0.6,0.1,0
weeds;_winter;_mid_s,620,0.65,0.2,0
weeds;_winter;_mid_s,660,0.7,0.2,0
weeds;_winter;_mid_s,700,0.75,0.2,0
weeds;_winter;_mid_s,750,0.75,0.3,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
weeds;_winter;_mid_s,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,90,0.05,0.1,0
rye;_winter_cover_s.,230,0.2,0.195344,0
rye;_winter_cover_s.,340,0.4,0.3,0
rye;_winter_cover_s.,460,0.6,0.5,0
rye;_winter_cover_s.,600,0.75,0.6,0
rye;_winter_cover_s.,660,0.8,0.7,0
rye;_winter_cover_s.,710,0.85,0.8,0
rye;_winter_cover_s.,760,0.9,0.9,0
rye;_winter_cover_s.,910,0.95,1,0
rye;_winter_cover_s.,960,0.95,1.2,0
rye;_winter_cover_s.,1000,0.95,1.5,0
rye;_winter_cover_s.,1000,0.95,1.7,0
rye;_winter_cover_s.,1000,0.95,2,0
rye;_winter_cover_s.,1000,0.95,2,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
timothy;_yr3_senesc_,2900,0.7,0.1,0
timothy;_yr3_senesc_,2900,0.8,0.1,0
timothy;_yr3_senesc_,2900,0.95,0.1,0
timothy;_yr3_senesc_,1800,0.95,0.1,0
timothy;_yr3_senesc_,2000,0.8,0.1,0
timothy;_yr3_senesc_,2200,0.7,0.1,0
timothy;_yr3_senesc_,2300,0.5,0.1,0
timothy;_yr3_senesc_,2300,0.5,0.1,0
timothy;_yr3_senesc_,2300,0.5,0.1,0
