Curve_Number_ID,CN_A,CN_B,CN_C,CN_D
Open_Space_(Poor),68.,79.,86.,89.
Open_Space_(Fair),49.,69.,79.,84.
Open_Space_(Good),39.,61.,74.,80.
Impervious,98.,98.,98.,98.
Roads_(Paved),98.,98.,98.,98.
Roads_(Paved_w/ditch),83.,89.,92.,93.
Roads_(Gravel),76.,85.,89.,91.
Roads_(Dirt),72.,82.,87.,89.
Urban_Desert_(Natural),63.,77.,85.,88.
Urban_Desert_(Artificial),96.,96.,96.,96.
Urban_(85%_imp),89.,92.,94.,95.
Urban_(72%_imp),81.,88.,91.,93.
Residential_(65%_imp),77.,85.,90.,92.
Residential_(38%_imp),61.,75.,83.,87.
Residential_(30%_imp),57.,72.,81.,86.
Residential_(25%_imp),54.,70.,80.,85.
Residential_(20%_imp),51.,68.,79.,84.
Residential_(12%_imp),46.,65.,77.,82.
Urban_(Newly_graded),77.,86.,91.,94.
Fallow_(Bare),77.,86.,91.,94.
Fallow_(CR_Poor),76.,85.,90.,93.
Fallow_(CR_Good),74.,83.,88.,90.
Row_Crop_(SR_Poor),72.,81.,88.,91.
Row_Crop_(SR_Good),67.,78.,85.,89.
Row_Crop_(SR_CR_Poor),71.,80.,87.,90.
Row_Crop_(SR_CR_Good),64.,75.,82.,85.
Row_Crop_(C_Poor),70.,79.,84.,88.
Row_Crop_(C_Good),65.,75.,82.,86.
Row_Crop_(C_CR_Poor),69.,78.,83.,87.
Row_Crop_(C_CR_Good),64.,74.,81.,85.
Row_Crop_(C_T_Poor),66.,74.,80.,82.
Row_Crop_(C_T_Good),62.,71.,78.,81.
Row_Crop_(C_T_CR_Poor),65.,73.,79.,81.
Row_Crop_(C_T_CR_Good),61.,70.,77.,80.
Small_Grain_(SR_Poor),65.,76.,84.,88.
Small_Grain_(SR_Good),63.,75.,83.,87.
Small_Grain_(SR_CR_Poor),64.,75.,83.,86.
Small_Grain_(SR_CR_Good),60.,72.,80.,84.
Small_Grain_(C_Poor),63.,74.,82.,85.
Small_Grain_(C_Good),61.,73.,81.,84.
Small_Grain_(C_CR_Poor),62.,73.,81.,84.
Small_Grain_(C_CR_Good),60.,72.,80.,83.
Small_Grain_(C_T_Poor),61.,72.,79.,82.
Small_Grain_(C_T_Good),59.,70.,78.,81.
Small_Grain_(C_T_CR_Poor),60.,71.,78.,81.
Small_Grain_(C_T_CR_Good),58.,69.,77.,80.
Close_Seeded_(SR_Poor),66.,77.,85.,89.
Close_Seeded_(SR_Good),58.,72.,81.,85.
Close_Seeded_(C_Poor),64.,75.,83.,85.
Close_Seeded_(C_Good),55.,69.,78.,83.
Close_Seeded_(C_T_Poor),63.,73.,80.,83.
Close_Seeded_(C_T_Good),51.,67.,76.,80.
Pasture_(Poor),68.,79.,86.,89.
Pasture_(Fair),49.,69.,79.,84.
Pasture_(Good),39.,61.,74.,80.
Meadow,30.,58.,71.,78.
Brush_(Poor),48.,67.,77.,83.
Brush_(Fair),35.,56.,70.,77.
Brush_(Good),30.,48.,65.,73.
Woods_Grass_(Poor),57.,73.,82.,86.
Woods_Grass_(Fair),43.,65.,76.,82.
Woods_Grass_(Good),32.,58.,72.,79.
Woods_(Poor),45.,66.,77.,83.
Woods_(Fair),36.,60.,73.,79.
Woods_(Good),30.,55.,70.,77.
Farmstead,59.,74.,82.,86.
Rangeland_(Herbaceous_Poor),30.,80.,87.,93.
Rangeland_(Herbaceous_Fair),30.,71.,81.,89.
Rangeland_(Herbaceous_Good),30.,62.,74.,85.
Rangeland_(Oak_Aspen_Poor),30.,66.,74.,79.
Rangeland_(Oak_Aspen_Fair),30.,48.,57.,63.
Rangeland_(Oak_Aspen_Good),30.,30.,41.,48.
Rangeland_(Pinyon_Juniper_Poor),30.,75.,85.,89.
Rangeland_(Pinyon_Juniper_Fair),30.,58.,73.,80.
Rangeland_(Pinyon_Juniper_Good),30.,41.,61.,71.
Rangeland_(Sagebrush_Poor),30.,67.,80.,86.
Rangeland_(Sagebrush_Fair),30.,51.,63.,70.
Rangeland_(Sagebrush_Good),30.,35.,47.,55.
Rangeland_(Desert_Shrub_Poor),63.,77.,85.,88.
Rangeland_(Desert_Shrub_Fair),55.,72.,81.,86.
Rangeland_(Desert_Shrub_Good),49.,68.,79.,84.
