Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924

Simulation Start Month,Simulation Start Day,Simulation Start Year,Simulation End Month,Simulation End Day,Simulation End Year,Initialization Years,Simulation Years,Total Rainfall Events,Average Rainfall Events per Year,Surface Runoff Events Exceeding "0.0000" [mm] (Included as runoff events),Surface Runoff Events Exceeding "0.0000" [mm] (Met user-specified limits and written to user-requested output files)
01,01,0001,12,31,0010,2,10.000,1087,108.70,1362,0,
Corresponding sediment events were not requested.

AVERAGE ANNUAL FILE: LANDSCAPE & WATERSHED WATER YIELD TO THE STREAM [Mass per Unit Area per Annum] 
Watershed Average Annual Precipitation: 1416.60 [mm]           Watershed Average Annual Loading at Outlet: 611.915 [mm]
Subsurface Direct Yield: 0.025 [mm]         Surface Direct Yield: 611.890 [mm]         Total Direct Yield: 611.916 [mm]

Cell ID,Receiving Reach ID,Drainage Area [ha],Pond [mm/yr],Point Source [mm/yr],Irrigation [mm/yr],Base Flow [mm/yr],Subsurface Runoff [mm/yr],Surface Runoff [mm/yr],Total Runoff [mm/yr]
22,2,37.540,0,0,0,0,0.92E-03,650.987,650.988,
23,2,30.540,0,0,0,0,0.24E-03,650.265,650.266,
31,3,33.650,0,0,0,0,0.160,395.318,395.478,
32,3,9.370,0,0,0,0,0.52E-03,651.384,651.385,
33,3,33.090,0,0,0,0,0.001,653.099,653.101,
41,4,30.170,0,0,0,0,0.23E-03,655.539,655.540,
42,4,14.910,0,0,0,0,0.002,635.959,635.962,
43,4,30.250,0,0,0,0,0.81E-03,652.832,652.833,
Watershed Totals,,219.520,0,0,0,0,0.025,611.890,611.915,
Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924

Simulation Start Month,Simulation Start Day,Simulation Start Year,Simulation End Month,Simulation End Day,Simulation End Year,Initialization Years,Simulation Years,Total Rainfall Events,Average Rainfall Events per Year,Surface Runoff Events Exceeding "0.0000" [mm] (Included as runoff events),Surface Runoff Events Exceeding "0.0000" [mm] (Met user-specified limits and written to user-requested output files)
01,01,0001,12,31,0010,2,10.000,1087,108.70,1362,0,
Corresponding sediment events were not requested.

