LOG,Execution Date:  7/25/2023                    Execution Start Time: 15:33:30
LOG,*** BEGIN EXECUTION: AnnAGNPS v6.00.a.014_2022.03.08; 64-bit ***
WARNING,Section = "GLOBAL IDS FACTORS AND FLAGS DATA",ID = "",Parameter column = " 54",Unrecognized column header "Width_ Reserved_j". This column will be ignored.
WARNING,Section = "GLOBAL IDS FACTORS AND FLAGS DATA",ID = "",Parameter column = " 55",Unrecognized column header "Width_ Reserved_k". This column will be ignored.
WARNING,Section = "CROP DATA",ID = "",Parameter column = "  6",Unrecognized column header "'USLE_C_Fctr". This column will be ignored.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "sprayer;_post_emerg1",Parameter = "Surface Decomposition",Record # = "6",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "sprayer;_post_emerg1",Parameter = "Sub-Surface Decomposition",Record # = "6",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "sprayer;_post_emerg1",Parameter = "Surface Residue",Record # = "6",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_spreader;_sol",Parameter = "Surface Decomposition",Record # = "22",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_spreader;_sol",Parameter = "Sub-Surface Decomposition",Record # = "22",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_spreader;_sol",Parameter = "Surface Residue",Record # = "22",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_injector;_li3",Parameter = "Surface Decomposition",Record # = "40",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_injector;_li3",Parameter = "Sub-Surface Decomposition",Record # = "40",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "manure_injector;_li3",Parameter = "Surface Residue",Record # = "40",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "shredder;_rotary_mow",Parameter = "Surface Decomposition",Record # = "42",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "shredder;_rotary_mow",Parameter = "Sub-Surface Decomposition",Record # = "42",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "shredder;_rotary_mow",Parameter = "Surface Residue",Record # = "42",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "add_mulch",Parameter = "Surface Decomposition",Record # = "79",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "add_mulch",Parameter = "Sub-Surface Decomposition",Record # = "79",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "add_mulch",Parameter = "Surface Residue",Record # = "79",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "planter;_sprig_conve",Parameter = "Surface Decomposition",Record # = "82",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "planter;_sprig_conve",Parameter = "Sub-Surface Decomposition",Record # = "82",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "planter;_sprig_conve",Parameter = "Surface Residue",Record # = "82",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "weed_control;_manual",Parameter = "Surface Decomposition",Record # = "98",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
