Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924


USER-SPECIFIED PRIMARY CLIMATE STATION DEW POINT TEMPERATURE GREATER THAN AVERAGE AIR TEMPERATURE
Gregorian Day,Date,Average Temp [C],Dew Point Temp: User-specified [C],Dew Point Temp: Corrected [C],Maximum Temp [C],Primary Climate Station
     691,11/22/0002,        9.16,     11.98,      9.16,       9.54,Climate.inp,
     810,03/21/0003,       13.68,     16.24,     13.68,      16.08,Climate.inp,
     811,03/22/0003,       11.75,     16.05,     11.75,      12.98,Climate.inp,
     814,03/25/0003,        7.70,     11.71,      7.70,       8.63,Climate.inp,
     815,03/26/0003,        6.50,      9.47,      6.50,       7.58,Climate.inp,
    1042,11/08/0003,        8.98,      9.70,      8.98,       8.98,Climate.inp,
    1143,02/17/0004,        8.18,      9.09,      8.18,       8.23,Climate.inp,
    1167,03/12/0004,        6.00,      9.07,      6.00,       9.06,Climate.inp,
    1483,01/22/0005,       12.10,     14.41,     12.10,      13.35,Climate.inp,
    1537,03/17/0005,        3.14,      4.78,      3.14,       3.88,Climate.inp,
    1883,02/26/0006,        3.34,      5.58,      3.34,       4.86,Climate.inp,
    2156,11/26/0006,        6.55,      7.58,      6.55,       6.94,Climate.inp,
    2667,04/20/0008,       13.90,     15.52,     13.90,      14.33,Climate.inp,
    3062,05/20/0009,       19.78,     20.76,     19.78,      20.59,Climate.inp,
    3241,11/15/0009,       13.20,     13.58,     13.20,      13.27,Climate.inp,
    3242,11/16/0009,       14.97,     17.01,     14.97,      16.66,Climate.inp,
    4745,12/28/0013,       -0.01,      1.15,     -0.01,       0.93,Climate.inp,
    5088,12/06/0014,        8.03,     11.30,      8.03,       9.85,Climate.inp,
    5552,03/14/0016,       11.67,     13.98,     11.67,      13.15,Climate.inp,
    5862,01/18/0017,       14.84,     18.42,     14.84,      15.68,Climate.inp,
    6852,10/05/0019,       13.86,     15.38,     13.86,      14.71,Climate.inp,
    6908,11/30/0019,        8.31,     11.58,      8.31,       8.99,Climate.inp,
    6984,02/14/0020,        4.47,      6.82,      4.47,       6.58,Climate.inp,
    7286,12/12/0020,        6.98,     10.56,      6.98,       7.98,Climate.inp,
    9116,12/16/0025,        5.51,     10.18,      5.51,       7.17,Climate.inp,
    9117,12/17/0025,        3.10,      6.98,      3.10,       5.56,Climate.inp,
    9496,12/31/0026,        2.01,      4.92,      2.01,       3.38,Climate.inp,
   10570,12/09/0029,        2.69,      6.12,      2.69,       4.64,Climate.inp,
   11014,02/26/0031,       10.45,     13.71,     10.45,      10.79,Climate.inp,
   11434,04/21/0032,       17.08,     17.92,     17.08,      17.67,Climate.inp,
   11761,03/14/0033,        9.58,     13.01,      9.58,      10.44,Climate.inp,
   12816,02/02/0036,       -3.39,     -0.31,     -3.39,      -2.03,Climate.inp,
   12847,03/04/0036,       13.70,     17.40,     13.70,      15.37,Climate.inp,
   12848,03/05/0036,       13.26,     18.60,     13.26,      16.19,Climate.inp,
   12849,03/06/0036,       10.05,     13.34,     10.05,      12.16,Climate.inp,
   13816,10/29/0038,       18.00,     19.11,     18.00,      19.04,Climate.inp,
   14291,02/16/0040,        6.28,     11.94,      6.28,       8.42,Climate.inp,
   14338,04/03/0040,       16.52,     19.29,     16.52,      18.49,Climate.inp,
   14566,11/17/0040,       13.01,     13.89,     13.01,      13.88,Climate.inp,
   14648,02/07/0041,        9.91,     13.57,      9.91,      12.40,Climate.inp,
   14910,10/27/0041,       14.28,     16.56,     14.28,      14.39,Climate.inp,
   15025,02/19/0042,        5.91,     13.15,      5.91,       6.63,Climate.inp,
   15065,03/31/0042,       11.45,     16.11,     11.45,      12.84,Climate.inp,
   15653,11/09/0043,        5.55,      9.28,      5.55,       6.73,Climate.inp,
   15752,02/16/0044,       12.69,     14.19,     12.69,      13.43,Climate.inp,
   16021,11/11/0044,       19.06,     20.18,     19.06,      19.24,Climate.inp,
   16038,11/28/0044,       12.58,     15.89,     12.58,      14.63,Climate.inp,
   16406,12/01/0045,        6.95,      8.31,      6.95,       7.13,Climate.inp,
   16457,01/21/0046,        2.59,      7.43,      2.59,       3.98,Climate.inp,
   17230,03/04/0048,        6.17,     10.91,      6.17,      10.10,Climate.inp,
   17500,11/29/0048,       12.35,     14.37,     12.35,      13.55,Climate.inp,
   17507,12/06/0048,        3.21,      7.50,      3.21,       4.41,Climate.inp,
