Crop_ID,Yield_Units_Harvested,Residue_Mass_Ratio,Surface_Decomp,Sub-surface_Decomp,'USLE_C_Fctr,Moisture_Depletion,Residue_Adjust_Amt,Crop_Residue_30%,Crop_Residue_60%,Crop_Residue_90%,Annual_Crop_Code,Legume_Code,Senescence_Code,Yield_Unit_Name,Yield_Unit_Mass,Harvest_C-N_Ratio,Pre-Harvest_C-N_Ratio,Harvest_Water,N_Uptake,P_Uptake,Harvest_C-P_Ratio,Pre-Harvest_C-P_Ratio,Growth_Time_Ini,Growth_Time_Dev,Growth_Time_Mat,Growth_Time_Sen,Growth_N_Uptake_Ini,Growth_N_Uptake_Dev,Growth_N_Uptake_Mat,Growth_N_Uptake_Sen,Growth_P_Uptake_Ini,Growth_P_Uptake_Dev,Growth_P_Uptake_Mat,Growth_P_Uptake_Sen,Basal_Crop_Coef_Ini,Basal_Crop_Coef_Dev,Basal_Crop_Coef_Mid,Basal_Crop_Coef_End,Basal_Crop_Coef_Climate_Adjust,Input_Units_Code
corn;_grain__18_in_1,112,1,0.016,0.016,,,,950,2400,6050,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_grain,112,1,0.016,0.016,,,,950,2400,6050,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_exposed_after,500,1,0.02475525,0.02475525,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter;_cover,4080,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_silage,23,0.35,0.016,0.016,,,,950,2400,6050,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter;_silag,7,0.32142857,0.017,0.017,,,,600,1550,3850,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter;_silage;,15,0.3,0.017,0.017,,,,600,1550,3850,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
cotton;_southern_upl,750,4.5,0.015,0.015,,,,1600,4150,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_winter;_mid_s,1400,1,0.017,0.017,,,,950,2400,6050,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover_s.,4200,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
timothy;_yr3_senesc_,2,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
timothy;_yr2_senesc_,2,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
timothy;_fall_seed_s,1.5,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_less_than_6_m,1500,1,0.02,0.02,,,,600,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
