Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code
LU_1,CROPLAND,corn;gra3,,,,,,,,1
LU_2,CROPLAND,cotton;_f1,,,,,,,,1
LU_3,CROPLAND,corn;gra3,,,,,,,,1
LU_4,CROPLAND,sorghum_s1,,,,,,,,1
LU_5,CROPLAND,1soybeans1,,,,,,,,1
LU_6,CROPLAND,corn;gra3,,,,,,,,1
LU_10,CROPLAND,corn;gra3,,,,,,,,1
LU_11,CROPLAND,corn;gra3,,,,,,,,1
LU_12,CROPLAND,corn;gra3,,,,,,,,1
LU_13,CROPLAND,corn;gra3,,,,,,,,1
LU_14,CROPLAND,corn;gra3,,,,,,,,1
LU_21,CROPLAND,corn;gra3,,,,,,,,1
LU_22,CROPLAND,corn;gra3,,,,,,,,1
LU_23,CROPLAND,corn;gra3,,,,,,,,1
LU_24,CROPLAND,corn;gra3,,,,,,,,1
LU_25,CROPLAND,corn;gra3,,,,,,,,1
LU_26,CROPLAND,corn;gra3,,,,,,,,1
LU_27,CROPLAND,corn;gra3,,,,,,,,1
LU_28,CROPLAND,corn;gra3,,,,,,,,1
LU_29,CROPLAND,corn;gra3,,,,,,,,1
LU_30,CROPLAND,corn;gra3,,,,,,,,1
LU_31,CROPLAND,corn;gra3,,,,,,,,1
LU_32,CROPLAND,corn;gra3,,,,,,,,1
LU_33,CROPLAND,corn;gra3,,,,,,,,1
LU_34,CROPLAND,corn;gra3,,,,,,,,1
LU_35,CROPLAND,corn;gra3,,,,,,,,1
LU_36,CROPLAND,corn;gra3,,,,,,,,1
LU_37,CROPLAND,corn;gra3,,,,,,,,1
LU_38,CROPLAND,corn;gra3,,,,,,,,1
LU_39,CROPLAND,corn;gra3,,,,,,,,1
LU_41,CROPLAND,corn;gra3,,,,,,,,1
LU_42,CROPLAND,corn;gra3,,,,,,,,1
LU_43,CROPLAND,corn;gra3,,,,,,,,1
LU_44,CROPLAND,corn;gra3,,,,,,,,1
LU_45,CROPLAND,corn;gra3,,,,,,,,1
LU_46,CROPLAND,corn;gra3,,,,,,,,1
LU_47,CROPLAND,corn;gra3,,,,,,,,1
LU_48,CROPLAND,corn;gra3,,,,,,,,1
LU_49,CROPLAND,corn;gra3,,,,,,,,1
LU_50,CROPLAND,corn;gra3,,,,,,,,1
LU_51,CROPLAND,corn;gra3,,,,,,,,1
LU_52,CROPLAND,corn;gra3,,,,,,,,1
LU_53,CROPLAND,corn;gra3,,,,,,,,1
LU_54,CROPLAND,corn;gra3,,,,,,,,1
LU_55,CROPLAND,corn;gra3,,,,,,,,1
LU_56,CROPLAND,corn;gra3,,,,,,,,1
LU_57,CROPLAND,corn;gra3,,,,,,,,1
LU_58,CROPLAND,1asture;_1,,,,,,,,1
LU_59,CROPLAND,1asture;_1,,,,,,,,1
LU_60,CROPLAND,1asture;_1,,,,,,,,1
LU_61,CROPLAND,1asture;_1,,,,,,,,1
LU_63,FOREST,Forest,,,,,,,,1
LU_64,CROPLAND,1asture;_1,,,,,,,,1
LU_65,CROPLAND,1asture;_1,,,,,,,,1
LU_66,FOREST,Forest,,,,,,,,1
LU_67,FOREST,Forest,,,,,,,,1
LU_68,FOREST,Forest,,,,,,,,1
LU_69,CROPLAND,corn;gra3,,,,,,,,1
LU_70,FOREST,Forest,,,,,,,,1
LU_71,FOREST,Forest,,,,,,,,1
LU_72,FOREST,Forest,,,,,,,,1
LU_74,FOREST,Forest,,,,,,,,1
LU_75,FOREST,Forest,,,,,,,,1
LU_76,FOREST,Forest,,,,,,,,1
LU_77,FOREST,Forest,,,,,,,,1
LU_81,CROPLAND,1asture;_1,,,,,,,,1
LU_82,CROPLAND,1asture;_1,,,,,,,,1
LU_83,CROPLAND,1asture;_1,,,,,,,,1
LU_87,CROPLAND,1asture;_1,,,,,,,,1
LU_88,CROPLAND,1asture;_1,,,,,,,,1
