Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
1ert._applic._anhyd1,1,2,,,,0.60000000,,40.0000000,0.60000000,0.24000000,4.00000000,,,,,,,0
fert_applic._surface,1,,,,,,,,,,,,,,,,,0
sprayer;_kill_crop,8,1,,,,,,,,,,,,,,,,0
planter;_double_di11,1,2,7,,,0.40000000,,25.0000000,0.40000000,0.24000000,2.50000000,,,,,,,0
sprayer;_post_emerg1,4,,,,,,,,,,,100.000000,,,,,,0
sprayer;_insecticide,1,,,,,,,,,,,,,,,,,0
harvest;_killing_cr2,8,1,,,,,,,,,,,,,,,,0
fert._applic._anhyd5,1,2,,,,0.60000000,,20.0000000,0.60000000,0.24000000,4.00000000,,,,,,,0
planter;_double_di5,1,2,7,,,0.40000000,,15.0000000,0.40000000,0.24000000,2.50000000,,,,,,,0
begin_weed_growth,7,,,,,,,,,,,,,,,,,0
kill_crop,8,1,,,,,,,,,,,,,,,,0
sprayer;_pre-emergen,1,,,,,,,,,,,,,,,,,0
fert_applic._side-dr,1,,,,,,,,,,,,,,,,,0
harrow;_rotary;_lig1,1,2,,,,0.10000000,,65.0000000,0.30000000,0.24000000,1.00000000,,,,,,,0
disk;_tandem_light_f,8,1,2,,,0.65000000,,100.000000,0.60000000,0.24000000,3.00000000,,,,,,,0
disk;_tandem_second2,8,1,2,,,0.75000000,,100.000000,0.60000000,0.24000000,5.00000000,,,,,,,0
cultivator;_field_62,8,1,2,,,0.40000000,,100.000000,0.60000000,0.24000000,4.00000000,,,,,,,0
disk;_tandem_heavy_1,8,1,2,,,1.00000000,,100.000000,1.50000000,0.24000000,6.00000000,,,,,,,0
roller_harrow,1,2,8,1,1,0.50000000,,100.000000,0.32000000,0.24000000,1.50000000,,,,,,,0
chisel;_st._pt.,8,1,2,,,0.75000000,,100.000000,1.50000000,0.24000000,7.00000000,,,,,,,0
manure_spreader;_sol,4,2,1,,,0.10000000,,20.0000000,0.24000000,0.24000000,1.00000000,100.000000,,,,,,0
plow;_moldboard,8,1,2,,,1.00000000,,100.000000,1.90000000,0.24000000,8.00000000,,,,,,,0
subsoiler,1,2,,,,0.80000000,,75.0000000,1.20000000,0.24000000,15.0000000,,,,,,,0
1rill_or_air_seeder1,1,2,7,,,0.40000000,,15.0000000,0.30000000,0.24000000,2.50000000,,,,,,,0
harvest;_silage,6,8,,,,,,,,,,,,,,,,0
cultivator;_row_1_in,1,2,,,,0.50000000,,75.0000000,0.30000000,0.24000000,3.00000000,,,,,,,0
cultivator;_row_3_in,1,2,,,,0.50000000,,90.0000000,0.60000000,0.24000000,3.00000000,,,,,,,0
sprayer;_growth_regu,1,,,,,,,,,,,,,,,,,0
sprayer;_defoliant,8,,,,,,,,,,,,,,,,,0
harvest;_cotton,8,1,,,,,,,,,,,,,,,,0
shredder;_flail_or_1,8,1,,,,,,,,,,,,,,,,0
harvest;_cotton_and_,8,1,,,,,,,,,,,,,,,,0
bedder;_hipper;_hil1,1,2,,,,1.00000000,,100.000000,0.60000000,0.24000000,6.00000000,,,,,,,0
planting;_broadcast2,7,,,,,,,,,,,,,,,,,0
mower;_swather;_on_1,1,,,,,,,,,,,,,,,,,0
bale_straw_or_residu,5,1,,,,,,,,,,,,,,,,0
aerial_seeding,7,,,,,,,,,,,,,,,,,0
planter;_in-row_sub1,1,2,7,,,0.25000000,,40.0000000,1.50000000,0.24000000,15.0000000,,,,,,,0
manure_injector;_li3,1,2,4,,,0.40000000,,15.0000000,0.40000000,0.24000000,6.00000000,5.00000000,,,,,,0
regrow,7,,,,,,,,,,,,,,,,,0
shredder;_rotary_mow,4,,,,,,,,,,,100.000000,,,,,,0
begin_new_growth,7,,,,,,,,,,,,,,,,,0
default1,1,,,,,,,,,,,,,,,,,0
harvest;_hay;_legume,6,1,7,,,,,,,,,,,,,,,0
harvest;_hay;_grass,6,1,7,,,,,,,,,,,,,,,0
graze;_continuous,6,5,2,7,,1.00000000,,100.000000,0.60000000,0.60000000,2.00000000,,,,,,,0
graze;_continuous_ov,6,5,2,7,,1.00000000,,100.000000,0.60000000,0.24000000,2.00000000,,,,,,,0
graze;_intensive_rot,6,5,2,7,,1.00000000,,100.000000,0.60000000,0.60000000,2.00000000,,,,,,,0
graze;_rotational,6,5,2,7,,1.00000000,,100.000000,0.60000000,0.60000000,2.00000000,,,,,,,0
harrow;_spike_tooth;,1,2,,,,0.40000000,,100.000000,0.40000000,0.24000000,2.00000000,,,,,,,0
harvest;_hay;_no_reg,6,8,,,,,,,,,,,,,,,,0
harvest;_hay_set_sea,,,,,,,,,,,,,,,,,,0
grazing;_set_season2,,,,,,,,,,,,,,,,,,0
begin_growth,7,,,,,,,,,,,,,,,,,0
grazing;_continuous2,,,,,,,,,,,,,,,,,,0
grazing;_continuous1,,,,,,,,,,,,,,,,,,0
drill_or_airseeder;2,1,2,7,,,0.40000000,,65.0000000,0.30000000,0.24000000,1.50000000,,,,,,,0
drill_or_airseeder;4,1,2,7,,,0.40000000,,55.0000000,0.30000000,0.24000000,2.00000000,,,,,,,0
stop_grazing,,,,,,,,,,,,,,,,,,0
grazing;_continuous3,,,,,,,,,,,,,,,,,,0
harvest;_hay_set_dat,,,,,,,,,,,,,,,,,,0
grazing_set_season;_,,,,,,,,,,,,,,,,,,0
1rill_or_air_seeder3,1,2,7,,,0.40000000,,15.0000000,0.30000000,0.24000000,2.00000000,,,,,,,0
roller;_crimp;_cover,8,1,2,,,0.40000000,,10.0000000,0.30000000,0.24000000,1.00000000,,,,,,,0
aerator;_field_surf3,1,2,,,,0.50000000,,50.0000000,0.60000000,0.24000000,6.00000000,,,,,,,0
harvest;_killing_cr5,8,1,,,,,,,,,,,,,,,,0
harrow;_rotary;_lig2,1,2,,,,0.10000000,,50.0000000,0.30000000,0.24000000,1.00000000,,,,,,,0
seeder;_corrugated_p,1,2,7,,,0.50000000,,100.000000,0.40000000,0.24000000,1.00000000,,,,,,,0
planter;_double_di8,1,2,7,,,0.40000000,,30.0000000,0.40000000,0.24000000,2.50000000,,,,,,,0
sprayer;_fungicide,1,,,,,,,,,,,,,,,,,0
planter;_double_di6,1,2,7,,,0.40000000,,15.0000000,0.40000000,0.24000000,2.50000000,,,,,,,0
planter;_double_di10,1,2,7,,,0.40000000,,30.0000000,0.40000000,0.24000000,2.50000000,,,,,,,0
plow;_moldboard_6-7_,8,1,2,,,1.00000000,,100.000000,1.90000000,0.24000000,6.00000000,,,,,,,0
planter;_transplant1,1,2,7,,,0.40000000,,20.0000000,0.40000000,0.24000000,6.00000000,,,,,,,0
harvest;_tobacco;_b1,8,5,,,,,,,,,,,,,,,,0
sprayer;_fungicide_a,1,,,,,,,,,,,,,,,,,0
subsoiler;_in_row_s2,1,2,1,1,,0.25000000,,30.0000000,1.50000000,0.24000000,15.0000000,,,,,,,0
add_mulch,4,,,,,,,,,,,100.000000,,,,,,0
cultipacker;_roller,1,2,1,1,1,0.50000000,,100.000000,0.32000000,0.24000000,1.50000000,,,,,,,0
sod_cutter,2,6,8,5,,1.00000000,,100.000000,0.30000000,0.24000000,1.00000000,,,,,,,0
planter;_sprig_conve,1,4,2,7,,0.65000000,,100.000000,0.60000000,0.24000000,2.00000000,100.000000,,,,,,0
do_all,8,1,2,1,1,0.50000000,,100.000000,0.60000000,0.24000000,3.00000000,,,,,,,0
harvest;_killing_cr1,8,1,,,,,,,,,,,,,,,,0
harvest;_vine_crops,1,,,,,,,,,,,,,,,,,0
bed_shaper,1,2,,,,0.60000000,,75.0000000,0.60000000,0.24000000,4.00000000,,,,,,,0
harvest;_hand_pick,1,7,,,,,,,,,,,,,,,,0
bedder;_hipper;_dis1,8,1,2,,,0.90000000,,100.000000,0.60000000,0.24000000,4.00000000,,,,,,,0
harvest;_hand_pick_1,1,,,,,,,,,,,,,,,,,0
plastic_mulch_appl12,2,3,,,,0.60000000,,20.0000000,0.60000000,0.24000000,3.00000000,,,,,,,0
plastic_mulch;_remov,1,2,10,,,0.60000000,,20.0000000,0.60000000,0.24000000,2.00000000,,,,,,,0
