Mgmt_Schd_ID,Event_Month,Event_Day,Event_Year,Contour_ID,New_Crop_ID,Strip_Crop_ID,New_Non-Crop_ID,Curve_Number_ID,Post_Event_Mannings_n,Post_Event_Surface_Constant,Operation_Residue_Change,Fertilizer_Application_ID,Irrigation_Application_ID,Mgmt_Operation_ID,Tile_Drain_Controlled_Status,Tile_Drain_Controlled_Depth,Input_Units_Code
Fallow,,,,,,,fallow,Fallow_(CR_Good),,,,,,,,,0
Forest,,,,,,,forest,Woods_(Good),,,,,,,,,0
Commercial,,,,,,,Commercial,Residential_(38%_imp),,,,,,,,,0
residentia,,,,,,,residential,Residential_(38%_imp),,,,,,,,,0
roads,,,,,,,roads,Roads_(Paved_w/ditch),,,,,,,,,0
corn;_gra1,4,1,2,,,,,,,,,,,1ert._applic._anhyd1,,,0
corn;_gra1,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;_gra1,4,8,2,,,,,,,,,,,sprayer;_kill_crop,,,0
corn;_gra1,4,15,2,,corn;_grain__18_in_1,,,,,,,,,planter;_double_di11,,,0
corn;_gra1,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;_gra1,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;_gra1,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;_gra2,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;_gra2,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;_gra2,4,8,2,,,,,,,,,,,sprayer;_kill_crop,,,0
corn;_gra2,4,15,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;_gra2,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;_gra2,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;_gra2,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;_gra3,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;_gra3,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;_gra3,4,8,2,,,,,,,,,,,sprayer;_kill_crop,,,0
corn;_gra3,4,15,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;_gra3,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;_gra3,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;_gra3,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;_gra3,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;_gra3,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra1,4,1,2,,,,,,,,,,,sprayer;_kill_crop,,,0
corn;gra1,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra1,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra1,4,16,2,,corn;_grain__18_in_1,,,,,,,,,planter;_double_di11,,,0
corn;gra1,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra1,5,15,2,,,,,,,,,,,fert_applic._side-dr,,,0
corn;gra1,6,1,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra1,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra2,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra2,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra2,4,8,2,,,,,,,,,,,harrow;_rotary;_lig1,,,0
corn;gra2,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra2,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra2,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra2,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra2,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra3,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra3,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra3,4,8,2,,,,,,,,,,,harrow;_rotary;_lig1,,,0
corn;gra3,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra3,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra3,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra3,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra3,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra3,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra3,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra4,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra4,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra4,4,8,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra4,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra4,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra4,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra4,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra4,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra5,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra5,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra5,4,8,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra5,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra5,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra5,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra5,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra5,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra5,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra5,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra6,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra6,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra6,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra6,4,14,2,,,,,,,,,,,cultivator;_field_62,,,0
corn;gra6,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra6,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra6,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra6,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra6,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra7,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra7,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra7,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra7,4,14,2,,,,,,,,,,,cultivator;_field_62,,,0
corn;gra7,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra7,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra7,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra7,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra7,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra7,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra7,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra8,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra8,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra8,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra8,4,14,2,,,,,,,,,,,harrow;_rotary;_lig1,,,0
corn;gra8,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra8,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra8,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra8,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra8,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra9,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra9,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra9,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra9,4,14,2,,,,,,,,,,,harrow;_rotary;_lig1,,,0
corn;gra9,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra9,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra9,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra9,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra9,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra9,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra9,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra10,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra10,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra10,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra10,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra10,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra10,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra10,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra10,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra10,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra11,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra11,4,7,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra11,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra11,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra11,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra11,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra11,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra11,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra11,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra11,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra11,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra12,4,1,2,,,,,,,,,,,disk;_tandem_heavy_1,,,0
corn;gra12,4,7,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra12,4,8,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra12,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra12,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra12,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra12,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra12,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra12,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra12,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra13,4,1,2,,,,,,,,,,,disk;_tandem_heavy_1,,,0
corn;gra13,4,7,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra13,4,8,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra13,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra13,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra13,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra13,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra13,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra13,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra13,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra13,9,16,2,,weeds;_exposed_after,,,,,,,,,begin_weed_growth,,,0
corn;gra13,11,16,2,,,,,,,,,,,kill_crop,,,0
corn;gra14,4,1,2,,,,,,,,,,,fert._applic._anhyd5,,,0
corn;gra14,4,7,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra14,4,13,2,,,,,,,,,,,cultivator;_field_62,,,0
corn;gra14,4,14,2,,,,,,,,,,,roller_harrow,,,0
corn;gra14,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra14,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra14,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra14,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra14,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra15,11,1,1,,,,,,,,,,,chisel;_st._pt.,,,0
corn;gra15,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra15,4,13,2,,,,,,,,,,,manure_spreader;_sol,,,0
corn;gra15,4,14,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra15,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra15,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra15,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra15,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra15,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra16,11,1,1,,,,,,,,,,,chisel;_st._pt.,,,0
corn;gra16,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra16,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra16,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra16,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra16,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra16,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra16,5,15,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra16,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra16,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra17,11,1,1,,,,,,,,,,,plow;_moldboard,,,0
corn;gra17,4,1,2,,,,,,,,,,,disk;_tandem_second2,,,0
corn;gra17,4,13,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra17,4,14,2,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra17,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra17,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra17,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra17,5,15,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra17,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra17,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra18,11,1,1,,,,,,,,,,,subsoiler,,,0
corn;gra18,11,15,1,,,,,,,,,,,disk;_tandem_light_f,,,0
corn;gra18,4,14,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra18,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra18,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
corn;gra18,5,9,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
corn;gra18,5,15,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra18,5,29,2,,,,,,,,,,,sprayer;_insecticide,,,0
corn;gra18,9,15,2,,,,,,,,,,,harvest;_killing_cr2,,,0
corn;gra19,11,1,1,,,,,,,,,,,subsoiler,,,0
corn;gra19,4,14,2,,,,,,,,,,,fert_applic._surface,,,0
corn;gra19,4,15,2,,,,,,,,,,,sprayer;_pre-emergen,,,0
corn;gra19,4,16,2,,corn;_grain,,,,,,,,,planter;_double_di5,,,0
