Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
CaA,     1,   16.9291,   96.7632,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,    0.3996,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,0
CaA,     2,   22.8346,   96.7632,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    1.2994,    0.2870,    0.1350,,,,    5.3000,    0.0125,,,,,,0
CaA,     3,   29.9212,  106.7517,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    0.1304,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,0
CaA,     4,   40.1574,   94.8904,    0.2100,    0.6770,    0.1130,,    0.0660,    0.0000,    0.1304,    0.2790,    0.1250,,,,    5.3000,    0.0025,,,,,,0
CaA,     5,   64.9605,   98.0118,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,    0.1304,    0.2940,    0.1450,,,,    6.5000,    0.0010,,,,,,0
CaA,     6,   72.0471,  101.1332,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    0.3996,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,0
CaB,     1,   16.9291,   96.7632,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,    0.3996,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,0
CaB,     2,   25.1968,   96.7632,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    1.2994,    0.2870,    0.1350,,,,    5.3000,    0.0125,,,,,,0
CaB,     3,   29.9212,  106.7517,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    0.1304,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,0
CaB,     4,   64.1731,   94.8904,    0.2100,    0.6770,    0.1130,,    0.0660,    0.0000,    0.1304,    0.2790,    0.1250,,,,    5.3000,    0.0025,,,,,,0
CaB,     5,   68.1101,   98.0118,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,    0.1304,    0.2940,    0.1450,,,,    6.5000,    0.0010,,,,,,0
CaB,     6,   72.0471,  101.1332,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    0.3996,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,0
Cm,     1,    7.8740,   94.8904,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,    1.2994,    0.2420,    0.0840,,,,    5.0000,    0.0125,,,,,,0
Cm,     2,   16.9291,   96.7632,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,    0.3996,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,0
Cm,     3,   29.9212,  106.7517,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    0.1304,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,0
Cm,     4,   61.8109,   94.8904,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,    1.2994,    0.2260,    0.0690,,,,    5.0000,    0.0015,,,,,,0
Cm,     5,   72.0471,  101.1332,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    0.3996,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,0
Co,     1,    7.8740,   94.8904,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,    1.2994,    0.2420,    0.0840,,,,    5.0000,    0.0125,,,,,,0
Co,     2,   16.9291,   96.7632,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,    0.3996,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,0
Co,     3,   29.9212,  106.7517,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    0.1304,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,0
Co,     4,   61.8109,   94.8904,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,    1.2994,    0.2260,    0.0690,,,,    5.0000,    0.0015,,,,,,0
Co,     5,   72.0471,  101.1332,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,    0.3996,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,0
