384
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
1	1	1	-43	6	0.03	1
2	1	2	-35	2	0.03	1
3	1	3	-13	2	0.03	1
4	1	4	-10	0	0.03	1
5	1	5	10	0	0.03	1
6	1	6	13	2	0.03	1
7	1	7	35	2	0.03	1
8	1	8	43	6	0.03	1
9	2	1	-43	6	0.03	1
10	2	2	-35	2	0.03	1
11	2	3	-13	2	0.03	1
12	2	4	-10	0	0.03	1
13	2	5	10	0	0.03	1
14	2	6	13	2	0.03	1
15	2	7	35	2	0.03	1
16	2	8	43	6	0.03	1
17	3	1	-43	6	0.01	1
18	3	2	-35	2	0.01	1
19	3	3	-13	2	0.01	1
20	3	4	-10	0	0.01	1
21	3	5	10	0	0.01	1
22	3	6	13	2	0.01	1
23	3	7	35	2	0.01	1
24	3	8	43	6	0.01	1
25	4	1	-43	6	0.01	1
26	4	2	-35	2	0.01	1
27	4	3	-13	2	0.01	1
28	4	4	-10	0	0.01	1
29	4	5	10	0	0.01	1
30	4	6	13	2	0.01	1
31	4	7	35	2	0.01	1
32	4	8	43	6	0.01	1
33	5	1	-43	6	0.03	1
34	5	2	-35	2	0.03	1
35	5	3	-13	2	0.03	1
36	5	4	-10	0	0.03	1
37	5	5	10	0	0.03	1
38	5	6	13	2	0.03	1
39	5	7	35	2	0.03	1
40	5	8	43	6	0.03	1
41	6	1	-43	6	0.03	1
42	6	2	-35	2	0.03	1
43	6	3	-13	2	0.03	1
44	6	4	-10	0	0.03	1
45	6	5	10	0	0.03	1
46	6	6	13	2	0.03	1
47	6	7	35	2	0.03	1
48	6	8	43	6	0.03	1
49	7	1	-43	6	0.02	1
50	7	2	-35	2	0.02	1
51	7	3	-13	2	0.02	1
52	7	4	-10	0	0.02	1
53	7	5	10	0	0.02	1
54	7	6	13	2	0.02	1
55	7	7	35	2	0.02	1
56	7	8	43	6	0.02	1
57	8	1	-43	6	0.03	1
58	8	2	-35	2	0.03	1
59	8	3	-13	2	0.03	1
60	8	4	-10	0	0.03	1
61	8	5	10	0	0.03	1
62	8	6	13	2	0.03	1
63	8	7	35	2	0.03	1
64	8	8	43	6	0.03	1
65	9	1	-43	6	0.03	1
66	9	2	-35	2	0.03	1
67	9	3	-13	2	0.03	1
68	9	4	-10	0	0.03	1
69	9	5	10	0	0.03	1
70	9	6	13	2	0.03	1
71	9	7	35	2	0.03	1
72	9	8	43	6	0.03	1
73	10	1	-43	6	0.03	1
74	10	2	-35	2	0.03	1
75	10	3	-13	2	0.03	1
76	10	4	-10	0	0.03	1
77	10	5	10	0	0.03	1
78	10	6	13	2	0.03	1
79	10	7	35	2	0.03	1
80	10	8	43	6	0.03	1
81	11	1	-43	6	0.03	1
82	11	2	-35	2	0.03	1
83	11	3	-13	2	0.03	1
84	11	4	-10	0	0.03	1
85	11	5	10	0	0.03	1
86	11	6	13	2	0.03	1
87	11	7	35	2	0.03	1
88	11	8	43	6	0.03	1
89	12	1	-43	6	0.03	1
90	12	2	-35	2	0.03	1
91	12	3	-13	2	0.03	1
92	12	4	-10	0	0.03	1
93	12	5	10	0	0.03	1
94	12	6	13	2	0.03	1
95	12	7	35	2	0.03	1
96	12	8	43	6	0.03	1
97	13	1	-43	6	0.03	1
98	13	2	-35	2	0.03	1
99	13	3	-13	2	0.03	1
100	13	4	-10	0	0.03	1
101	13	5	10	0	0.03	1
102	13	6	13	2	0.03	1
103	13	7	35	2	0.03	1
104	13	8	43	6	0.03	1
105	14	1	-43	6	0.03	1
106	14	2	-35	2	0.03	1
107	14	3	-13	2	0.03	1
108	14	4	-10	0	0.03	1
109	14	5	10	0	0.03	1
110	14	6	13	2	0.03	1
111	14	7	35	2	0.03	1
112	14	8	43	6	0.03	1
113	15	1	-43	6	0.03	1
114	15	2	-35	2	0.03	1
115	15	3	-13	2	0.03	1
116	15	4	-10	0	0.03	1
117	15	5	10	0	0.03	1
118	15	6	13	2	0.03	1
119	15	7	35	2	0.03	1
120	15	8	43	6	0.03	1
121	16	1	-43	6	0.03	1
122	16	2	-35	2	0.03	1
123	16	3	-13	2	0.03	1
124	16	4	-10	0	0.03	1
125	16	5	10	0	0.03	1
126	16	6	13	2	0.03	1
127	16	7	35	2	0.03	1
128	16	8	43	6	0.03	1
129	17	1	-43	6	0.03	1
130	17	2	-35	2	0.03	1
131	17	3	-13	2	0.03	1
132	17	4	-10	0	0.03	1
133	17	5	10	0	0.03	1
134	17	6	13	2	0.03	1
135	17	7	35	2	0.03	1
136	17	8	43	6	0.03	1
137	18	1	-43	6	0.03	1
138	18	2	-35	2	0.03	1
139	18	3	-13	2	0.03	1
140	18	4	-10	0	0.03	1
141	18	5	10	0	0.03	1
142	18	6	13	2	0.03	1
143	18	7	35	2	0.03	1
144	18	8	43	6	0.03	1
145	19	1	-43	6	0.03	1
146	19	2	-35	2	0.03	1
147	19	3	-13	2	0.03	1
148	19	4	-10	0	0.03	1
149	19	5	10	0	0.03	1
150	19	6	13	2	0.03	1
151	19	7	35	2	0.03	1
152	19	8	43	6	0.03	1
153	20	1	-43	6	0.01	1
154	20	2	-35	2	0.01	1
155	20	3	-13	2	0.01	1
156	20	4	-10	0	0.01	1
157	20	5	10	0	0.01	1
158	20	6	13	2	0.01	1
159	20	7	35	2	0.01	1
160	20	8	43	6	0.01	1
161	21	1	-43	6	0.01	1
162	21	2	-35	2	0.01	1
163	21	3	-13	2	0.01	1
164	21	4	-10	0	0.01	1
165	21	5	10	0	0.01	1
166	21	6	13	2	0.01	1
167	21	7	35	2	0.01	1
168	21	8	43	6	0.01	1
169	22	1	-43	6	0.01	1
170	22	2	-35	2	0.01	1
171	22	3	-13	2	0.01	1
172	22	4	-10	0	0.01	1
173	22	5	10	0	0.01	1
174	22	6	13	2	0.01	1
175	22	7	35	2	0.01	1
176	22	8	43	6	0.01	1
177	23	1	-43	6	0.01	1
178	23	2	-35	2	0.01	1
179	23	3	-13	2	0.01	1
180	23	4	-10	0	0.01	1
181	23	5	10	0	0.01	1
182	23	6	13	2	0.01	1
183	23	7	35	2	0.01	1
184	23	8	43	6	0.01	1
185	24	1	-43	6	0.01	1
186	24	2	-35	2	0.01	1
187	24	3	-13	2	0.01	1
188	24	4	-10	0	0.01	1
189	24	5	10	0	0.01	1
190	24	6	13	2	0.01	1
191	24	7	35	2	0.01	1
192	24	8	43	6	0.01	1
193	25	1	-43	6	0.01	1
194	25	2	-35	2	0.01	1
195	25	3	-13	2	0.01	1
196	25	4	-10	0	0.01	1
197	25	5	10	0	0.01	1
198	25	6	13	2	0.01	1
199	25	7	35	2	0.01	1
200	25	8	43	6	0.01	1
201	26	1	-43	6	0.01	1
202	26	2	-35	2	0.01	1
203	26	3	-13	2	0.01	1
204	26	4	-10	0	0.01	1
205	26	5	10	0	0.01	1
206	26	6	13	2	0.01	1
207	26	7	35	2	0.01	1
208	26	8	43	6	0.01	1
209	27	1	-43	6	0.03	1
210	27	2	-35	2	0.03	1
211	27	3	-13	2	0.03	1
212	27	4	-10	0	0.03	1
213	27	5	10	0	0.03	1
214	27	6	13	2	0.03	1
215	27	7	35	2	0.03	1
216	27	8	43	6	0.03	1
217	28	1	-43	6	0.03	1
218	28	2	-35	2	0.03	1
219	28	3	-13	2	0.03	1
220	28	4	-10	0	0.03	1
221	28	5	10	0	0.03	1
222	28	6	13	2	0.03	1
223	28	7	35	2	0.03	1
224	28	8	43	6	0.03	1
225	29	1	-43	6	0.03	1
226	29	2	-35	2	0.03	1
227	29	3	-13	2	0.03	1
228	29	4	-10	0	0.03	1
229	29	5	10	0	0.03	1
230	29	6	13	2	0.03	1
231	29	7	35	2	0.03	1
232	29	8	43	6	0.03	1
233	30	1	-43	6	0.03	1
234	30	2	-35	2	0.03	1
235	30	3	-13	2	0.03	1
236	30	4	-10	0	0.03	1
237	30	5	10	0	0.03	1
238	30	6	13	2	0.03	1
239	30	7	35	2	0.03	1
240	30	8	43	6	0.03	1
241	31	1	-43	6	0.03	1
242	31	2	-35	2	0.03	1
243	31	3	-13	2	0.03	1
244	31	4	-10	0	0.03	1
245	31	5	10	0	0.03	1
246	31	6	13	2	0.03	1
247	31	7	35	2	0.03	1
248	31	8	43	6	0.03	1
249	32	1	-43	6	0.02	1
250	32	2	-35	2	0.02	1
251	32	3	-13	2	0.02	1
252	32	4	-10	0	0.02	1
253	32	5	10	0	0.02	1
254	32	6	13	2	0.02	1
255	32	7	35	2	0.02	1
256	32	8	43	6	0.02	1
257	33	1	-43	6	0.02	1
258	33	2	-35	2	0.02	1
259	33	3	-13	2	0.02	1
260	33	4	-10	0	0.02	1
261	33	5	10	0	0.02	1
262	33	6	13	2	0.02	1
263	33	7	35	2	0.02	1
264	33	8	43	6	0.02	1
265	34	1	-43	6	0.02	1
266	34	2	-35	2	0.02	1
267	34	3	-13	2	0.02	1
268	34	4	-10	0	0.02	1
269	34	5	10	0	0.02	1
270	34	6	13	2	0.02	1
271	34	7	35	2	0.02	1
272	34	8	43	6	0.02	1
273	35	1	-43	6	0.02	1
274	35	2	-35	2	0.02	1
275	35	3	-13	2	0.02	1
276	35	4	-10	0	0.02	1
277	35	5	10	0	0.02	1
278	35	6	13	2	0.02	1
279	35	7	35	2	0.02	1
280	35	8	43	6	0.02	1
281	36	1	-43	6	0.02	1
282	36	2	-35	2	0.02	1
283	36	3	-13	2	0.02	1
284	36	4	-10	0	0.02	1
285	36	5	10	0	0.02	1
286	36	6	13	2	0.02	1
287	36	7	35	2	0.02	1
288	36	8	43	6	0.02	1
289	37	1	-43	6	0.02	1
290	37	2	-35	2	0.02	1
291	37	3	-13	2	0.02	1
292	37	4	-10	0	0.02	1
293	37	5	10	0	0.02	1
