48
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID	
1	10	0	710.43862313	9236.69682772	11	-1	-1	1	-1	-1	1	
2	48	9	13025.86128697	2855.64843912	2	48	-1	2	-1	-1	1	
3	1	0	5181.95834764	9849.27731480	20	-1	-1	3	-1	-1	1	
4	9	3	5254.32235857	6882.35278453	6	26	-1	4	-1	-1	1	
5	20	3	5254.32235857	6882.35278453	6	19	-1	4	-1	-1	1	
6	21	2	5254.32235857	6882.35278453	27	5	4	4	-1	-1	1	
7	28	0	3191.07130572	3914.90231340	32	-1	-1	7	-1	-1	1	
8	37	3	7700.19213151	5615.06267201	10	39	-1	8	-1	-1	1	
9	27	3	7700.19213151	5615.06267201	10	31	-1	8	-1	-1	1	
10	38	2	7700.19213151	5615.06267201	40	8	9	8	-1	-1	1	
11	11	6	1164.82699667	9001.26242340	12	1	-1	11	-1	-1	1	
12	12	6	1619.21537022	8765.82801908	13	11	-1	12	-1	-1	1	
13	13	6	2073.60374376	8530.39361476	14	12	-1	13	-1	-1	1	
14	14	6	2527.99211730	8294.95921044	15	13	-1	14	-1	-1	1	
15	15	6	2982.38049085	8059.52480612	16	14	-1	15	-1	-1	1	
16	16	6	3436.76886439	7824.09040180	17	15	-1	16	-1	-1	1	
17	17	6	3891.15723794	7588.65599749	18	16	-1	17	-1	-1	1	
18	18	6	4345.54561148	7353.22159317	19	17	-1	18	-1	-1	1	
19	19	6	4799.93398502	7117.78718885	5	18	-1	19	-1	-1	1	
20	2	6	5191.00384901	9478.41174852	21	3	-1	20	-1	-1	1	
21	3	6	5200.04935037	9107.54618224	22	20	-1	21	-1	-1	1	
22	4	6	5209.09485174	8736.68061595	23	21	-1	22	-1	-1	1	
23	5	6	5218.14035310	8365.81504967	24	22	-1	23	-1	-1	1	
24	6	6	5227.18585447	7994.94948338	25	23	-1	24	-1	-1	1	
25	7	6	5236.23135584	7624.08391710	26	24	-1	25	-1	-1	1	
26	8	6	5245.27685720	7253.21835081	4	25	-1	26	-1	-1	1	
27	22	6	5661.96732072	6671.13776577	28	6	-1	27	-1	-1	1	
28	23	6	6069.61228288	6459.92274702	29	27	-1	28	-1	-1	1	
29	24	6	6477.25724504	6248.70772827	30	28	-1	29	-1	-1	1	
30	25	6	6884.90220720	6037.49270952	31	29	-1	30	-1	-1	1	
31	26	6	7292.54716935	5826.27769076	9	30	-1	31	-1	-1	1	
32	29	6	3692.08473081	4103.80901991	33	7	-1	32	-1	-1	1	
33	30	6	4193.09815590	4292.71572643	34	32	-1	33	-1	-1	1	
34	31	6	4694.11158098	4481.62243294	35	33	-1	34	-1	-1	1	
35	32	6	5195.12500607	4670.52913945	36	34	-1	35	-1	-1	1	
36	33	6	5696.13843116	4859.43584596	37	35	-1	36	-1	-1	1	
37	34	6	6197.15185625	5048.34255247	38	36	-1	37	-1	-1	1	
38	35	6	6698.16528133	5237.24925898	39	37	-1	38	-1	-1	1	
39	36	6	7199.17870642	5426.15596550	8	38	-1	39	-1	-1	1	
40	39	6	8232.75904706	5339.12124872	41	10	-1	40	-1	-1	1	
41	40	6	8765.32596260	5063.17982543	42	40	-1	41	-1	-1	1	
42	41	6	9297.89287815	4787.23840214	43	41	-1	42	-1	-1	1	
43	42	6	9830.45979370	4511.29697885	44	42	-1	43	-1	-1	1	
44	43	6	10363.02670924	4235.35555556	45	43	-1	44	-1	-1	1	
45	44	6	10895.59362479	3959.41413227	46	44	-1	45	-1	-1	1	
46	45	6	11428.16054033	3683.47270898	47	45	-1	46	-1	-1	1	
47	46	6	11960.72745588	3407.53128569	48	46	-1	47	-1	-1	1	
48	47	6	12493.29437143	3131.58986240	2	47	-1	48	-1	-1	1	
2
6	-1	-1	-1
10	-1	-1	-1
