Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
23,,,2,1,0.0234,,294.35,,0.00724,45.88,0.079,,,,,0.00001,0.00,,,,0.00792,37.82,0.00001,0.00,,,,,,,,,1
32,,,3,1,2.5308,,295.01,,0.01657,250.45,0.155,,,,,0.00821,36.52,,,,0.01353,50.00,0.01247,50.00,,,,,,,,,1
33,,,3,1,1.8198,,295.27,,0.02618,66.08,0.234,,,,,0.00946,85.65,,,,0.02885,50.00,0.00894,50.00,,,,,,,,,1
42,,,4,1,3.3120,,295.83,,0.01618,196.37,0.152,,,,,0.00001,172.69,,,,0.02343,50.00,0.01454,50.00,,,,,,,,,1
43,,,4,1,7.8129,,295.91,,0.01495,343.60,0.146,,,,,0.00147,359.44,,,,0.01200,50.00,0.00544,50.00,,,,,,,,,1
51,,,5,0,3.8169,,296.40,,0.02672,198.81,0.233,,,,,0.00931,235.07,,,,0.01051,50.00,0.01768,50.00,,,,,,,,,1
52,,,5,1,0.6291,,296.48,,0.03176,91.17,0.285,,,,,0.00001,61.87,,,,0.02202,50.00,0.02793,50.00,,,,,,,,,1
53,,,5,1,0.0306,,295.50,,0.00001,237.34,0.032,,,,,0.00001,0.00,,,,0.00001,44.44,0.00001,0.00,,,,,,,,,1
61,,,6,0,4.3488,,296.92,,0.01368,299.04,0.132,,,,,0.00674,286.48,,,,0.02836,50.00,0.01098,50.00,,,,,,,,,1
62,,,6,1,1.9566,,295.81,,0.00895,262.96,0.095,,,,,0.00250,179.61,,,,0.00933,50.00,0.00967,50.00,,,,,,,,,1
63,,,6,1,0.8127,,295.51,,0.00179,289.00,0.042,,,,,0.00001,27.73,,,,0.00196,50.00,0.00001,50.00,,,,,,,,,1
72,,,7,1,0.8766,,295.53,,0.02850,309.14,0.252,,,,,0.00360,35.38,,,,0.02451,50.00,0.03293,50.00,,,,,,,,,1
73,,,7,1,1.7352,,295.69,,0.02121,71.13,0.195,,,,,0.00888,101.40,,,,0.02200,50.00,0.00600,50.00,,,,,,,,,1
82,,,8,1,1.2042,,296.19,,0.03211,217.11,0.277,,,,,0.01070,74.60,,,,0.02400,50.00,0.01403,50.00,,,,,,,,,1
83,,,8,1,0.3663,,295.70,,0.01593,19.20,0.156,,,,,0.00001,30.84,,,,0.02398,50.00,0.00001,50.00,,,,,,,,,1
92,,,9,1,1.1862,,295.58,,0.00863,211.08,0.093,,,,,0.00199,72.32,,,,0.00991,50.00,0.01519,50.00,,,,,,,,,1
93,,,9,1,0.0198,,295.30,,0.00001,313.83,0.032,,,,,0.00001,0.00,,,,0.00001,6.36,0.00001,0.00,,,,,,,,,1
101,,,10,0,3.0060,,295.89,,0.01348,246.74,0.131,,,,,0.00077,261.04,,,,0.01200,50.00,0.01200,50.00,,,,,,,,,1
102,,,10,1,0.1206,,295.54,,0.00811,171.25,0.088,,,,,0.00001,0.00,,,,0.00001,50.00,0.00001,20.00,,,,,,,,,1
103,,,10,1,0.1044,,295.60,,0.01322,279.53,0.132,,,,,0.00001,0.00,,,,0.00001,50.00,0.00001,21.14,,,,,,,,,1
112,,,11,1,1.0440,,295.69,,0.00915,238.62,0.099,,,,,0.00001,7.35,,,,0.01796,50.00,0.00001,50.00,,,,,,,,,1
113,,,11,1,3.4848,,296.20,,0.01465,355.04,0.147,,,,,0.00001,161.29,,,,0.01660,50.00,0.01138,50.00,,,,,,,,,1
122,,,12,1,0.5733,,296.14,,0.01142,171.41,0.106,,,,,0.00155,64.35,,,,0.00400,50.00,0.00201,50.00,,,,,,,,,1
123,,,12,1,1.5201,,296.52,,0.01724,270.94,0.163,,,,,0.00394,135.22,,,,0.03600,50.00,0.01934,50.00,,,,,,,,,1
131,,,13,0,3.0438,,297.18,,0.02630,246.35,0.229,,,,,0.00474,358.39,,,,0.02799,50.00,0.00201,50.00,,,,,,,,,1
132,,,13,1,0.0612,,296.03,,0.00637,153.70,0.072,,,,,0.00001,0.00,,,,0.00594,33.47,0.00001,0.00,,,,,,,,,1
133,,,13,1,0.0342,,296.06,,0.00764,219.72,0.078,,,,,0.00001,0.00,,,,0.00721,41.44,0.00001,0.00,,,,,,,,,1
141,,,14,0,3.0105,,298.66,,0.02894,259.14,0.255,,,,,0.01186,261.45,,,,0.00743,50.00,0.01457,50.00,,,,,,,,,1
142,,,14,1,0.2880,,296.51,,0.01756,212.28,0.158,,,,,0.00001,0.00,,,,0.01200,50.00,0.00928,21.55,,,,,,,,,1
143,,,14,1,0.6543,,297.69,,0.03440,311.64,0.304,,,,,0.01391,47.60,,,,0.04141,50.00,0.01934,50.00,,,,,,,,,1
151,,,15,0,4.4649,,298.82,,0.02856,211.10,0.252,,,,,0.00743,187.25,,,,0.00600,50.00,0.02818,50.00,,,,,,,,,1
152,,,15,1,1.5462,,297.29,,0.02274,205.27,0.202,,,,,0.01029,68.90,,,,0.03800,50.00,0.01800,50.00,,,,,,,,,1
