CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
597,216,2161,2162,2163,,,3796760.6207244,236514.11401283,3796608.6207244,236499.11401283
592,221,2211,2212,2213,,,3796750.6207244,236761.11401283,3796644.6207244,236728.11401283
598,215,2151,2152,2153,,,3796729.6207244,236399.11401283,3796608.6207244,236498.11401283
579,234,2341,2342,2343,,,3796727.6207244,237057.11401283,3796645.6207244,237097.11401283
578,235,2351,2352,2353,,,3796631.6207244,237330.11401283,3796645.6207244,237098.11401283
591,222,2221,2222,2223,,,3796615.6207244,236812.11401283,3796643.6207244,236728.11401283
580,233,0,2332,2333,235.0,234.0,3796644.6207244,237098.11401283,3796585.6207244,237085.11401283
593,220,0,2202,2203,222.0,221.0,3796643.6207244,236727.11401283,3796468.6207244,236685.11401283
595,218,2181,2182,2183,,,3796615.6207244,236672.11401283,3796422.6207244,236645.11401283
599,214,0,2142,2143,216.0,215.0,3796607.6207244,236499.11401283,3796326.6207244,236549.11401283
581,232,0,2322,2323,236.0,233.0,3796584.6207244,237084.11401283,3796099.6207244,236960.11401283
577,236,2361,2362,2363,,,3796533.6207244,237222.11401283,3796584.6207244,237085.11401283
614,199,1991,1992,1993,,,3796516.6207244,236153.11401283,3796066.6207244,236095.11401283
590,223,2231,2232,2233,,,3796473.6207244,236730.11401283,3796467.6207244,236686.11401283
594,219,0,2192,2193,223.0,220.0,3796467.6207244,236685.11401283,3796421.6207244,236646.11401283
564,249,2491,2492,2493,,,3796444.6207244,237771.11401283,3796193.6207244,237580.11401283
570,243,2431,2432,2433,,,3796441.6207244,237544.11401283,3796179.6207244,237364.11401283
571,242,2421,2422,2423,,,3796432.6207244,237371.11401283,3796179.6207244,237363.11401283
596,217,0,2172,2173,219.0,218.0,3796421.6207244,236645.11401283,3796326.6207244,236550.11401283
601,212,2121,2122,2123,,,3796417.6207244,236363.11401283,3796339.6207244,236422.11401283
615,198,1981,1982,1983,,,3796353.6207244,236005.11401283,3796066.6207244,236094.11401283
602,211,2111,2112,2113,,,3796335.6207244,236399.11401283,3796338.6207244,236422.11401283
603,210,0,2102,2103,212.0,211.0,3796338.6207244,236423.11401283,3796236.6207244,236538.11401283
600,213,0,2132,2133,217.0,214.0,3796325.6207244,236549.11401283,3796236.6207244,236539.11401283
