811
CH_ID	CH_NDUSID	CH_NDDSID
1	1	73
2	74	122
3	123	227
4	228	263
5	264	335
6	336	623
7	624	649
8	650	686
9	687	897
10	898	986
11	987	1142
12	1143	1241
13	1242	1403
14	1404	1443
15	1444	1531
16	1532	1547
17	1548	1549
18	1550	1757
19	1758	1842
20	1843	2218
21	2219	2367
22	2368	2630
23	2631	2834
24	2835	2984
25	2985	3156
26	3157	3225
27	3226	3314
28	3315	3329
29	3330	3438
30	3439	3561
31	3562	3648
32	3649	3668
33	3669	3716
34	3717	3792
35	3793	3885
36	3886	4192
37	4193	4590
38	4591	4820
39	4821	4845
40	4846	4904
41	4905	5200
42	5201	5235
43	5236	5368
44	5369	5505
45	5506	5535
46	5536	5583
47	5584	5639
48	5640	5689
49	5690	5799
50	5800	5814
51	5815	5851
52	5852	5939
53	5940	6136
54	6137	6245
55	6246	6397
56	6398	6565
57	6566	6809
58	6810	6875
59	6876	7027
60	7028	7102
61	7103	7170
62	7171	7308
63	7309	7409
64	7410	7503
65	7504	7551
66	7552	7666
67	7667	7825
68	7826	7893
69	7894	7973
70	7974	8236
71	8237	8347
72	8348	8426
73	8427	8557
74	8558	8738
75	8739	8830
76	8831	8937
77	8938	9254
78	9255	9355
79	9356	9367
80	9368	9467
81	9468	9501
82	9502	9615
83	9616	9994
84	9995	10059
85	10060	10148
86	10149	10419
87	10420	10582
88	10583	10780
89	10781	11007
90	11008	11156
91	11157	11281
92	11282	11350
93	11351	11407
94	11408	11437
95	11438	11465
96	11466	11770
97	11771	11868
98	11869	12014
99	12015	12021
100	12022	12119
101	12120	12161
102	12162	12280
103	12281	12351
104	12352	12378
105	12379	12621
106	12622	12747
107	12748	12858
108	12859	13088
109	13089	13210
110	13211	13386
111	13387	13548
112	13549	13634
113	13635	13743
114	13744	13873
115	13874	14037
116	14038	14117
117	14118	14193
118	14194	14209
119	14210	14286
120	14287	14324
121	14325	14383
122	14384	14529
123	14530	14592
124	14593	14705
125	14706	14804
126	14805	14844
127	14845	14986
128	14987	15034
129	15035	15395
130	15396	15625
131	15626	15763
132	15764	15920
133	15921	15939
134	15940	15983
135	15984	16072
136	16073	16154
137	16155	16239
138	16240	16467
139	16468	16525
140	16526	16635
141	16636	16644
142	16645	16786
143	16787	16810
144	16811	16944
145	16945	17108
146	17109	17286
147	17287	17334
148	17335	17387
149	17388	17547
150	17548	17823
151	17824	18088
152	18089	18204
153	18205	18262
154	18263	18427
155	18428	18550
156	18551	19198
157	19199	19258
158	19259	19290
159	19291	19317
160	19318	19405
161	19406	19474
162	19475	19564
163	19565	19683
164	19684	19740
165	19741	19981
166	19982	20133
167	20134	20586
168	20587	20628
169	20629	20983
170	20984	21059
171	21060	21163
172	21164	21192
173	21193	21305
174	21306	21505
175	21506	21579
176	21580	21663
177	21664	21691
178	21692	22064
179	22065	22195
180	22196	22347
181	22348	22353
182	22354	22521
183	22522	22580
184	22581	22631
185	22632	22829
186	22830	22907
187	22908	23131
188	23132	23267
189	23268	23404
190	23405	23508
191	23509	23669
192	23670	23777
193	23778	24151
194	24152	24167
195	24168	24178
196	24179	24374
197	24375	24380
198	24381	24644
199	24645	24676
200	24677	24771
201	24772	24803
202	24804	25109
203	25110	25130
204	25131	25336
205	25337	25490
206	25491	25679
207	25680	25699
208	25700	25769
209	25770	25844
210	25845	26121
211	26122	26511
212	26512	26679
213	26680	26718
214	26719	26756
215	26757	26987
216	26988	27087
217	27088	27295
218	27296	27413
219	27414	27436
220	27437	27462
221	27463	27495
222	27496	27606
223	27607	27675
224	27676	27748
225	27749	27786
226	27787	27802
227	27803	27861
228	27862	28078
229	28079	28110
230	28111	28392
231	28393	28494
232	28495	28574
233	28575	28831
234	28832	28932
235	28933	29195
236	29196	29450
237	29451	29548
238	29549	29700
239	29701	30043
240	30044	30112
241	30113	30195
242	30196	30458
243	30459	30495
244	30496	30629
245	30630	30632
246	30633	30699
247	30700	31224
248	31225	31298
249	31299	31325
250	31326	31424
251	31425	31466
252	31467	31528
253	31529	31835
254	31836	32130
255	32131	32172
256	32173	32392
257	32393	32613
258	32614	32671
259	32672	32827
260	32828	33022
261	33023	33167
262	33168	33662
263	33663	33695
264	33696	33834
265	33835	34186
266	34187	34374
267	34375	34736
268	34737	34781
269	34782	34804
270	34805	35217
271	35218	35437
272	35438	35455
273	35456	35557
274	35558	35641
275	35642	35753
276	35754	35816
277	35817	35944
278	35945	36177
279	36178	36231
280	36232	36431
281	36432	36471
282	36472	36554
283	36555	36598
284	36599	36632
285	36633	36820
286	36821	36978
287	36979	37183
288	37184	37236
289	37237	37259
290	37260	37545
291	37546	37749
292	37750	37774
293	37775	37880
294	37881	37944
295	37945	38042
296	38043	38075
297	38076	38260
298	38261	38373
299	38374	38433
300	38434	38488
301	38489	38681
302	38682	38715
303	38716	38796
304	38797	38962
305	38963	39021
306	39022	39415
307	39416	39420
308	39421	39579
309	39580	39706
310	39707	39841
311	39842	39967
312	39968	40065
313	40066	40100
314	40101	40231
315	40232	40321
316	40322	40399
317	40400	40419
318	40420	40554
319	40555	40738
320	40739	40968
321	40969	41037
322	41038	41111
