3018
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID
1	1	0	231917.11401283	3791736.6207244	2	-1	-1	1	-1	1
2	2	6	231892.11401283	3791823.6207244	3	1	-1	2	-1	1
3	3	3	231891.11401283	3791823.6207244	7	2	-1	3	-1	1
4	4	0	231950.11401283	3791851.6207244	5	-1	-1	4	-1	1
5	5	6	231892.11401283	3791824.6207244	6	4	-1	5	-1	1
6	6	3	231891.11401283	3791823.6207244	7	5	-1	3	-1	1
7	7	2	231891.11401283	3791823.6207244	8	6	3	3	-1	1
8	8	6	231761.11401283	3791821.6207244	9	7	-1	8	-1	1
9	9	3	231760.11401283	3791822.6207244	3015	8	-1	9	-1	1
10	10	0	232200.11401283	3791783.6207244	11	-1	-1	10	-1	1
11	11	6	232173.11401283	3791826.6207244	12	10	-1	11	-1	1
12	12	3	232172.11401283	3791826.6207244	17	11	-1	12	-1	1
13	13	0	232250.11401283	3791820.6207244	14	-1	-1	13	-1	1
14	14	6	232207.11401283	3791849.6207244	15	13	-1	14	-1	1
15	15	6	232173.11401283	3791827.6207244	16	14	-1	15	-1	1
16	16	3	232172.11401283	3791826.6207244	17	15	-1	12	-1	1
17	17	2	232172.11401283	3791826.6207244	18	16	12	12	-1	1
18	18	6	232056.11401283	3792004.6207244	19	17	-1	18	-1	1
19	19	3	232055.11401283	3792004.6207244	58	18	-1	19	-1	1
20	20	0	232067.11401283	3791980.6207244	21	-1	-1	20	-1	1
21	21	6	232057.11401283	3792005.6207244	22	20	-1	21	-1	1
22	22	3	232056.11401283	3792005.6207244	56	21	-1	22	-1	1
23	23	0	232197.11401283	3791976.6207244	24	-1	-1	23	-1	1
24	24	6	232185.11401283	3791984.6207244	25	23	-1	24	-1	1
25	25	6	232161.11401283	3792012.6207244	26	24	-1	25	-1	1
26	26	3	232160.11401283	3792013.6207244	39	25	-1	26	-1	1
27	27	0	232485.11401283	3791897.6207244	28	-1	-1	27	-1	1
28	28	6	232477.11401283	3791900.6207244	29	27	-1	28	-1	1
29	29	6	232410.11401283	3791982.6207244	30	28	-1	29	-1	1
30	30	6	232327.11401283	3792022.6207244	31	29	-1	30	-1	1
31	31	6	232325.11401283	3792022.6207244	32	30	-1	31	-1	1
32	32	3	232324.11401283	3792023.6207244	36	31	-1	32	-1	1
33	33	0	232416.11401283	3792025.6207244	34	-1	-1	33	-1	1
34	34	6	232325.11401283	3792023.6207244	35	33	-1	34	-1	1
35	35	3	232324.11401283	3792023.6207244	36	34	-1	32	-1	1
36	36	2	232324.11401283	3792023.6207244	37	35	32	32	-1	1
37	37	6	232161.11401283	3792013.6207244	38	36	-1	37	-1	1
38	38	3	232160.11401283	3792013.6207244	39	37	-1	26	-1	1
39	39	2	232160.11401283	3792013.6207244	40	38	26	26	-1	1
40	40	6	232059.11401283	3792021.6207244	41	39	-1	40	-1	1
41	41	3	232058.11401283	3792021.6207244	53	40	-1	41	-1	1
42	42	0	232291.11401283	3792093.6207244	43	-1	-1	42	-1	1
43	43	6	232219.11401283	3792103.6207244	44	42	-1	43	-1	1
44	44	6	232107.11401283	3792123.6207244	45	43	-1	44	-1	1
45	45	3	232106.11401283	3792122.6207244	49	44	-1	45	-1	1
46	46	0	232156.11401283	3792166.6207244	47	-1	-1	46	-1	1
47	47	6	232106.11401283	3792123.6207244	48	46	-1	47	-1	1
48	48	3	232106.11401283	3792122.6207244	49	47	-1	45	-1	1
49	49	2	232106.11401283	3792122.6207244	50	48	45	45	-1	1
50	50	6	232065.11401283	3792055.6207244	51	49	-1	50	-1	1
51	51	6	232058.11401283	3792022.6207244	52	50	-1	51	-1	1
52	52	3	232058.11401283	3792021.6207244	53	51	-1	41	-1	1
53	53	2	232058.11401283	3792021.6207244	54	52	41	41	-1	1
54	54	6	232057.11401283	3792006.6207244	55	53	-1	54	-1	1
55	55	3	232056.11401283	3792005.6207244	56	54	-1	22	-1	1
56	56	2	232056.11401283	3792005.6207244	57	55	22	22	-1	1
57	57	3	232055.11401283	3792004.6207244	58	56	-1	19	-1	1
58	58	2	232055.11401283	3792004.6207244	59	57	19	19	-1	1
59	59	6	232024.11401283	3791981.6207244	60	58	-1	59	-1	1
60	60	6	231964.11401283	3791932.6207244	61	59	-1	60	-1	1
61	61	6	231822.11401283	3791853.6207244	62	60	-1	61	-1	1
62	62	3	231821.11401283	3791853.6207244	3012	61	-1	62	-1	1
63	63	0	231932.11401283	3792017.6207244	64	-1	-1	63	-1	1
64	64	6	231859.11401283	3791940.6207244	65	63	-1	64	-1	1
65	65	3	231858.11401283	3791939.6207244	3009	64	-1	65	-1	1
66	66	0	232586.11401283	3792127.6207244	67	-1	-1	66	-1	1
67	67	6	232490.11401283	3792147.6207244	68	66	-1	67	-1	1
68	68	6	232353.11401283	3792198.6207244	69	67	-1	68	-1	1
69	69	6	232255.11401283	3792218.6207244	70	68	-1	69	-1	1
70	70	6	232182.11401283	3792278.6207244	71	69	-1	70	-1	1
71	71	3	232181.11401283	3792279.6207244	157	70	-1	71	-1	1
72	72	0	232634.11401283	3792257.6207244	73	-1	-1	72	-1	1
73	73	6	232603.11401283	3792296.6207244	74	72	-1	73	-1	1
74	74	6	232590.11401283	3792422.6207244	75	73	-1	74	-1	1
75	75	3	232590.11401283	3792423.6207244	145	74	-1	75	-1	1
76	76	0	232828.11401283	3792091.6207244	77	-1	-1	76	-1	1
77	77	6	232822.11401283	3792103.6207244	78	76	-1	77	-1	1
78	78	6	232803.11401283	3792144.6207244	79	77	-1	78	-1	1
79	79	6	232803.11401283	3792172.6207244	80	78	-1	79	-1	1
80	80	6	232800.11401283	3792187.6207244	81	79	-1	80	-1	1
81	81	6	232792.11401283	3792286.6207244	82	80	-1	81	-1	1
82	82	6	232784.11401283	3792353.6207244	83	81	-1	82	-1	1
83	83	6	232778.11401283	3792368.6207244	84	82	-1	83	-1	1
84	84	3	232777.11401283	3792369.6207244	141	83	-1	84	-1	1
85	85	0	232962.11401283	3792136.6207244	86	-1	-1	85	-1	1
86	86	6	232909.11401283	3792220.6207244	87	85	-1	86	-1	1
87	87	6	232893.11401283	3792243.6207244	88	86	-1	87	-1	1
88	88	6	232878.11401283	3792291.6207244	89	87	-1	88	-1	1
89	89	6	232871.11401283	3792342.6207244	90	88	-1	89	-1	1
90	90	6	232853.11401283	3792362.6207244	91	89	-1	90	-1	1
91	91	3	232853.11401283	3792363.6207244	138	90	-1	91	-1	1
92	92	0	233201.11401283	3792065.6207244	93	-1	-1	92	-1	1
93	93	6	233192.11401283	3792101.6207244	94	92	-1	93	-1	1
94	94	6	233149.11401283	3792228.6207244	95	93	-1	94	-1	1
95	95	3	233149.11401283	3792229.6207244	100	94	-1	95	-1	1
96	96	0	233345.11401283	3792230.6207244	97	-1	-1	96	-1	1
97	97	6	233305.11401283	3792215.6207244	98	96	-1	97	-1	1
98	98	6	233150.11401283	3792229.6207244	99	97	-1	98	-1	1
99	99	3	233149.11401283	3792229.6207244	100	98	-1	95	-1	1
100	100	2	233149.11401283	3792229.6207244	101	99	95	95	-1	1
101	101	6	233130.11401283	3792255.6207244	102	100	-1	101	-1	1
102	102	6	233118.11401283	3792261.6207244	103	101	-1	102	-1	1
103	103	6	233091.11401283	3792277.6207244	104	102	-1	103	-1	1
104	104	3	233091.11401283	3792278.6207244	109	103	-1	104	-1	1
105	105	0	233184.11401283	3792316.6207244	106	-1	-1	105	-1	1
106	106	6	233104.11401283	3792293.6207244	107	105	-1	106	-1	1
107	107	6	233092.11401283	3792279.6207244	108	106	-1	107	-1	1
108	108	3	233091.11401283	3792278.6207244	109	107	-1	104	-1	1
109	109	2	233091.11401283	3792278.6207244	110	108	104	104	-1	1
110	110	6	233075.11401283	3792287.6207244	111	109	-1	110	-1	1
111	111	3	233074.11401283	3792287.6207244	117	110	-1	111	-1	1
112	112	0	233158.11401283	3792394.6207244	113	-1	-1	112	-1	1
113	113	6	233147.11401283	3792370.6207244	114	112	-1	113	-1	1
114	114	6	233139.11401283	3792362.6207244	115	113	-1	114	-1	1
115	115	6	233075.11401283	3792288.6207244	116	114	-1	115	-1	1
116	116	3	233074.11401283	3792287.6207244	117	115	-1	111	-1	1
117	117	2	233074.11401283	3792287.6207244	118	116	111	111	-1	1
118	118	6	233019.11401283	3792307.6207244	119	117	-1	118	-1	1
119	119	6	233018.11401283	3792304.6207244	120	118	-1	119	-1	1
120	120	6	233012.11401283	3792302.6207244	121	119	-1	120	-1	1
121	121	6	232951.11401283	3792349.6207244	122	120	-1	121	-1	1
122	122	3	232950.11401283	3792348.6207244	127	121	-1	122	-1	1
123	123	0	233005.11401283	3792434.6207244	124	-1	-1	123	-1	1
124	124	6	232960.11401283	3792364.6207244	125	123	-1	124	-1	1
125	125	6	232950.11401283	3792349.6207244	126	124	-1	125	-1	1
126	126	3	232950.11401283	3792348.6207244	127	125	-1	122	-1	1
127	127	2	232950.11401283	3792348.6207244	128	126	122	122	-1	1
128	128	6	232931.11401283	3792339.6207244	129	127	-1	128	-1	1
129	129	3	232930.11401283	3792338.6207244	133	128	-1	129	-1	1
130	130	0	232927.11401283	3792392.6207244	131	-1	-1	130	-1	1
131	131	6	232930.11401283	3792339.6207244	132	130	-1	131	-1	1
132	132	3	232930.11401283	3792338.6207244	133	131	-1	129	-1	1
133	133	2	232930.11401283	3792338.6207244	134	132	129	129	-1	1
134	134	6	232905.11401283	3792339.6207244	135	133	-1	134	-1	1
135	135	6	232887.11401283	3792352.6207244	136	134	-1	135	-1	1
136	136	6	232854.11401283	3792362.6207244	137	135	-1	136	-1	1
137	137	3	232853.11401283	3792363.6207244	138	136	-1	91	-1	1
138	138	2	232853.11401283	3792363.6207244	139	137	91	91	-1	1
139	139	6	232778.11401283	3792369.6207244	140	138	-1	139	-1	1
140	140	3	232777.11401283	3792369.6207244	141	139	-1	84	-1	1
141	141	2	232777.11401283	3792369.6207244	142	140	84	84	-1	1
142	142	6	232614.11401283	3792428.6207244	143	141	-1	142	-1	1
143	143	6	232591.11401283	3792423.6207244	144	142	-1	143	-1	1
144	144	3	232590.11401283	3792423.6207244	145	143	-1	75	-1	1
145	145	2	232590.11401283	3792423.6207244	146	144	75	75	-1	1
146	146	6	232328.11401283	3792358.6207244	147	145	-1	146	-1	1
147	147	6	232262.11401283	3792329.6207244	148	146	-1	147	-1	1
148	148	6	232204.11401283	3792309.6207244	149	147	-1	148	-1	1
149	149	3	232203.11401283	3792310.6207244	154	148	-1	149	-1	1
150	150	0	232345.11401283	3792596.6207244	151	-1	-1	150	-1	1
151	151	6	232271.11401283	3792424.6207244	152	150	-1	151	-1	1
152	152	6	232203.11401283	3792311.6207244	153	151	-1	152	-1	1
153	153	3	232203.11401283	3792310.6207244	154	152	-1	149	-1	1
154	154	2	232203.11401283	3792310.6207244	155	153	149	149	-1	1
155	155	6	232182.11401283	3792279.6207244	156	154	-1	155	-1	1
156	156	3	232181.11401283	3792279.6207244	157	155	-1	71	-1	1
157	157	2	232181.11401283	3792279.6207244	158	156	71	71	-1	1
158	158	6	232168.11401283	3792288.6207244	159	157	-1	158	-1	1
159	159	6	232124.11401283	3792320.6207244	160	158	-1	159	-1	1
160	160	6	232119.11401283	3792323.6207244	161	159	-1	160	-1	1
161	161	3	232118.11401283	3792323.6207244	2904	160	-1	161	-1	1
162	162	0	232819.11401283	3792612.6207244	163	-1	-1	162	-1	1
163	163	6	232680.11401283	3792633.6207244	164	162	-1	163	-1	1
164	164	6	232673.11401283	3792637.6207244	165	163	-1	164	-1	1
165	165	6	232661.11401283	3792642.6207244	166	164	-1	165	-1	1
166	166	6	232557.11401283	3792774.6207244	167	165	-1	166	-1	1
167	167	6	232526.11401283	3792785.6207244	168	166	-1	167	-1	1
168	168	6	232497.11401283	3792804.6207244	169	167	-1	168	-1	1
169	169	3	232496.11401283	3792804.6207244	173	168	-1	169	-1	1
170	170	0	232520.11401283	3792847.6207244	171	-1	-1	170	-1	1
171	171	6	232496.11401283	3792805.6207244	172	170	-1	171	-1	1
172	172	3	232496.11401283	3792804.6207244	173	171	-1	169	-1	1
173	173	2	232496.11401283	3792804.6207244	174	172	169	169	-1	1
174	174	6	232368.11401283	3792719.6207244	175	173	-1	174	-1	1
175	175	3	232367.11401283	3792719.6207244	2899	174	-1	175	-1	1
176	176	0	232845.11401283	3792787.6207244	177	-1	-1	176	-1	1
177	177	6	232736.11401283	3792866.6207244	178	176	-1	177	-1	1
178	178	6	232735.11401283	3792886.6207244	179	177	-1	178	-1	1
179	179	3	232734.11401283	3792887.6207244	219	178	-1	179	-1	1
180	180	0	233014.11401283	3792696.6207244	181	-1	-1	180	-1	1
181	181	6	233017.11401283	3792705.6207244	182	180	-1	181	-1	1
182	182	6	233034.11401283	3792726.6207244	183	181	-1	182	-1	1
183	183	3	233034.11401283	3792727.6207244	208	182	-1	183	-1	1
184	184	0	233101.11401283	3792617.6207244	185	-1	-1	184	-1	1
185	185	6	233124.11401283	3792672.6207244	186	184	-1	185	-1	1
186	186	3	233124.11401283	3792673.6207244	198	185	-1	186	-1	1
187	187	0	233273.11401283	3792523.6207244	188	-1	-1	187	-1	1
188	188	6	233243.11401283	3792585.6207244	189	187	-1	188	-1	1
189	189	3	233243.11401283	3792586.6207244	193	188	-1	189	-1	1
190	190	0	233299.11401283	3792594.6207244	191	-1	-1	190	-1	1
191	191	6	233244.11401283	3792586.6207244	192	190	-1	191	-1	1
192	192	3	233243.11401283	3792586.6207244	193	191	-1	189	-1	1
193	193	2	233243.11401283	3792586.6207244	194	192	189	189	-1	1
194	194	6	233175.11401283	3792633.6207244	195	193	-1	194	-1	1
195	195	6	233170.11401283	3792634.6207244	196	194	-1	195	-1	1
196	196	6	233125.11401283	3792672.6207244	197	195	-1	196	-1	1
197	197	3	233124.11401283	3792673.6207244	198	196	-1	186	-1	1
198	198	2	233124.11401283	3792673.6207244	199	197	186	186	-1	1
199	199	6	233121.11401283	3792687.6207244	200	198	-1	199	-1	1
200	200	3	233121.11401283	3792688.6207244	204	199	-1	200	-1	1
201	201	0	233167.11401283	3792721.6207244	202	-1	-1	201	-1	1
202	202	6	233122.11401283	3792688.6207244	203	201	-1	202	-1	1
203	203	3	233121.11401283	3792688.6207244	204	202	-1	200	-1	1
204	204	2	233121.11401283	3792688.6207244	205	203	200	200	-1	1
205	205	6	233096.11401283	3792712.6207244	206	204	-1	205	-1	1
206	206	6	233035.11401283	3792727.6207244	207	205	-1	206	-1	1
207	207	3	233034.11401283	3792727.6207244	208	206	-1	183	-1	1
208	208	2	233034.11401283	3792727.6207244	209	207	183	183	-1	1
209	209	6	232898.11401283	3792873.6207244	210	208	-1	209	-1	1
210	210	3	232898.11401283	3792874.6207244	215	209	-1	210	-1	1
211	211	0	233022.11401283	3792916.6207244	212	-1	-1	211	-1	1
212	212	6	232964.11401283	3792892.6207244	213	211	-1	212	-1	1
213	213	6	232899.11401283	3792874.6207244	214	212	-1	213	-1	1
214	214	3	232898.11401283	3792874.6207244	215	213	-1	210	-1	1
215	215	2	232898.11401283	3792874.6207244	216	214	210	210	-1	1
216	216	6	232777.11401283	3792896.6207244	217	215	-1	216	-1	1
217	217	6	232735.11401283	3792887.6207244	218	216	-1	217	-1	1
218	218	3	232734.11401283	3792887.6207244	219	217	-1	179	-1	1
219	219	2	232734.11401283	3792887.6207244	220	218	179	179	-1	1
220	220	6	232652.11401283	3792932.6207244	221	219	-1	220	-1	1
221	221	6	232596.11401283	3792926.6207244	222	220	-1	221	-1	1
222	222	6	232562.11401283	3792959.6207244	223	221	-1	222	-1	1
223	223	3	232561.11401283	3792959.6207244	229	222	-1	223	-1	1
224	224	0	232803.11401283	3793040.6207244	225	-1	-1	224	-1	1
225	225	6	232768.11401283	3793056.6207244	226	224	-1	225	-1	1
226	226	6	232751.11401283	3793068.6207244	227	225	-1	226	-1	1
227	227	6	232562.11401283	3792960.6207244	228	226	-1	227	-1	1
228	228	3	232561.11401283	3792959.6207244	229	227	-1	223	-1	1
229	229	2	232561.11401283	3792959.6207244	230	228	223	223	-1	1
230	230	6	232521.11401283	3792940.6207244	231	229	-1	230	-1	1
231	231	6	232514.11401283	3792937.6207244	232	230	-1	231	-1	1
