29116
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	5.830951894845301
2	2	3	1	4.242640687119285
3	3	4	1	4.47213595499958
4	4	5	1	5.656854249492381
5	5	6	1	5.0
6	6	7	1	3.605551275463989
7	7	8	1	5.830951894845301
8	8	9	1	3.605551275463989
9	9	10	1	5.0
10	10	11	1	5.0
11	11	12	1	5.0
12	12	13	1	4.242640687119285
13	13	14	1	5.0
14	14	15	1	4.123105625617661
15	15	16	1	5.0990195135927845
16	16	17	1	5.656854249492381
17	17	18	1	4.242640687119285
18	18	19	1	5.0
19	19	20	1	5.0
20	20	21	1	4.242640687119285
21	21	22	1	5.0
22	22	23	1	4.47213595499958
23	23	24	1	4.47213595499958
24	24	25	1	5.0
25	25	26	1	2.8284271247461903
26	26	27	1	1.0
1	28	29	1	5.385164807134504
2	29	30	1	5.0
3	30	31	1	4.123105625617661
4	31	32	1	4.47213595499958
5	32	33	1	5.656854249492381
6	33	34	1	4.123105625617661
7	34	35	1	5.0990195135927845
8	35	36	1	4.47213595499958
9	36	37	1	4.47213595499958
10	37	38	1	4.47213595499958
11	38	39	1	5.385164807134504
12	39	40	1	4.47213595499958
13	40	41	1	4.47213595499958
14	41	42	1	3.1622776601683795
15	42	43	1	1.4142135623730951
1	44	45	2	5.830951894845301
2	45	46	2	4.47213595499958
3	46	47	2	4.47213595499958
4	47	48	2	4.47213595499958
5	48	49	2	4.47213595499958
6	49	50	2	4.47213595499958
7	50	51	2	4.47213595499958
8	51	52	2	5.385164807134504
9	52	53	2	4.123105625617661
10	53	54	2	5.0990195135927845
11	54	55	2	4.47213595499958
12	55	56	2	4.123105625617661
13	56	57	2	5.385164807134504
14	57	58	2	4.123105625617661
15	58	59	2	5.0990195135927845
16	59	60	2	4.123105625617661
17	60	61	2	5.0990195135927845
18	61	62	2	4.47213595499958
19	62	63	2	5.656854249492381
20	63	64	2	4.47213595499958
21	64	65	2	5.0
22	65	66	2	4.242640687119285
23	66	67	2	5.656854249492381
24	67	68	2	5.0
25	68	69	2	4.242640687119285
26	69	70	2	5.0
27	70	71	2	4.47213595499958
28	71	72	2	5.0
29	72	73	2	4.47213595499958
30	73	74	2	4.123105625617661
31	74	75	2	5.0
32	75	76	2	2.8284271247461903
33	76	77	2	1.4142135623730951
1	78	79	1	5.385164807134504
2	79	80	1	5.0
3	80	81	1	5.0990195135927845
4	81	82	1	4.0
5	82	83	1	5.0
6	83	84	1	5.656854249492381
7	84	85	1	4.242640687119285
8	85	86	1	5.656854249492381
9	86	87	1	4.242640687119285
10	87	88	1	5.656854249492381
11	88	89	1	3.605551275463989
12	89	90	1	1.0
1	91	92	1	5.656854249492381
2	92	93	1	4.242640687119285
3	93	94	1	5.656854249492381
4	94	95	1	4.242640687119285
5	95	96	1	4.47213595499958
6	96	97	1	4.242640687119285
7	97	98	1	5.0
8	98	99	1	4.47213595499958
9	99	100	1	5.0
10	100	101	1	4.123105625617661
11	101	102	1	5.0
12	102	103	1	4.242640687119285
13	103	104	1	2.0
14	104	105	1	4.123105625617661
15	105	106	1	4.123105625617661
16	106	107	1	5.0
17	107	108	1	5.0
18	108	109	1	4.47213595499958
19	109	110	1	4.47213595499958
20	110	111	1	3.605551275463989
21	111	112	1	5.0
22	112	113	1	4.47213595499958
23	113	114	1	5.0
24	114	115	1	5.656854249492381
25	115	116	1	1.0
26	116	117	1	1.4142135623730951
1	118	119	2	5.0
2	119	120	2	5.0
3	120	121	2	5.656854249492381
4	121	122	2	5.0
5	122	123	2	3.605551275463989
6	123	124	2	5.385164807134504
7	124	125	2	4.242640687119285
8	125	126	2	5.656854249492381
9	126	127	2	4.242640687119285
10	127	128	2	5.0
11	128	129	2	4.47213595499958
12	129	130	2	5.0990195135927845
13	130	131	2	4.123105625617661
14	131	132	2	5.0990195135927845
15	132	133	2	4.47213595499958
16	133	134	2	5.0990195135927845
17	134	135	2	4.123105625617661
18	135	136	2	5.0990195135927845
19	136	137	2	5.0
20	137	138	2	5.0
21	138	139	2	4.47213595499958
