199
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	10	1	1	1
2	2	11	29	2	2	1
3	3	30	45	3	3	1
4	4	46	55	4	4	1
5	5	56	58	5	5	1
6	6	59	79	6	6	1
7	7	80	178	7	7	1
8	8	179	190	8	8	1
9	9	191	255	9	9	1
10	10	256	288	10	10	1
11	11	289	314	11	11	1
12	12	315	333	12	12	1
13	13	334	336	13	13	1
14	14	337	381	14	14	1
15	15	382	410	15	15	1
16	16	411	427	16	16	1
17	17	428	440	17	17	1
18	18	441	450	18	18	1
19	19	451	494	19	19	1
20	20	495	501	20	20	1
21	21	502	517	21	21	1
22	22	518	536	22	22	1
23	23	537	545	23	23	1
24	24	546	598	24	24	1
25	25	599	660	25	25	1
26	26	661	667	26	26	1
27	27	668	673	27	27	1
28	28	674	712	28	28	1
29	29	713	717	29	29	1
30	30	718	743	30	30	1
31	31	744	763	31	31	1
32	32	764	768	32	32	1
33	33	769	799	33	33	1
34	34	800	802	34	34	1
35	35	803	808	35	35	1
36	36	809	826	36	36	1
37	37	827	865	37	37	1
38	38	866	872	38	38	1
39	39	873	888	39	39	1
40	40	889	928	40	40	1
41	41	929	964	41	41	1
42	42	965	968	42	42	1
43	43	969	984	43	43	1
44	44	985	993	44	44	1
45	45	994	996	45	45	1
46	46	997	1028	46	46	1
47	47	1029	1060	47	47	1
48	48	1061	1088	48	48	1
49	49	1089	1093	49	49	1
50	50	1094	1101	50	50	1
51	51	1102	1105	51	51	1
52	52	1106	1150	52	52	1
53	53	1151	1192	53	53	1
54	54	1193	1225	54	54	1
55	55	1226	1242	55	55	1
56	56	1243	1275	56	56	1
57	57	1276	1287	57	57	1
58	58	1288	1308	58	58	1
59	59	1309	1356	59	59	1
60	60	1357	1383	60	60	1
61	61	1384	1405	61	61	1
62	62	1406	1419	62	62	1
63	63	1420	1422	63	63	1
64	64	1423	1435	64	64	1
65	65	1436	1459	65	65	1
66	66	1460	1516	66	66	1
67	67	1517	1543	67	67	1
68	68	1544	1562	68	68	1
69	69	1563	1568	69	69	1
70	70	1569	1571	70	70	1
71	71	1572	1615	71	71	1
72	72	1616	1628	72	72	1
73	73	1629	1638	73	73	1
74	74	1639	1667	74	74	1
75	75	1668	1683	75	75	1
76	76	1684	1724	76	76	1
77	77	1725	1743	77	77	1
78	78	1744	1766	78	78	1
79	79	1767	1775	79	79	1
80	80	1776	1780	80	80	1
81	81	1781	1808	81	81	1
82	82	1809	1811	82	82	1
83	83	1812	1816	83	83	1
84	84	1817	1847	84	84	1
85	85	1848	1858	85	85	1
86	86	1859	1875	86	86	1
87	87	1876	1900	87	87	1
88	88	1901	1923	88	88	1
