55
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID
1	1	0	240454.114013	3795214.620724	2	-1	-1	1	-1	1
2	2	6	240446.114013	3795219.620724	3	1	-1	2	-1	1
3	3	6	240437.114013	3795223.620724	4	2	-1	3	-1	1
4	4	6	240430.114013	3795229.620724	5	3	-1	4	-1	1
5	5	6	240428.114013	3795229.620724	6	4	-1	5	-1	1
6	6	6	240425.114013	3795236.620724	7	5	-1	6	-1	1
7	7	6	240425.114013	3795238.620724	8	6	-1	7	-1	1
8	8	6	240417.114013	3795239.620724	9	7	-1	8	-1	1
9	9	6	240407.114013	3795239.620724	10	8	-1	9	-1	1
10	10	6	240397.114013	3795239.620724	11	9	-1	10	-1	1
11	11	6	240387.114013	3795239.620724	12	10	-1	11	-1	1
12	12	6	240377.114013	3795240.620724	13	11	-1	12	-1	1
13	13	6	240368.114013	3795241.620724	14	12	-1	13	-1	1
14	14	6	240358.114013	3795243.620724	15	13	-1	14	-1	1
15	15	6	240350.114013	3795245.620724	16	14	-1	15	-1	1
16	16	6	240341.114013	3795243.620724	17	15	-1	16	-1	1
17	17	6	240331.114013	3795242.620724	18	16	-1	17	-1	1
18	18	6	240321.114013	3795242.620724	19	17	-1	18	-1	1
19	19	6	240312.114013	3795243.620724	20	18	-1	19	-1	1
20	20	6	240302.114013	3795243.620724	21	19	-1	20	-1	1
21	21	6	240292.114013	3795243.620724	22	20	-1	21	-1	1
22	22	6	240282.114013	3795244.620724	23	21	-1	22	-1	1
23	23	6	240272.114013	3795244.620724	24	22	-1	23	-1	1
24	24	6	240262.114013	3795244.620724	25	23	-1	24	-1	1
25	25	6	240253.114013	3795245.620724	26	24	-1	25	-1	1
26	26	6	240243.114013	3795245.620724	27	25	-1	26	-1	1
27	27	6	240234.114013	3795249.620724	28	26	-1	27	-1	1
28	28	6	240230.114013	3795257.620724	29	27	-1	28	-1	1
29	29	6	240220.114013	3795257.620724	30	28	-1	29	-1	1
30	30	6	240210.114013	3795257.620724	31	29	-1	30	-1	1
31	31	6	240201.114013	3795259.620724	32	30	-1	31	-1	1
32	32	6	240193.114013	3795263.620724	33	31	-1	32	-1	1
33	33	6	240186.114013	3795268.620724	34	32	-1	33	-1	1
34	34	6	240176.114013	3795268.620724	35	33	-1	34	-1	1
35	35	6	240168.114013	3795272.620724	36	34	-1	35	-1	1
36	36	3	240167.114013	3795272.620724	51	35	-1	36	-1	1
37	37	0	240228.114013	3795320.620724	38	-1	-1	37	-1	1
38	38	6	240220.114013	3795317.620724	39	37	-1	38	-1	1
39	39	6	240210.114013	3795316.620724	40	38	-1	39	-1	1
40	40	6	240201.114013	3795314.620724	41	39	-1	40	-1	1
41	41	6	240192.114013	3795311.620724	42	40	-1	41	-1	1
42	42	6	240183.114013	3795310.620724	43	41	-1	42	-1	1
43	43	6	240176.114013	3795304.620724	44	42	-1	43	-1	1
44	44	6	240171.114013	3795296.620724	45	43	-1	44	-1	1
45	45	6	240174.114013	3795287.620724	46	44	-1	45	-1	1
46	46	6	240170.114013	3795283.620724	47	45	-1	46	-1	1
47	47	6	240170.114013	3795280.620724	48	46	-1	47	-1	1
48	48	6	240169.114013	3795273.620724	49	47	-1	48	-1	1
49	49	6	240168.114013	3795273.620724	50	48	-1	49	-1	1
50	50	3	240167.114013	3795272.620724	51	49	-1	36	-1	1
51	51	2	240167.114013	3795272.620724	52	50	36	36	-1	1
52	52	6	240158.114013	3795274.620724	53	51	-1	52	-1	1
53	53	6	240151.114013	3795276.620724	54	52	-1	53	-1	1
54	54	6	240141.114013	3795278.620724	55	53	-1	54	-1	1
55	55	9	240133.114013	3795278.620724	55	54	-1	55	-1	1
