52
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	9.433981132056603
2	2	3	1	9.848857801796104
3	3	4	1	9.219544457292887
4	4	5	1	2.0
5	5	6	1	7.615773105863909
6	6	7	1	2.0
7	7	8	1	8.06225774829855
8	8	9	1	10.0
9	9	10	1	10.0
10	10	11	1	10.0
11	11	12	1	10.04987562112089
12	12	13	1	9.055385138137417
13	13	14	1	10.198039027185569
14	14	15	1	8.246211251235321
15	15	16	1	9.219544457292887
16	16	17	1	10.04987562112089
17	17	18	1	10.0
18	18	19	1	9.055385138137417
19	19	20	1	10.0
20	20	21	1	10.0
21	21	22	1	10.04987562112089
22	22	23	1	10.0
23	23	24	1	10.0
24	24	25	1	9.055385138137417
25	25	26	1	10.0
26	26	27	1	9.848857801796104
27	27	28	1	8.94427190999916
28	28	29	1	10.0
29	29	30	1	10.0
30	30	31	1	9.219544457292887
31	31	32	1	8.94427190999916
32	32	33	1	8.602325267042627
33	33	34	1	10.0
34	34	35	1	8.94427190999916
35	35	36	1	1.0
1	37	38	1	8.54400374531753
2	38	39	1	10.04987562112089
3	39	40	1	9.219544457292887
4	40	41	1	9.486832980505138
5	41	42	1	9.055385138137417
6	42	43	1	9.219544457292887
7	43	44	1	9.433981132056603
8	44	45	1	9.486832980505138
9	45	46	1	5.656854249492381
10	46	47	1	3.0
11	47	48	1	7.0710678118654755
12	48	49	1	1.0
13	49	50	1	1.4142135623730951
1	51	52	2	9.219544457292887
2	52	53	2	7.280109889280518
3	53	54	2	10.198039027185569
4	54	55	2	8.0
