83
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID
1	1	0	244235.0	3791965.0	2	-1	-1	1	-1	1
2	2	6	244205.0	3791955.0	3	1	-1	2	-1	1
3	3	6	244175.0	3791945.0	4	2	-1	3	-1	1
4	4	6	244145.0	3791945.0	5	3	-1	4	-1	1
5	5	6	244115.0	3791945.0	6	4	-1	5	-1	1
6	6	6	244085.0	3791945.0	7	5	-1	6	-1	1
7	7	6	244065.0	3791935.0	8	6	-1	7	-1	1
8	8	6	244035.0	3791925.0	9	7	-1	8	-1	1
9	9	6	244015.0	3791905.0	10	8	-1	9	-1	1
10	10	6	243985.0	3791885.0	11	9	-1	10	-1	1
11	11	6	243965.0	3791875.0	12	10	-1	11	-1	1
12	12	6	243945.0	3791865.0	13	11	-1	12	-1	1
13	13	6	243915.0	3791855.0	14	12	-1	13	-1	1
14	14	6	243895.0	3791835.0	15	13	-1	14	-1	1
15	15	6	243875.0	3791815.0	16	14	-1	15	-1	1
16	16	6	243845.0	3791805.0	17	15	-1	16	-1	1
17	17	6	243825.0	3791815.0	18	16	-1	17	-1	1
18	18	6	243795.0	3791815.0	19	17	-1	18	-1	1
19	19	6	243765.0	3791825.0	20	18	-1	19	-1	1
20	20	6	243735.0	3791845.0	21	19	-1	20	-1	1
21	21	6	243735.0	3791865.0	22	20	-1	21	-1	1
22	22	6	243725.0	3791895.0	23	21	-1	22	-1	1
23	23	6	243715.0	3791915.0	24	22	-1	23	-1	1
24	24	6	243715.0	3791945.0	25	23	-1	24	-1	1
25	25	6	243715.0	3791975.0	26	24	-1	25	-1	1
26	26	6	243715.0	3792005.0	27	25	-1	26	-1	1
27	27	6	243715.0	3792035.0	28	26	-1	27	-1	1
28	28	6	243705.0	3792065.0	29	27	-1	28	-1	1
29	29	6	243685.0	3792085.0	30	28	-1	29	-1	1
30	30	6	243665.0	3792105.0	31	29	-1	30	-1	1
31	31	6	243645.0	3792115.0	32	30	-1	31	-1	1
32	32	6	243615.0	3792135.0	33	31	-1	32	-1	1
33	33	6	243595.0	3792135.0	34	32	-1	33	-1	1
34	34	6	243565.0	3792155.0	35	33	-1	34	-1	1
35	35	6	243545.0	3792165.0	36	34	-1	35	-1	1
36	36	6	243525.0	3792185.0	37	35	-1	36	-1	1
37	37	6	243495.0	3792185.0	38	36	-1	37	-1	1
38	38	6	243465.0	3792205.0	39	37	-1	38	-1	1
39	39	6	243435.0	3792205.0	40	38	-1	39	-1	1
40	40	6	243405.0	3792205.0	41	39	-1	40	-1	1
41	41	6	243395.0	3792205.0	42	40	-1	41	-1	1
42	42	3	243385.0	3792205.0	62	41	-1	42	-1	1
43	43	0	243615.0	3792635.0	44	-1	-1	43	-1	1
44	44	6	243595.0	3792605.0	45	43	-1	44	-1	1
45	45	6	243585.0	3792585.0	46	44	-1	45	-1	1
46	46	6	243575.0	3792555.0	47	45	-1	46	-1	1
47	47	6	243555.0	3792535.0	48	46	-1	47	-1	1
48	48	6	243525.0	3792515.0	49	47	-1	48	-1	1
49	49	6	243505.0	3792495.0	50	48	-1	49	-1	1
50	50	6	243495.0	3792475.0	51	49	-1	50	-1	1
51	51	6	243485.0	3792445.0	52	50	-1	51	-1	1
52	52	6	243485.0	3792415.0	53	51	-1	52	-1	1
53	53	6	243475.0	3792395.0	54	52	-1	53	-1	1
54	54	6	243465.0	3792365.0	55	53	-1	54	-1	1
55	55	6	243455.0	3792345.0	56	54	-1	55	-1	1
56	56	6	243455.0	3792315.0	57	55	-1	56	-1	1
57	57	6	243445.0	3792285.0	58	56	-1	57	-1	1
58	58	6	243435.0	3792265.0	59	57	-1	58	-1	1
59	59	6	243405.0	3792235.0	60	58	-1	59	-1	1
60	60	6	243395.0	3792215.0	61	59	-1	60	-1	1
61	61	3	243385.0	3792205.0	62	60	-1	42	-1	1
62	62	2	243385.0	3792205.0	63	61	42	42	-1	1
63	63	6	243355.0	3792185.0	64	62	-1	63	-1	1
64	64	6	243335.0	3792175.0	65	63	-1	64	-1	1
65	65	6	243305.0	3792165.0	66	64	-1	65	-1	1
66	66	6	243275.0	3792165.0	67	65	-1	66	-1	1
67	67	6	243245.0	3792165.0	68	66	-1	67	-1	1
68	68	6	243225.0	3792155.0	69	67	-1	68	-1	1
69	69	6	243195.0	3792155.0	70	68	-1	69	-1	1
70	70	6	243165.0	3792155.0	71	69	-1	70	-1	1
71	71	6	243135.0	3792145.0	72	70	-1	71	-1	1
72	72	6	243105.0	3792135.0	73	71	-1	72	-1	1
73	73	6	243085.0	3792125.0	74	72	-1	73	-1	1
74	74	6	243055.0	3792115.0	75	73	-1	74	-1	1
75	75	6	243025.0	3792105.0	76	74	-1	75	-1	1
76	76	6	243005.0	3792105.0	77	75	-1	76	-1	1
77	77	6	242975.0	3792105.0	78	76	-1	77	-1	1
78	78	6	242945.0	3792095.0	79	77	-1	78	-1	1
79	79	6	242915.0	3792085.0	80	78	-1	79	-1	1
80	80	6	242885.0	3792085.0	81	79	-1	80	-1	1
81	81	6	242855.0	3792075.0	82	80	-1	81	-1	1
82	82	6	242835.0	3792055.0	83	81	-1	82	-1	1
83	83	9	242815.0	3792045.0	83	82	-1	83	-1	1
