80
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	31.622776601683793
2	2	3	1	31.622776601683793
3	3	4	1	30.0
4	4	5	1	30.0
5	5	6	1	30.0
6	6	7	1	22.360679774997898
7	7	8	1	31.622776601683793
8	8	9	1	28.284271247461902
9	9	10	1	36.05551275463989
10	10	11	1	22.360679774997898
11	11	12	1	22.360679774997898
12	12	13	1	31.622776601683793
13	13	14	1	28.284271247461902
14	14	15	1	28.284271247461902
15	15	16	1	31.622776601683793
16	16	17	1	22.360679774997898
17	17	18	1	30.0
18	18	19	1	31.622776601683793
19	19	20	1	36.05551275463989
20	20	21	1	20.0
21	21	22	1	31.622776601683793
22	22	23	1	22.360679774997898
23	23	24	1	30.0
24	24	25	1	30.0
25	25	26	1	30.0
26	26	27	1	30.0
27	27	28	1	31.622776601683793
28	28	29	1	28.284271247461902
29	29	30	1	28.284271247461902
30	30	31	1	22.360679774997898
31	31	32	1	36.05551275463989
32	32	33	1	20.0
33	33	34	1	36.05551275463989
34	34	35	1	22.360679774997898
35	35	36	1	28.284271247461902
36	36	37	1	30.0
37	37	38	1	36.05551275463989
38	38	39	1	30.0
39	39	40	1	30.0
40	40	41	1	10.0
41	41	42	1	10.0
1	43	44	1	36.05551275463989
2	44	45	1	22.360679774997898
3	45	46	1	31.622776601683793
4	46	47	1	28.284271247461902
5	47	48	1	36.05551275463989
6	48	49	1	28.284271247461902
7	49	50	1	22.360679774997898
8	50	51	1	31.622776601683793
9	51	52	1	30.0
10	52	53	1	22.360679774997898
11	53	54	1	31.622776601683793
12	54	55	1	22.360679774997898
13	55	56	1	30.0
14	56	57	1	31.622776601683793
15	57	58	1	22.360679774997898
16	58	59	1	42.42640687119285
17	59	60	1	22.360679774997898
18	60	61	1	14.142135623730951
1	62	63	2	36.05551275463989
2	63	64	2	22.360679774997898
3	64	65	2	31.622776601683793
4	65	66	2	30.0
5	66	67	2	30.0
6	67	68	2	22.360679774997898
7	68	69	2	30.0
8	69	70	2	30.0
9	70	71	2	31.622776601683793
10	71	72	2	31.622776601683793
11	72	73	2	22.360679774997898
12	73	74	2	31.622776601683793
13	74	75	2	31.622776601683793
14	75	76	2	20.0
15	76	77	2	30.0
16	77	78	2	31.622776601683793
17	78	79	2	31.622776601683793
18	79	80	2	30.0
19	80	81	2	31.622776601683793
20	81	82	2	28.284271247461902
21	82	83	2	22.360679774997898
