Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
1,6048,578,6048,578,1,2135.57,67.45,0.00,0.00,0.00,0.00283,0,0,0,
2,5978,761,6048,578,1,2135.57,67.45,247.14,247.14,0.00,0.00283,0,22,23,
3,5947,822,5978,762,2,2128.12,67.82,75.01,322.15,247.14,0.00134,0,32,33,
4,5861,859,5946,823,3,2103.89,67.94,103.91,426.06,322.15,0.00097,0,42,43,
5,5556,1051,5860,859,4,2101.50,68.30,406.73,832.79,426.06,0.00172,0,52,53,
6,5344,1058,5555,1051,5,59.98,70.49,242.20,1074.98,832.79,0.01032,0,62,63,
7,5339,1020,5343,1057,6,14.00,71.40,44.56,1119.54,1074.98,0.01571,0,72,73,
8,5378,970,5340,1019,7,5.97,72.86,83.33,1202.86,1119.54,0.01681,0,82,83,
9,5303,709,5379,969,8,2.65,75.08,335.20,1538.06,1202.86,0.01343,91,92,93,
10,5370,898,5378,969,8,2.46,73.62,81.70,1284.56,1202.86,0.00734,101,102,103,
11,5005,793,5339,1019,7,7.80,76.82,561.48,1681.01,1119.53,0.02066,111,112,113,
12,5263,1104,5343,1059,6,45.12,71.97,106.74,1181.72,1074.98,0.01780,0,122,123,
13,5129,1073,5262,1104,12,2.28,73.33,182.52,1364.24,1181.72,0.00384,131,132,133,
14,5122,1150,5262,1105,12,41.27,73.28,168.92,1350.64,1181.72,0.00120,0,142,143,
15,4973,918,5121,1150,14,2.87,76.99,341.92,1692.56,1350.64,0.02602,151,152,153,
16,5068,1183,5121,1151,14,37.32,73.41,68.25,1418.90,1350.64,0.00290,0,162,163,
17,5058,1177,5067,1183,16,3.71,73.50,12.49,1431.38,1418.90,0.00002,0,172,173,
18,5037,1162,5057,1176,17,1.29,73.50,27.21,1458.59,1431.38,0.00002,181,182,183,
19,4857,1044,5057,1177,17,2.38,75.28,310.19,1741.57,1431.38,0.02095,191,192,193,
20,4964,1228,5067,1184,16,31.34,73.55,129.85,1548.75,1418.90,0.00078,0,202,203,
21,4928,1247,4963,1228,20,28.99,73.65,44.46,1593.20,1548.75,0.00223,0,212,213,
22,4877,1261,4927,1247,21,19.05,73.76,61.77,1654.97,1593.20,0.00163,0,222,223,
23,4836,1271,4876,1261,22,16.17,73.88,46.80,1701.77,1654.97,0.00214,0,232,233,
24,4775,1056,4835,1270,23,3.23,76.33,299.12,2000.89,1701.77,0.02674,241,242,243,
25,4798,1272,4835,1272,23,12.35,74.00,43.38,1745.16,1701.77,0.00230,0,252,253,
26,4596,1226,4797,1271,25,4.51,74.71,250.55,1995.70,1745.15,0.01277,261,262,263,
27,4652,1340,4797,1272,25,6.57,74.26,184.79,1929.95,1745.15,0.00271,0,272,273,
28,4551,1285,4651,1339,27,1.47,75.06,132.85,2062.80,1929.95,0.01355,281,282,283,
29,4467,1379,4651,1341,27,3.96,75.40,220.21,2150.16,1929.95,0.01181,291,292,293,
30,4682,1439,4876,1262,22,2.52,74.26,301.72,1956.69,1654.97,0.00265,301,302,303,
31,4286,1535,4927,1248,21,8.93,75.16,840.04,2433.25,1593.21,0.00607,311,312,313,
32,4910,1287,4963,1229,20,1.48,73.71,88.54,1637.29,1548.75,0.00225,321,322,323,
33,5477,1119,5555,1052,5,2038.74,68.87,118.68,951.47,832.79,0.00253,0,332,333,
34,5081,1368,5476,1120,33,1976.40,69.64,687.56,1639.03,951.46,0.00175,0,342,343,
35,4864,1514,5080,1368,34,1959.76,70.30,308.32,1947.34,1639.02,0.00098,0,352,353,
36,4659,1596,4863,1514,35,1928.39,70.67,273.31,2220.65,1947.35,0.00183,0,362,363,
37,4298,1644,4658,1595,36,4.42,74.70,483.16,2703.83,2220.67,0.01077,371,372,373,
38,4651,1616,4659,1597,36,1922.67,71.00,23.31,2243.97,2220.66,0.00002,0,382,383,
39,4422,1702,4650,1617,38,18.26,74.78,292.61,2536.58,2243.98,0.01572,0,392,393,
40,4353,1702,4421,1702,39,1.41,75.64,85.57,2622.16,2536.59,0.00118,401,402,403,
41,4325,1746,4421,1703,39,13.49,75.65,132.58,2669.17,2536.59,0.00076,0,412,413,
42,4245,1758,4324,1746,41,10.20,75.89,97.15,2766.33,2669.17,0.00308,0,422,423,
