Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
1,1801,181,1801,181,1,2132.95,68.10,0.00,0.00,0.00,0.00149,0,0,0,
2,1638,294,1801,181,1,2132.95,68.10,674.29,674.29,0.00,0.00149,0,22,23,
3,1565,285,1637,293,2,26.63,70.92,282.55,956.84,674.29,0.01487,31,32,33,
4,1610,320,1637,295,2,2075.91,68.89,124.07,798.36,674.29,0.00403,0,42,43,
5,1504,349,1609,321,4,2008.68,69.49,460.53,1258.89,798.36,0.00152,0,52,53,
6,1399,367,1503,349,5,36.20,73.45,382.40,1641.29,1258.89,0.01072,61,62,63,
7,1411,448,1503,350,5,1967.54,70.22,485.04,1743.93,1258.89,0.00145,0,72,73,
8,1336,486,1410,448,7,1921.95,70.80,307.79,2051.73,1743.94,0.00163,0,82,83,
9,1218,531,1335,486,8,33.10,75.18,428.35,2480.08,2051.73,0.01144,91,92,93,
10,1308,527,1335,487,8,1885.60,71.31,164.82,2216.55,2051.73,0.00304,0,102,103,
11,1111,653,1308,528,10,1813.17,72.46,872.54,3089.10,2216.56,0.00390,0,112,113,
12,1103,672,1110,654,11,1767.21,74.90,66.94,3156.04,3089.10,0.00001,0,122,123,
13,1079,673,1102,673,12,20.45,77.39,110.10,3266.14,3156.04,0.02453,131,132,133,
14,1078,741,1103,673,12,1743.42,75.00,240.55,3396.59,3156.04,0.00125,0,142,143,
15,1051,831,1077,742,14,1617.15,75.61,308.52,3705.12,3396.60,0.00195,0,152,153,
16,1013,918,1050,831,15,32.71,79.15,359.43,4064.55,3705.12,0.01030,161,162,163,
17,1045,866,1051,832,15,1559.06,75.86,114.94,3820.06,3705.12,0.00174,0,172,173,
18,1028,1063,1044,867,17,1526.88,76.76,669.59,4489.65,3820.06,0.00254,0,182,183,
19,1027,1081,1028,1064,18,1354.34,77.70,57.73,4547.38,4489.65,0.00001,0,192,193,
20,932,1090,1026,1082,19,42.07,80.56,370.92,4918.30,4547.38,0.01240,0,202,203,
21,886,1055,931,1089,20,18.78,83.51,229.49,5147.79,4918.30,0.01308,211,212,213,
22,842,1109,931,1090,20,21.19,84.43,324.76,5243.07,4918.30,0.01109,221,222,223,
23,1029,1096,1027,1082,19,1310.52,77.70,52.46,4599.84,4547.38,0.00001,0,232,233,
24,912,1219,1028,1097,23,33.73,81.91,691.53,5291.37,4599.84,0.00853,241,242,243,
25,937,1281,1029,1097,23,1276.59,78.56,771.45,5371.29,4599.84,0.00182,0,252,253,
26,863,1352,936,1282,25,1202.52,79.62,348.89,5720.18,5371.29,0.00258,0,262,263,
27,793,1428,862,1353,26,864.95,82.81,348.07,6068.25,5720.18,0.01609,0,272,273,
28,717,1297,792,1428,27,31.55,87.32,522.71,6590.97,6068.25,0.01167,281,282,283,
