147
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	56.92099788303083
2	2	3	1	76.36753236814714
3	3	4	1	148.49242404917499
4	4	5	1	140.07141035914503
5	5	6	1	144.81022063376605
6	6	7	1	150.6286825275983
7	7	8	1	125.03199590504823
8	8	9	1	103.0970416646375
9	9	10	1	108.16653826391968
10	10	11	1	4.242640687119285
1	12	13	1	73.79024325749306
2	13	14	1	131.79529581893277
3	14	15	1	130.3878828726044
4	15	16	1	117.61377470347595
5	16	17	1	138.7155362603627
6	17	18	1	70.80254232723568
7	18	19	1	132.4424403278647
8	19	20	1	25.80697580112788
9	20	21	1	113.20777358467925
10	21	22	1	89.19641248391103
11	22	23	1	44.294469180700204
12	23	24	1	6.708203932499369
13	24	25	1	133.2216198670471
14	25	26	1	20.12461179749811
15	26	27	1	3.0
1	28	29	1	125.64234954823155
2	29	30	1	117.61377470347595
3	30	31	1	124.45481107614924
4	31	32	1	137.6735268670052
5	32	33	1	120.93386622447825
6	33	34	1	118.79393923933998
7	34	35	1	136.85393673548452
8	35	36	1	133.96268137059664
9	36	37	1	16.15549442140351
10	37	38	1	3.0
1	39	40	1	135.36617007214173
2	40	41	1	141.50971698084905
3	41	42	1	109.20164833920778
4	42	43	1	146.7548977036201
5	43	44	1	140.07141035914503
6	44	45	1	70.03570517957252
7	45	46	1	4.242640687119285
1	47	48	1	138.42326394071193
2	48	49	1	130.14607178090316
3	49	50	1	141.7956275771577
4	50	51	1	132.30646242719968
5	51	52	1	105.68348972285122
6	52	53	1	111.64676439557037
7	53	54	1	124.45481107614924
8	54	55	1	117.03845521878696
9	55	56	1	120.78493283518438
10	56	57	1	49.658836071740545
11	57	58	1	89.19641248391103
12	58	59	1	107.41508273980894
13	59	60	1	137.41178988718545
14	60	61	1	74.21590126111789
15	61	62	1	36.61966684720111
16	62	63	1	129.8345100502944
17	63	64	1	65.79513659838392
18	64	65	1	65.79513659838392
19	65	66	1	114.03946685248927
20	66	67	1	138.13037319865606
21	67	68	1	67.68308503607086
22	68	69	1	3.0
1	70	71	2	142.61837188805654
2	71	72	2	135.03332921912278
3	72	73	2	132.54433220624713
4	73	74	2	141.60508465447137
5	74	75	2	15.0
6	75	76	2	108.16653826391968
7	76	77	2	8.48528137423857
8	77	78	2	115.41230437002807
9	78	79	2	105.34229919647663
10	79	80	2	136.6235704408284
11	80	81	2	124.31009613060397
12	81	82	2	112.08925015361643
13	82	83	2	4.242640687119285
1	84	85	1	137.11673858431726
2	85	86	1	138.2931668593933
3	86	87	1	127.27922061357856
4	87	88	1	133.15404612703287
5	88	89	1	108.37435120913067
6	89	90	1	124.2014492669067
7	90	91	1	132.8834075421006
8	91	92	1	57.3149195236284
9	92	93	1	3.0
1	94	95	2	135.0
2	95	96	2	109.20164833920778
3	96	97	2	135.0
4	97	98	2	128.16005617976296
5	98	99	2	141.0319112825179
6	99	100	2	135.83077707206124
7	100	101	2	139.20129309744217
8	101	102	2	129.5569372901351
9	102	103	2	69.06518659932803
10	103	104	2	21.633307652783937
11	104	105	2	4.242640687119285
1	106	107	2	138.42326394071193
2	107	108	2	139.5886814895821
3	108	109	2	130.80137613954986
4	109	110	2	144.31216164966833
5	110	111	2	132.13629327327143
6	111	112	2	135.83077707206124
7	112	113	2	141.89080308462562
8	113	114	2	102.52804494381037
9	114	115	2	3.0
1	116	117	1	126.03570922560003
2	117	118	1	51.35172830587107
3	118	119	1	54.08326913195984
4	119	120	1	52.392747589718944
5	120	121	1	6.0
6	121	122	1	4.242640687119285
1	123	124	2	51.088159097779204
2	124	125	2	3.0
1	126	127	2	141.50971698084905
2	127	128	2	135.03332921912278
3	128	129	2	130.6981254647518
4	129	130	2	142.1442928857856
5	130	131	2	132.8834075421006
6	131	132	2	140.61649974309557
7	132	133	2	136.82105101189657
8	133	134	2	137.64083696345355
9	134	135	2	136.85393673548452
10	135	136	2	138.19551367537227
11	136	137	2	137.37903770226373
12	137	138	2	137.64083696345355
13	138	139	2	116.84605256490268
14	139	140	2	115.80155439371269
15	140	141	2	30.886890422961002
16	141	142	2	136.85393673548452
17	142	143	2	16.97056274847714
18	143	144	2	3.0
1	145	146	2	135.66502865514016
2	146	147	2	126.60568707605516
3	147	148	2	137.11673858431726
4	148	149	2	129.41792766073794
5	149	150	2	135.9301291105103
6	150	151	2	132.30646242719968
7	151	152	2	72.99315036357864
8	152	153	2	94.86832980505137
9	153	154	2	138.7155362603627
10	154	155	2	136.35981812836215
11	155	156	2	138.68309197591464
12	156	157	2	140.61649974309557
13	157	158	2	130.14607178090316
14	158	159	2	129.79984591670362
15	159	160	2	99.72462083156798
