Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
22,,,2,1,0.4970,,69.59,,0.21656,173.21,0.860,,,,,0.08223,8.51,,,,0.04804,50.00,0.03796,50.00,,,,,,,,,1
23,,,2,1,0.7604,,70.78,,0.16937,328.58,0.659,,,,,0.00001,0.00,,,,0.03600,50.00,0.10092,41.62,,,,,,,,,1
32,,,3,1,0.2600,,69.93,,0.14118,151.05,0.558,,,,,0.00001,0.00,,,,0.05120,50.00,0.08238,24.75,,,,,,,,,1
33,,,3,1,0.1130,,70.24,,0.25897,317.74,0.967,,,,,0.00001,0.00,,,,0.14859,32.30,0.00001,0.00,,,,,,,,,1
42,,,4,1,0.2199,,70.11,,0.19210,129.32,0.768,,,,,0.00001,0.00,,,,0.09660,46.58,0.00001,0.00,,,,,,,,,1
43,,,4,1,0.4064,,71.30,,0.12062,296.90,0.461,,,,,0.00001,0.00,,,,0.00200,50.00,0.12059,35.65,,,,,,,,,1
52,,,5,1,2.0445,,72.19,,0.12928,145.50,0.516,,,,,0.02704,194.45,,,,0.01200,50.00,0.00801,50.00,,,,,,,,,1
53,,,5,1,0.7389,,70.48,,0.26897,292.61,1.071,,,,,0.00002,8.15,,,,0.05999,50.00,0.03201,50.00,,,,,,,,,1
62,,,6,1,0.6418,,73.11,,0.13181,87.16,0.500,,,,,0.00001,0.00,,,,0.00799,50.00,0.05831,49.73,,,,,,,,,1
63,,,6,1,0.2210,,72.00,,0.27127,264.99,1.026,,,,,0.00001,0.00,,,,0.05673,47.58,0.00001,0.00,,,,,,,,,1
72,,,7,1,0.1696,,73.15,,0.05987,355.10,0.209,,,,,0.08755,19.42,,,,0.01400,50.00,0.00401,50.00,,,,,,,,,1
73,,,7,1,0.0616,,72.80,,0.18401,174.71,0.670,,,,,0.00001,0.00,,,,0.06142,31.75,0.00001,0.00,,,,,,,,,1
82,,,8,1,0.5591,,73.55,,0.03116,8.79,0.134,,,,,0.00482,20.80,,,,0.01400,50.00,0.00800,50.00,,,,,,,,,1
83,,,8,1,0.2904,,73.60,,0.03314,123.79,0.148,,,,,0.06180,7.28,,,,0.02200,50.00,0.01800,50.00,,,,,,,,,1
91,,,9,0,1.3033,,85.81,,0.21032,185.15,0.885,,,,,0.07203,162.59,,,,0.08800,50.00,0.06978,50.00,,,,,,,,,1
92,,,9,1,0.4868,,74.72,,0.03820,54.20,0.157,,,,,0.00001,0.00,,,,0.01281,50.00,0.00741,21.52,,,,,,,,,1
93,,,9,1,0.8648,,77.58,,0.09882,138.39,0.419,,,,,0.01567,102.09,,,,0.08560,50.00,0.08240,50.00,,,,,,,,,1
101,,,10,0,1.2001,,78.11,,0.07248,131.44,0.323,,,,,0.01919,166.79,,,,0.09865,50.00,0.08935,50.00,,,,,,,,,1
