CCHE1D_Reach,TopAGNPS_Reach
597,216
592,221
598,215
579,234
578,235
591,222
580,233
593,220
595,218
599,214
581,232
577,236
614,199
590,223
594,219
564,249
570,243
571,242
596,217
601,212
615,198
602,211
603,210
600,213
576,237
583,230
563,250
619,194
604,209
566,247
565,248
567,246
572,241
492,321
605,208
493,320
568,245
562,251
569,244
573,240
561,252
582,231
606,207
495,318
616,197
494,319
586,227
584,229
496,317
620,193
613,200
585,228
587,226
575,238
588,225
608,205
634,179
574,239
555,258
589,224
607,206
560,253
609,204
559,254
558,255
550,263
549,264
551,262
554,259
502,311
621,192
610,203
633,180
557,256
635,178
547,266
556,257
611,202
630,183
636,177
498,315
548,265
612,201
546,267
617,196
618,195
639,174
552,261
553,260
497,316
491,422
637,176
508,305
640,173
628,185
499,314
622,191
509,304
500,313
488,425
503,310
501,312
487,426
641,172
505,308
539,274
638,175
517,296
540,273
643,170
642,171
489,424
490,423
545,268
623,190
644,169
627,186
529,284
541,272
542,271
521,292
486,427
543,270
504,309
624,189
544,269
661,152
625,188
405,508
629,184
510,303
538,275
536,277
406,507
537,276
660,153
645,168
631,182
528,285
632,181
484,429
485,428
626,187
530,283
535,278
407,506
404,509
534,279
649,164
533,280
527,286
410,503
662,151
663,150
531,282
506,307
532,281
413,500
646,167
526,287
507,306
483,430
411,502
412,501
511,302
664,149
648,165
665,148
466,447
516,297
650,163
651,162
414,499
520,293
482,431
512,301
525,288
401,512
522,291
647,166
518,295
463,450
652,161
460,453
523,290
519,294
467,446
653,160
701,112
524,289
428,485
400,513
654,159
427,486
515,298
470,443
403,510
402,511
666,147
514,299
429,484
667,146
426,487
468,445
700,113
513,300
703,110
481,432
469,444
465,448
425,488
459,454
461,452
702,111
480,433
704,109
399,514
655,158
473,440
415,498
424,489
656,157
682,131
709,104
471,442
462,451
458,455
430,483
479,434
464,449
457,456
408,505
409,504
475,438
681,132
683,130
398,515
705,108
684,129
456,457
472,441
397,516
668,145
474,439
657,156
476,437
423,490
416,497
685,128
372,541
477,436
445,468
396,517
658,155
395,518
686,127
659,154
431,482
478,435
669,144
455,458
454,459
444,469
687,126
670,143
371,542
710,103
711,102
374,539
672,141
671,142
451,462
673,140
373,540
446,467
453,460
394,519
393,520
421,492
422,491
443,470
442,471
417,496
420,493
391,522
440,473
441,472
452,461
447,466
450,463
449,464
706,107
369,544
708,105
308,605
448,465
309,604
727,86
712,101
419,494
418,495
674,139
392,521
375,538
675,138
390,523
386,527
380,533
434,479
439,474
362,551
713,100
432,481
433,480
368,545
306,607
370,543
729,84
714,99
688,125
247,666
437,476
382,531
689,124
438,475
435,478
680,133
389,524
250,663
699,114
310,603
436,477
690,123
676,137
357,556
723,90
707,106
246,667
735,78
248,665
679,134
385,528
387,526
376,537
715,98
366,547
360,553
388,525
384,529
314,599
379,534
257,656
249,664
381,532
677,136
312,601
244,669
696,117
245,668
243,670
691,122
356,557
383,530
258,655
307,606
311,602
305,608
740,73
358,555
367,546
377,536
378,535
695,118
241,672
242,671
259,654
348,565
365,548
364,549
724,89
728,85
363,550
320,593
361,552
315,598
313,600
720,93
352,561
347,566
359,554
266,647
725,88
747,66
730,83
316,597
355,558
346,567
267,646
741,72
240,673
345,568
270,643
324,589
719,94
678,135
744,69
731,82
326,587
692,121
755,58
351,562
353,560
255,658
256,657
239,674
697,116
693,120
317,596
746,67
721,92
354,559
