CCHE1D_Reach,TopAGNPS_Reach
127,229
129,217
130,214
132,210
131,213
133,207
122,244
123,241
124,240
136,196
102,317
128,224
126,238
125,239
120,258
134,202
121,253
138,192
144,176
119,265
135,201
137,195
103,310
101,422
139,190
145,169
117,270
100,427
104,306
140,188
118,269
142,182
105,303
116,275
146,168
143,181
141,187
113,282
87,509
115,280
88,503
114,281
89,500
147,166
112,287
106,300
152,145
148,161
110,291
108,295
111,289
109,294
149,159
90,486
107,298
96,445
97,442
95,448
163,106
99,433
86,514
150,155
158,122
94,457
98,436
85,518
151,154
153,144
93,469
164,99
154,141
155,140
78,538
156,137
84,521
91,479
92,474
77,543
64,603
50,665
82,526
79,537
165,98
83,525
81,529
52,656
51,664
157,135
49,668
63,606
65,596
75,555
76,546
80,536
73,565
72,566
55,647
170,88
172,82
74,558
71,568
56,643
159,121
48,674
161,116
160,119
168,92
62,609
171,87
173,81
166,97
66,586
167,95
162,115
47,678
169,91
174,80
30,744
175,77
178,68
53,651
54,648
179,63
176,76
29,745
28,748
26,756
177,75
27,755
180,62
25,759
181,60
183,52
16,813
182,57
46,680
184,51
33,735
61,613
67,580
70,575
57,638
69,576
58,633
68,577
59,626
60,623
187,39
15,820
185,47
32,736
31,739
41,695
44,690
45,687
24,764
36,728
43,691
17,807
42,694
37,715
40,702
14,830
34,732
35,729
186,46
188,36
192,20
23,773
22,776
12,837
13,834
9,855
39,705
38,710
189,35
8,870
21,780
20,785
11,839
10,844
193,17
18,801
19,786
194,12
190,34
195,7
7,873
196,6
191,33
197,4
4,898
3,901
5,896
6,895
2,907
198,3
199,2
1,910
