811
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	73	1	1	1
2	2	74	122	2	2	1
3	3	123	227	3	3	1
4	4	228	263	4	4	1
5	5	264	335	5	5	1
6	6	336	623	6	6	1
7	7	624	649	7	7	1
8	8	650	686	8	8	1
9	9	687	897	9	9	1
10	10	898	986	10	10	1
11	11	987	1142	11	11	1
12	12	1143	1241	12	12	1
13	13	1242	1403	13	13	1
14	14	1404	1443	14	14	1
15	15	1444	1531	15	15	1
16	16	1532	1547	16	16	1
17	17	1548	1549	17	17	1
18	18	1550	1757	18	18	1
19	19	1758	1842	19	19	1
20	20	1843	2218	20	20	1
21	21	2219	2367	21	21	1
22	22	2368	2630	22	22	1
23	23	2631	2834	23	23	1
24	24	2835	2984	24	24	1
25	25	2985	3156	25	25	1
26	26	3157	3225	26	26	1
27	27	3226	3314	27	27	1
28	28	3315	3329	28	28	1
29	29	3330	3438	29	29	1
30	30	3439	3561	30	30	1
31	31	3562	3648	31	31	1
32	32	3649	3668	32	32	1
33	33	3669	3716	33	33	1
34	34	3717	3792	34	34	1
35	35	3793	3885	35	35	1
36	36	3886	4192	36	36	1
37	37	4193	4590	37	37	1
38	38	4591	4820	38	38	1
39	39	4821	4845	39	39	1
40	40	4846	4904	40	40	1
41	41	4905	5200	41	41	1
42	42	5201	5235	42	42	1
43	43	5236	5368	43	43	1
44	44	5369	5505	44	44	1
45	45	5506	5535	45	45	1
46	46	5536	5583	46	46	1
47	47	5584	5639	47	47	1
48	48	5640	5689	48	48	1
49	49	5690	5799	49	49	1
50	50	5800	5814	50	50	1
51	51	5815	5851	51	51	1
52	52	5852	5939	52	52	1
53	53	5940	6136	53	53	1
54	54	6137	6245	54	54	1
55	55	6246	6397	55	55	1
56	56	6398	6565	56	56	1
57	57	6566	6809	57	57	1
58	58	6810	6875	58	58	1
59	59	6876	7027	59	59	1
60	60	7028	7102	60	60	1
61	61	7103	7170	61	61	1
62	62	7171	7308	62	62	1
63	63	7309	7409	63	63	1
64	64	7410	7503	64	64	1
65	65	7504	7551	65	65	1
66	66	7552	7666	66	66	1
67	67	7667	7825	67	67	1
68	68	7826	7893	68	68	1
69	69	7894	7973	69	69	1
70	70	7974	8236	70	70	1
71	71	8237	8347	71	71	1
72	72	8348	8426	72	72	1
73	73	8427	8557	73	73	1
74	74	8558	8738	74	74	1
75	75	8739	8830	75	75	1
76	76	8831	8937	76	76	1
77	77	8938	9254	77	77	1
78	78	9255	9355	78	78	1
79	79	9356	9367	79	79	1
80	80	9368	9467	80	80	1
81	81	9468	9501	81	81	1
82	82	9502	9615	82	82	1
83	83	9616	9994	83	83	1
84	84	9995	10059	84	84	1
85	85	10060	10148	85	85	1
86	86	10149	10419	86	86	1
87	87	10420	10582	87	87	1
88	88	10583	10780	88	88	1
89	89	10781	11007	89	89	1
90	90	11008	11156	90	90	1
91	91	11157	11281	91	91	1
92	92	11282	11350	92	92	1
93	93	11351	11407	93	93	1
94	94	11408	11437	94	94	1
95	95	11438	11465	95	95	1
96	96	11466	11770	96	96	1
97	97	11771	11868	97	97	1
98	98	11869	12014	98	98	1
99	99	12015	12021	99	99	1
100	100	12022	12119	100	100	1
101	101	12120	12161	101	101	1
102	102	12162	12280	102	102	1
103	103	12281	12351	103	103	1
104	104	12352	12378	104	104	1
105	105	12379	12621	105	105	1
106	106	12622	12747	106	106	1
107	107	12748	12858	107	107	1
108	108	12859	13088	108	108	1
109	109	13089	13210	109	109	1
110	110	13211	13386	110	110	1
111	111	13387	13548	111	111	1
112	112	13549	13634	112	112	1
113	113	13635	13743	113	113	1
114	114	13744	13873	114	114	1
115	115	13874	14037	115	115	1
116	116	14038	14117	116	116	1
117	117	14118	14193	117	117	1
118	118	14194	14209	118	118	1
119	119	14210	14286	119	119	1
120	120	14287	14324	120	120	1
121	121	14325	14383	121	121	1
122	122	14384	14529	122	122	1
123	123	14530	14592	123	123	1
124	124	14593	14705	124	124	1
125	125	14706	14804	125	125	1
126	126	14805	14844	126	126	1
127	127	14845	14986	127	127	1
128	128	14987	15034	128	128	1
129	129	15035	15395	129	129	1
130	130	15396	15625	130	130	1
131	131	15626	15763	131	131	1
132	132	15764	15920	132	132	1
133	133	15921	15939	133	133	1
134	134	15940	15983	134	134	1
135	135	15984	16072	135	135	1
136	136	16073	16154	136	136	1
137	137	16155	16239	137	137	1
138	138	16240	16467	138	138	1
139	139	16468	16525	139	139	1
140	140	16526	16635	140	140	1
141	141	16636	16644	141	141	1
142	142	16645	16786	142	142	1
143	143	16787	16810	143	143	1
144	144	16811	16944	144	144	1
145	145	16945	17108	145	145	1
146	146	17109	17286	146	146	1
147	147	17287	17334	147	147	1
148	148	17335	17387	148	148	1
149	149	17388	17547	149	149	1
150	150	17548	17823	150	150	1
151	151	17824	18088	151	151	1
152	152	18089	18204	152	152	1
