199
CH_ID	CH_NDUSID	CH_NDDSID
1	1	18
2	19	54
3	55	84
4	85	100
5	101	104
6	105	142
7	143	327
8	328	348
9	349	468
10	469	526
11	527	574
12	575	609
13	610	613
14	614	699
15	700	752
16	753	784
17	785	806
18	807	824
19	825	909
20	910	920
21	921	950
22	951	986
23	987	1001
24	1002	1104
25	1105	1224
26	1225	1235
27	1236	1243
28	1244	1313
29	1314	1321
30	1322	1370
31	1371	1404
32	1405	1411
33	1412	1469
34	1470	1472
35	1473	1481
36	1482	1513
37	1514	1589
38	1590	1599
39	1600	1628
40	1629	1702
41	1703	1771
42	1772	1776
43	1777	1804
44	1805	1818
45	1819	1822
46	1823	1883
47	1884	1942
48	1943	1994
49	1995	2002
50	2003	2016
51	2017	2022
52	2023	2107
53	2108	2184
54	2185	2242
55	2243	2273
56	2274	2335
57	2336	2355
58	2356	2394
59	2395	2482
60	2483	2530
61	2531	2569
62	2570	2594
63	2595	2597
64	2598	2619
65	2620	2663
66	2664	2772
67	2773	2824
68	2825	2859
69	2860	2869
70	2870	2873
71	2874	2959
72	2960	2983
73	2984	3001
74	3002	3055
75	3056	3084
76	3085	3163
77	3164	3196
78	3197	3239
79	3240	3254
80	3255	3262
81	3263	3316
82	3317	3320
83	3321	3327
84	3328	3384
85	3385	3403
86	3404	3433
87	3434	3477
88	3478	3521
89	3522	3526
90	3527	3592
91	3593	3596
92	3597	3624
93	3625	3657
94	3658	3724
95	3725	3795
96	3796	3800
97	3801	3842
98	3843	3890
99	3891	3930
100	3931	3947
101	3948	3977
102	3978	4034
103	4035	4080
104	4081	4123
105	4124	4147
106	4148	4193
107	4194	4212
108	4213	4232
109	4233	4248
110	4249	4255
111	4256	4277
112	4278	4303
113	4304	4324
114	4325	4334
115	4335	4350
116	4351	4406
117	4407	4451
118	4452	4463
119	4464	4473
120	4474	4517
121	4518	4552
122	4553	4591
123	4592	4604
124	4605	4651
125	4652	4664
126	4665	4695
127	4696	4805
128	4806	4839
129	4840	4884
130	4885	4920
131	4921	4932
132	4933	4951
133	4952	4995
134	4996	5027
135	5028	5037
136	5038	5088
137	5089	5108
138	5109	5154
139	5155	5184
140	5185	5210
141	5211	5215
142	5216	5227
143	5228	5249
144	5250	5317
145	5318	5369
146	5370	5388
147	5389	5412
148	5413	5425
149	5426	5438
150	5439	5465
151	5466	5469
152	5470	5554
153	5555	5563
154	5564	5585
155	5586	5613
156	5614	5655
157	5656	5690
158	5691	5785
159	5786	5789
160	5790	5831
161	5832	5840
162	5841	5850
163	5851	5933
164	5934	5996
165	5997	6036
166	6037	6046
167	6047	6067
168	6068	6075
169	6076	6082
170	6083	6098
171	6099	6133
172	6134	6147
173	6148	6161
174	6162	6190
175	6191	6198
176	6199	6216
177	6217	6235
178	6236	6263
179	6264	6275
180	6276	6283
181	6284	6301
182	6302	6307
183	6308	6318
184	6319	6360
185	6361	6418
186	6419	6430
187	6431	6487
188	6488	6519
189	6520	6552
190	6553	6624
191	6625	6639
192	6640	6693
193	6694	6697
194	6698	6735
195	6736	6750
196	6751	6777
197	6778	6830
198	6831	6840
199	6841	6868
