199
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	18	1	1	1
2	2	19	54	2	2	1
3	3	55	84	3	3	1
4	4	85	100	4	4	1
5	5	101	104	5	5	1
6	6	105	142	6	6	1
7	7	143	327	7	7	1
8	8	328	348	8	8	1
9	9	349	468	9	9	1
10	10	469	526	10	10	1
11	11	527	574	11	11	1
12	12	575	609	12	12	1
13	13	610	613	13	13	1
14	14	614	699	14	14	1
15	15	700	752	15	15	1
16	16	753	784	16	16	1
17	17	785	806	17	17	1
18	18	807	824	18	18	1
19	19	825	909	19	19	1
20	20	910	920	20	20	1
21	21	921	950	21	21	1
22	22	951	986	22	22	1
23	23	987	1001	23	23	1
24	24	1002	1104	24	24	1
25	25	1105	1224	25	25	1
26	26	1225	1235	26	26	1
27	27	1236	1243	27	27	1
28	28	1244	1313	28	28	1
29	29	1314	1321	29	29	1
30	30	1322	1370	30	30	1
31	31	1371	1404	31	31	1
32	32	1405	1411	32	32	1
33	33	1412	1469	33	33	1
34	34	1470	1472	34	34	1
35	35	1473	1481	35	35	1
36	36	1482	1513	36	36	1
37	37	1514	1589	37	37	1
38	38	1590	1599	38	38	1
39	39	1600	1628	39	39	1
40	40	1629	1702	40	40	1
41	41	1703	1771	41	41	1
42	42	1772	1776	42	42	1
43	43	1777	1804	43	43	1
44	44	1805	1818	44	44	1
45	45	1819	1822	45	45	1
46	46	1823	1883	46	46	1
47	47	1884	1942	47	47	1
48	48	1943	1994	48	48	1
49	49	1995	2002	49	49	1
50	50	2003	2016	50	50	1
51	51	2017	2022	51	51	1
52	52	2023	2107	52	52	1
53	53	2108	2184	53	53	1
54	54	2185	2242	54	54	1
55	55	2243	2273	55	55	1
56	56	2274	2335	56	56	1
57	57	2336	2355	57	57	1
58	58	2356	2394	58	58	1
59	59	2395	2482	59	59	1
60	60	2483	2530	60	60	1
61	61	2531	2569	61	61	1
62	62	2570	2594	62	62	1
63	63	2595	2597	63	63	1
64	64	2598	2619	64	64	1
65	65	2620	2663	65	65	1
66	66	2664	2772	66	66	1
67	67	2773	2824	67	67	1
68	68	2825	2859	68	68	1
69	69	2860	2869	69	69	1
70	70	2870	2873	70	70	1
71	71	2874	2959	71	71	1
72	72	2960	2983	72	72	1
73	73	2984	3001	73	73	1
74	74	3002	3055	74	74	1
75	75	3056	3084	75	75	1
76	76	3085	3163	76	76	1
77	77	3164	3196	77	77	1
78	78	3197	3239	78	78	1
79	79	3240	3254	79	79	1
80	80	3255	3262	80	80	1
81	81	3263	3316	81	81	1
82	82	3317	3320	82	82	1
83	83	3321	3327	83	83	1
84	84	3328	3384	84	84	1
85	85	3385	3403	85	85	1
86	86	3404	3433	86	86	1
87	87	3434	3477	87	87	1
88	88	3478	3521	88	88	1
89	89	3522	3526	89	89	1
90	90	3527	3592	90	90	1
91	91	3593	3596	91	91	1
92	92	3597	3624	92	92	1
93	93	3625	3657	93	93	1
94	94	3658	3724	94	94	1
95	95	3725	3795	95	95	1
96	96	3796	3800	96	96	1
97	97	3801	3842	97	97	1
98	98	3843	3890	98	98	1
99	99	3891	3930	99	99	1
100	100	3931	3947	100	100	1
101	101	3948	3977	101	101	1
102	102	3978	4034	102	102	1
103	103	4035	4080	103	103	1
104	104	4081	4123	104	104	1
105	105	4124	4147	105	105	1
106	106	4148	4193	106	106	1
107	107	4194	4212	107	107	1
108	108	4213	4232	108	108	1
109	109	4233	4248	109	109	1
110	110	4249	4255	110	110	1
111	111	4256	4277	111	111	1
112	112	4278	4303	112	112	1
113	113	4304	4324	113	113	1
114	114	4325	4334	114	114	1
115	115	4335	4350	115	115	1
116	116	4351	4406	116	116	1
117	117	4407	4451	117	117	1
118	118	4452	4463	118	118	1
119	119	4464	4473	119	119	1
120	120	4474	4517	120	120	1
121	121	4518	4552	121	121	1
122	122	4553	4591	122	122	1
123	123	4592	4604	123	123	1
124	124	4605	4651	124	124	1
125	125	4652	4664	125	125	1
126	126	4665	4695	126	126	1
127	127	4696	4805	127	127	1
128	128	4806	4839	128	128	1
129	129	4840	4884	129	129	1
130	130	4885	4920	130	130	1
131	131	4921	4932	131	131	1
132	132	4933	4951	132	132	1
133	133	4952	4995	133	133	1
134	134	4996	5027	134	134	1
135	135	5028	5037	135	135	1
136	136	5038	5088	136	136	1
137	137	5089	5108	137	137	1
138	138	5109	5154	138	138	1
139	139	5155	5184	139	139	1
140	140	5185	5210	140	140	1
141	141	5211	5215	141	141	1
142	142	5216	5227	142	142	1
143	143	5228	5249	143	143	1
144	144	5250	5317	144	144	1
145	145	5318	5369	145	145	1
146	146	5370	5388	146	146	1
147	147	5389	5412	147	147	1
148	148	5413	5425	148	148	1
149	149	5426	5438	149	149	1
150	150	5439	5465	150	150	1
151	151	5466	5469	151	151	1
152	152	5470	5554	152	152	1
153	153	5555	5563	153	153	1
154	154	5564	5585	154	154	1
155	155	5586	5613	155	155	1
156	156	5614	5655	156	156	1
157	157	5656	5690	157	157	1
158	158	5691	5785	158	158	1
159	159	5786	5789	159	159	1
160	160	5790	5831	160	160	1
161	161	5832	5840	161	161	1
162	162	5841	5850	162	162	1
163	163	5851	5933	163	163	1
164	164	5934	5996	164	164	1
165	165	5997	6036	165	165	1
166	166	6037	6046	166	166	1
167	167	6047	6067	167	167	1
168	168	6068	6075	168	168	1
169	169	6076	6082	169	169	1
170	170	6083	6098	170	170	1
171	171	6099	6133	171	171	1
172	172	6134	6147	172	172	1
173	173	6148	6161	173	173	1
174	174	6162	6190	174	174	1
175	175	6191	6198	175	175	1
176	176	6199	6216	176	176	1
177	177	6217	6235	177	177	1
178	178	6236	6263	178	178	1
179	179	6264	6275	179	179	1
180	180	6276	6283	180	180	1
181	181	6284	6301	181	181	1
182	182	6302	6307	182	182	1
183	183	6308	6318	183	183	1
184	184	6319	6360	184	184	1
185	185	6361	6418	185	185	1
186	186	6419	6430	186	186	1
187	187	6431	6487	187	187	1
188	188	6488	6519	188	188	1
189	189	6520	6552	189	189	1
190	190	6553	6624	190	190	1
191	191	6625	6639	191	191	1
192	192	6640	6693	192	192	1
193	193	6694	6697	193	193	1
194	194	6698	6735	194	194	1
195	195	6736	6750	195	195	1
196	196	6751	6777	196	196	1
197	197	6778	6830	197	197	1
198	198	6831	6840	198	198	1
199	199	6841	6868	199	199	1
