6669
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	10.295630140987
2	2	3	1	8.94427190999916
3	3	4	1	8.94427190999916
4	4	5	1	9.848857801796104
5	5	6	1	9.219544457292887
6	6	7	1	8.54400374531753
7	7	8	1	9.486832980505138
8	8	9	1	9.219544457292887
9	9	10	1	9.055385138137417
10	10	11	1	10.0
11	11	12	1	9.219544457292887
12	12	13	1	10.63014581273465
13	13	14	1	9.219544457292887
14	14	15	1	9.433981132056603
15	15	16	1	8.54400374531753
16	16	17	1	7.810249675906654
17	17	18	1	1.4142135623730951
1	19	20	1	9.899494936611665
2	20	21	1	10.63014581273465
3	21	22	1	8.94427190999916
4	22	23	1	9.899494936611665
5	23	24	1	9.219544457292887
6	24	25	1	9.055385138137417
7	25	26	1	9.0
8	26	27	1	9.486832980505138
9	27	28	1	9.219544457292887
10	28	29	1	10.0
11	29	30	1	9.433981132056603
12	30	31	1	9.055385138137417
13	31	32	1	7.211102550927978
14	32	33	1	10.0
15	33	34	1	10.04987562112089
16	34	35	1	9.055385138137417
17	35	36	1	10.0
18	36	37	1	10.04987562112089
19	37	38	1	10.04987562112089
20	38	39	1	9.055385138137417
21	39	40	1	9.219544457292887
22	40	41	1	10.0
23	41	42	1	9.0
24	42	43	1	10.0
25	43	44	1	10.04987562112089
26	44	45	1	10.0
27	45	46	1	10.04987562112089
28	46	47	1	9.055385138137417
29	47	48	1	10.0
30	48	49	1	10.198039027185569
31	49	50	1	9.0
32	50	51	1	10.04987562112089
33	51	52	1	10.0
34	52	53	1	9.055385138137417
35	53	54	1	1.0
1	55	56	1	10.0
2	56	57	1	10.198039027185569
3	57	58	1	8.06225774829855
4	58	59	1	10.04987562112089
5	59	60	1	10.0
6	60	61	1	10.0
7	61	62	1	10.04987562112089
8	62	63	1	10.0
9	63	64	1	9.0
10	64	65	1	9.433981132056603
11	65	66	1	9.055385138137417
12	66	67	1	10.0
13	67	68	1	10.04987562112089
14	68	69	1	9.219544457292887
15	69	70	1	10.04987562112089
16	70	71	1	9.055385138137417
17	71	72	1	10.198039027185569
18	72	73	1	9.0
19	73	74	1	10.44030650891055
20	74	75	1	8.246211251235321
21	75	76	1	10.0
