3765
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID
1	1	0	231891.11401283	3791823.6207244	2	-1	-1	1	-1	1
2	2	6	231874.11401283	3791814.6207244	3	1	-1	2	-1	1
3	3	6	231857.11401283	3791806.6207244	4	2	-1	3	-1	1
4	4	6	231840.11401283	3791801.6207244	5	3	-1	4	-1	1
5	5	6	231822.11401283	3791796.6207244	6	4	-1	5	-1	1
6	6	6	231805.11401283	3791789.6207244	7	5	-1	6	-1	1
7	7	6	231790.11401283	3791802.6207244	8	6	-1	7	-1	1
8	8	6	231775.11401283	3791813.6207244	9	7	-1	8	-1	1
9	9	6	231761.11401283	3791821.6207244	10	8	-1	9	-1	1
10	10	3	231760.11401283	3791822.6207244	3750	9	-1	10	-1	1
11	11	0	232172.11401283	3791826.6207244	12	-1	-1	11	-1	1
12	12	6	232157.11401283	3791812.6207244	13	11	-1	12	-1	1
13	13	6	232142.11401283	3791801.6207244	14	12	-1	13	-1	1
14	14	6	232126.11401283	3791794.6207244	15	13	-1	14	-1	1
15	15	6	232108.11401283	3791791.6207244	16	14	-1	15	-1	1
16	16	6	232089.11401283	3791789.6207244	17	15	-1	16	-1	1
17	17	6	232072.11401283	3791795.6207244	18	16	-1	17	-1	1
18	18	6	232068.11401283	3791811.6207244	19	17	-1	18	-1	1
19	19	6	232066.11401283	3791830.6207244	20	18	-1	19	-1	1
20	20	6	232065.11401283	3791850.6207244	21	19	-1	20	-1	1
21	21	6	232063.11401283	3791869.6207244	22	20	-1	21	-1	1
22	22	6	232061.11401283	3791888.6207244	23	21	-1	22	-1	1
23	23	6	232061.11401283	3791907.6207244	24	22	-1	23	-1	1
24	24	6	232060.11401283	3791927.6207244	25	23	-1	24	-1	1
25	25	6	232058.11401283	3791946.6207244	26	24	-1	25	-1	1
26	26	6	232056.11401283	3791966.6207244	27	25	-1	26	-1	1
27	27	6	232055.11401283	3791985.6207244	28	26	-1	27	-1	1
28	28	6	232056.11401283	3792004.6207244	29	27	-1	28	-1	1
29	29	3	232055.11401283	3792004.6207244	59	28	-1	29	-1	1
30	30	0	232324.11401283	3792023.6207244	31	-1	-1	30	-1	1
31	31	6	232304.11401283	3792025.6207244	32	30	-1	31	-1	1
32	32	6	232286.11401283	3792025.6207244	33	31	-1	32	-1	1
33	33	6	232266.11401283	3792025.6207244	34	32	-1	33	-1	1
34	34	6	232246.11401283	3792026.6207244	35	33	-1	34	-1	1
35	35	6	232229.11401283	3792021.6207244	36	34	-1	35	-1	1
36	36	6	232210.11401283	3792020.6207244	37	35	-1	36	-1	1
37	37	6	232191.11401283	3792017.6207244	38	36	-1	37	-1	1
38	38	6	232172.11401283	3792015.6207244	39	37	-1	38	-1	1
39	39	6	232153.11401283	3792013.6207244	40	38	-1	39	-1	1
40	40	6	232135.11401283	3792018.6207244	41	39	-1	40	-1	1
41	41	6	232115.11401283	3792018.6207244	42	40	-1	41	-1	1
42	42	6	232096.11401283	3792022.6207244	43	41	-1	42	-1	1
43	43	6	232077.11401283	3792023.6207244	44	42	-1	43	-1	1
44	44	6	232059.11401283	3792021.6207244	45	43	-1	44	-1	1
45	45	3	232058.11401283	3792021.6207244	56	44	-1	45	-1	1
46	46	0	232106.11401283	3792122.6207244	47	-1	-1	46	-1	1
47	47	6	232098.11401283	3792105.6207244	48	46	-1	47	-1	1
48	48	6	232088.11401283	3792090.6207244	49	47	-1	48	-1	1
49	49	6	232078.11401283	3792074.6207244	50	48	-1	49	-1	1
50	50	6	232068.11401283	3792059.6207244	51	49	-1	50	-1	1
51	51	6	232065.11401283	3792055.6207244	52	50	-1	51	-1	1
52	52	6	232060.11401283	3792041.6207244	53	51	-1	52	-1	1
53	53	6	232058.11401283	3792023.6207244	54	52	-1	53	-1	1
54	54	6	232058.11401283	3792022.6207244	55	53	-1	54	-1	1
55	55	3	232058.11401283	3792021.6207244	56	54	-1	45	-1	1
56	56	2	232058.11401283	3792021.6207244	57	55	45	45	-1	1
57	57	6	232056.11401283	3792005.6207244	58	56	-1	57	-1	1
58	58	3	232055.11401283	3792004.6207244	59	57	-1	29	-1	1
59	59	2	232055.11401283	3792004.6207244	60	58	29	29	-1	1
60	60	6	232039.11401283	3791993.6207244	61	59	-1	60	-1	1
61	61	6	232024.11401283	3791982.6207244	62	60	-1	61	-1	1
62	62	6	232024.11401283	3791981.6207244	63	61	-1	62	-1	1
63	63	6	232009.11401283	3791969.6207244	64	62	-1	63	-1	1
64	64	6	231994.11401283	3791958.6207244	65	63	-1	64	-1	1
65	65	6	231979.11401283	3791946.6207244	66	64	-1	65	-1	1
