43
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
26	1	11	1	511.75985847
1	11	12	1	511.75985848
2	12	13	1	511.75985847
3	13	14	1	511.75985847
4	14	15	1	511.75985848
5	15	16	1	511.75985847
6	16	17	1	511.75985848
7	17	18	1	511.75985847
8	18	19	1	511.75985847
9	19	5	1	511.75985848
36	3	20	1	370.97586087
1	20	21	1	370.97586087
2	21	22	1	370.97586088
3	22	23	1	370.97586087
4	23	24	1	370.97586088
5	24	25	1	370.97586087
6	25	26	1	370.97586088
7	26	4	1	370.97586087
20	6	27	2	459.11458190
1	27	28	2	459.11458191
2	28	29	2	459.11458191
3	29	30	2	459.11458191
4	30	31	2	459.11458190
5	31	9	2	459.11458191
11	7	32	1	535.44392413
1	32	33	1	535.44392413
2	33	34	1	535.44392412
3	34	35	1	535.44392413
4	35	36	1	535.44392413
5	36	37	1	535.44392413
6	37	38	1	535.44392412
7	38	39	1	535.44392413
8	39	8	1	535.44392413
1	10	40	2	599.80929355
1	40	41	2	599.80929354
2	41	42	2	599.80929355
3	42	43	2	599.80929355
4	43	44	2	599.80929354
5	44	45	2	599.80929355
6	45	46	2	599.80929354
7	46	47	2	599.80929355
8	47	48	2	599.80929355
9	48	2	2	599.80929353
