161
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	48.46648326421054
2	2	3	1	44.294469180700204
3	3	4	1	48.373546489791295
4	4	5	1	46.95742752749558
5	5	6	1	6.708203932499369
6	6	7	1	3.0
1	8	9	1	48.83646178829912
2	9	10	1	46.95742752749558
3	10	11	1	44.294469180700204
4	11	12	1	53.075418038862395
5	12	13	1	29.698484809834994
6	13	14	1	4.242640687119285
1	15	16	1	47.43416490252569
2	16	17	1	51.088159097779204
3	17	18	1	45.39823785126467
4	18	19	1	45.69463863518345
5	19	20	1	45.0
6	20	21	1	45.89117562233506
7	21	22	1	49.20365840057018
8	22	23	1	48.0
9	23	24	1	48.0
10	24	25	1	45.79301256742124
11	25	26	1	43.68065933568311
12	26	27	1	39.11521443121589
13	27	28	1	50.91168824543142
14	28	29	1	30.0
15	29	30	1	4.242640687119285
1	31	32	2	48.83646178829912
2	32	33	2	45.89117562233506
3	33	34	2	3.0
4	34	35	2	3.0
1	36	37	1	42.638011210655684
2	37	38	1	49.20365840057018
3	38	39	1	42.1070065428546
4	39	40	1	46.861498055439924
5	40	41	1	12.727922061357855
6	41	42	1	3.0
1	43	44	2	4.242640687119285
1	45	46	2	46.95742752749558
2	46	47	2	45.69463863518345
3	47	48	2	46.57252408878007
4	48	49	2	48.83646178829912
5	49	50	2	46.861498055439924
6	50	51	2	46.57252408878007
7	51	52	2	48.83646178829912
8	52	53	2	47.43416490252569
9	53	54	2	9.486832980505138
10	54	55	2	4.242640687119285
1	56	57	1	47.43416490252569
2	57	58	1	39.45883931389772
3	58	59	1	3.0
1	60	61	2	51.088159097779204
2	61	62	2	42.95346318982906
3	62	63	2	21.0
4	63	64	2	27.65863337187866
5	64	65	2	50.91168824543142
6	65	66	2	45.0
7	66	67	2	48.83646178829912
8	67	68	2	45.09988913511872
9	68	69	2	48.46648326421054
10	69	70	2	3.0
1	71	72	1	48.46648326421054
2	72	73	1	49.20365840057018
3	73	74	1	43.68065933568311
4	74	75	1	19.209372712298546
5	75	76	1	4.242640687119285
1	77	78	1	45.69463863518345
2	78	79	1	46.57252408878007
3	79	80	1	46.57252408878007
4	80	81	1	43.68065933568311
5	81	82	1	48.83646178829912
6	82	83	1	45.69463863518345
7	83	84	1	43.68065933568311
8	84	85	1	3.0
9	85	86	1	3.0
1	87	88	2	48.83646178829912
2	88	89	2	49.20365840057018
3	89	90	2	21.840329667841555
4	90	91	2	3.0
1	92	93	1	48.0
2	93	94	1	42.42640687119285
3	94	95	1	48.093658625644196
4	95	96	1	46.57252408878007
5	96	97	1	45.79301256742124
6	97	98	1	48.373546489791295
7	98	99	1	47.43416490252569
8	99	100	1	50.91168824543142
9	100	101	1	40.36087214122113
10	101	102	1	3.0
1	103	104	1	48.373546489791295
2	104	105	1	48.83646178829912
3	105	106	1	44.598206241955516
4	106	107	1	48.373546489791295
5	107	108	1	48.373546489791295
6	108	109	1	46.66904755831214
7	109	110	1	45.79301256742124
8	110	111	1	48.83646178829912
9	111	112	1	27.65863337187866
10	112	113	1	3.0
1	114	115	1	48.83646178829912
2	115	116	1	48.46648326421054
3	116	117	1	8.48528137423857
4	117	118	1	4.242640687119285
1	119	120	1	32.31098884280702
2	120	121	1	3.0
1	122	123	2	47.43416490252569
2	123	124	2	40.024992192379
3	124	125	2	19.209372712298546
4	125	126	2	3.0
1	127	128	2	48.46648326421054
2	128	129	2	40.24922359499622
3	129	130	2	47.43416490252569
4	130	131	2	46.95742752749558
5	131	132	2	48.093658625644196
6	132	133	2	31.32091952673165
7	133	134	2	4.242640687119285
1	135	136	1	49.92995093127971
2	136	137	1	50.91168824543142
3	137	138	1	9.0
4	138	139	1	3.0
1	140	141	2	50.91168824543142
2	141	142	2	48.83646178829912
3	142	143	2	3.0
1	144	145	2	49.20365840057018
2	145	146	2	48.83646178829912
3	146	147	2	44.598206241955516
4	147	148	2	15.0
5	148	149	2	4.242640687119285
1	150	151	3	48.83646178829912
2	151	152	3	48.373546489791295
3	152	153	3	44.598206241955516
4	153	154	3	39.11521443121589
5	154	155	3	3.0
1	156	157	1	45.69463863518345
2	157	158	1	49.47726750741192
3	158	159	1	43.68065933568311
4	159	160	1	18.973665961010276
5	160	161	1	3.0
1	162	163	1	51.088159097779204
2	163	164	1	48.83646178829912
3	164	165	1	46.66904755831214
4	165	166	1	10.816653826391969
5	166	167	1	4.242640687119285
1	168	169	2	51.088159097779204
2	169	170	2	44.294469180700204
3	170	171	2	49.47726750741192
4	171	172	2	45.39823785126467
5	172	173	2	48.83646178829912
6	173	174	2	46.95742752749558
7	174	175	2	40.80441152620633
8	175	176	2	3.0
9	176	177	2	4.242640687119285
1	178	179	3	48.373546489791295
2	179	180	3	48.373546489791295
3	180	181	3	50.91168824543142
4	181	182	3	43.68065933568311
5	182	183	3	44.294469180700204
6	183	184	3	49.20365840057018
7	184	185	3	6.0
8	185	186	3	4.242640687119285
1	187	188	3	4.242640687119285
