Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
1,OUTLET,,294.30,0.00001,,,,0.00,,,,,,,,,,,,,,,,,,,1
2,1,,294.30,0.00001,,,,7.24,,,,,,,,,,,,,,,,,,,1
3,2,,294.46,0.00097,,,,311.74,,,,,,,,,,,,,,,,,,,1
4,3,,295.30,0.00251,,,,359.43,,,,,,,,,,,,,,,,,,,1
5,4,,295.50,0.00001,,,,168.25,,,,,,,,,,,,,,,,,,,1
6,4,,295.50,0.00001,,,,174.64,,,,,,,,,,,,,,,,,,,1
7,3,,294.81,0.00357,,,,196.15,,,,,,,,,,,,,,,,,,,1
8,7,,295.30,0.00001,,,,170.01,,,,,,,,,,,,,,,,,,,1
9,8,,295.30,0.00001,,,,103.58,,,,,,,,,,,,,,,,,,,1
10,9,,295.33,0.00171,,,,116.10,,,,,,,,,,,,,,,,,,,1
11,9,,295.54,0.00242,,,,288.98,,,,,,,,,,,,,,,,,,,1
12,11,,296.00,0.00001,,,,123.34,,,,,,,,,,,,,,,,,,,1
13,12,,296.00,0.00001,,,,37.97,,,,,,,,,,,,,,,,,,,1
14,12,,296.19,0.00427,,,,116.91,,,,,,,,,,,,,,,,,,,1
15,11,,296.54,0.00347,,,,432.80,,,,,,,,,,,,,,,,,,,1
16,8,,295.78,0.00359,,,,446.35,,,,,,,,,,,,,,,,,,,1
17,7,,295.39,0.00232,,,,129.34,,,,,,,,,,,,,,,,,,,1
18,17,,295.78,0.00112,,,,357.25,,,,,,,,,,,,,,,,,,,1
19,17,,295.76,0.00115,,,,175.07,,,,,,,,,,,,,,,,,,,1
20,2,,294.79,0.00269,,,,408.89,,,,,,,,,,,,,,,,,,,1
21,20,,295.61,0.00523,,,,95.70,,,,,,,,,,,,,,,,,,,1
22,20,,296.16,0.00287,,,,418.40,,,,,,,,,,,,,,,,,,,1
23,22,,296.60,0.00001,,,,4.24,,,,,,,,,,,,,,,,,,,1
24,23,,296.90,0.00228,,,,219.25,,,,,,,,,,,,,,,,,,,1
25,23,,296.61,0.00094,,,,106.46,,,,,,,,,,,,,,,,,,,1
26,25,,298.10,0.00407,,,,688.87,,,,,,,,,,,,,,,,,,,1
27,25,,296.89,0.00126,,,,237.98,,,,,,,,,,,,,,,,,,,1
28,22,,297.07,0.00469,,,,213.34,,,,,,,,,,,,,,,,,,,1
