X,Y,GULLY_ID,COL,ROW,UPAREA,LUPAREA,SUBAREA,SLOPE,CTINDEX,STREAM_ORDER,STREAMCNT,HCUT_B,SPARES,PEG_Point,PEG_ID,CELL_ID,REACH_ID,X_Before_Snap,Y_Before_Snap,COL_Before_Snap,ROW_Before_Snap
717295.39700,4475952.83000,c032a00,506,101,4842.0000,-99.0000,5463.0000,0.023542,105.4621,-99,-99,0.0000,4,1,1032001,32,-99,,,,
717283.39700,4475940.83000,c032a01,502,105,5202.0000,-99.0000,5463.0000,0.023544,101.3852,-99,-99,4842.0000,4,2,1032002,32,-99,,,,
717274.39700,4475937.83000,c032a02,499,106,5463.0000,-99.0000,5463.0000,0.033153,117.9593,-99,-99,5202.0000,3,3,1032003,32,-99,,,,
717295.39700,4475772.83000,c033a00,506,161,4086.0000,-99.0000,4887.0000,0.033110,78.7373,-99,-99,0.0000,3,4,1033001,33,-99,,,,
717535.39700,4475919.83000,c042a00,586,112,1611.0000,-99.0000,12573.0000,0.047143,199.9072,-99,-99,0.0000,4,5,1042001,42,-99,,,,
717535.39700,4475880.83000,c042a01,586,125,6831.0000,-99.0000,12573.0000,0.000010,87.4044,-99,-99,1611.0000,3,6,1042002,42,-99,,,,
717352.39700,4475760.83000,c043a00,525,165,7704.0000,-99.0000,8595.0000,0.033297,150.0740,-99,-99,2691.0000,3,7,1043001,43,-99,,,,
717370.39700,4475733.83000,c043a01,531,174,2691.0000,-99.0000,8595.0000,0.023563,92.8191,-99,-99,2151.0000,4,8,1043002,43,-99,,,,
717742.39700,4475721.83000,c043a02,655,178,9018.0000,-99.0000,29754.0000,0.000010,211.8245,-99,-99,3735.0000,3,9,1043003,43,-99,,,,
717385.39700,4475706.83000,c043a03,536,183,2151.0000,-99.0000,8595.0000,0.066660,125.9187,-99,-99,1674.0000,4,10,1043004,43,-99,,,,
717616.39700,4475700.83000,c043a04,613,185,6102.0000,-99.0000,7299.0000,0.000010,77.2905,-99,-99,0.0000,3,11,1043005,43,-99,,,,
717385.39700,4475691.83000,c043a05,536,188,1674.0000,-99.0000,8595.0000,0.033323,75.1988,-99,-99,0.0000,4,12,1043006,43,-99,,,,
717736.39700,4475691.83000,c043a06,653,188,3735.0000,-99.0000,29754.0000,0.023528,81.2454,-99,-99,0.0000,4,13,1043007,43,-99,,,,
717502.39700,4475676.83000,c043a07,575,193,9540.0000,-99.0000,24354.0000,0.023243,181.1171,-99,-99,4104.0000,3,14,1043008,43,-99,,,,
717520.39700,4475652.83000,c043a08,581,201,4104.0000,-99.0000,24354.0000,0.023521,79.8024,-99,-99,0.0000,4,15,1043009,43,-99,,,,
717724.39700,4476144.83000,c051a00,649,37,630.0000,-99.0000,13509.0000,0.066660,90.5892,-99,-99,0.0000,4,16,1051001,51,-99,,,,
717856.39700,4476144.83000,c051a01,693,37,1269.0000,-99.0000,24651.0000,0.047143,80.5686,-99,-99,0.0000,4,17,1051002,51,-99,,,,
717733.39700,4476141.83000,c051a02,652,38,756.0000,-99.0000,13509.0000,0.066660,84.6542,-99,-99,630.0000,4,18,1051003,51,-99,,,,
717745.39700,4476135.83000,c051a03,656,40,1233.0000,-99.0000,13509.0000,0.023563,88.7098,-99,-99,756.0000,3,19,1051004,51,-99,,,,
717844.39700,4476135.83000,c051a04,689,40,1620.0000,-99.0000,24651.0000,0.047136,94.8006,-99,-99,1269.0000,4,20,1051005,51,-99,,,,
717835.39700,4476132.83000,c051a05,686,41,1755.0000,-99.0000,24651.0000,0.047143,87.2159,-99,-99,1620.0000,4,21,1051006,51,-99,,,,
717862.39700,4476132.83000,c051a06,695,41,2115.0000,-99.0000,24651.0000,0.033337,84.2140,-99,-99,0.0000,4,22,1051007,51,-99,,,,
717847.39700,4476129.83000,c051a07,690,42,2259.0000,-99.0000,24651.0000,0.047143,126.2945,-99,-99,2115.0000,4,23,1051008,51,-99,,,,
717826.39700,4476114.83000,c051a08,683,47,4401.0000,-99.0000,24651.0000,0.023563,112.9486,-99,-99,4014.0000,3,24,1051009,51,-99,,,,
717862.39700,4476078.83000,c051a09,695,59,1368.0000,-99.0000,24651.0000,0.066670,140.7630,-99,-99,0.0000,3,25,1051010,51,-99,,,,
717688.39700,4476045.83000,c051a10,637,70,1710.0000,-99.0000,13509.0000,0.047145,100.1084,-99,-99,0.0000,3,26,1051011,51,-99,,,,
717826.39700,4476006.83000,c051a11,683,83,1557.0000,-99.0000,24651.0000,0.033337,90.0818,-99,-99,0.0000,3,27,1051012,51,-99,,,,
717664.39700,4476012.83000,c052a00,629,81,1557.0000,-99.0000,3987.0000,0.023570,115.3218,-99,-99,0.0000,4,28,1052001,52,-99,,,,
717676.39700,4476012.83000,c052a01,633,81,2124.0000,-99.0000,3987.0000,0.033327,108.1136,-99,-99,1557.0000,4,29,1052002,52,-99,,,,
717682.39700,4476012.83000,c052a02,635,81,2349.0000,-99.0000,3987.0000,0.033333,78.0896,-99,-99,2124.0000,3,30,1052003,52,-99,,,,
717793.39700,4475850.83000,c061a00,672,135,16758.0000,-99.0000,18090.0000,0.022896,308.7531,-99,-99,15885.0000,3,31,1061001,61,-99,,,,
717805.39700,4475847.83000,c061a01,676,136,15885.0000,-99.0000,18090.0000,0.023542,309.3393,-99,-99,14733.0000,4,32,1061002,61,-99,,,,
717817.39700,4475844.83000,c061a02,680,137,14733.0000,-99.0000,18090.0000,0.033297,286.9344,-99,-99,14292.0000,4,33,1061003,61,-99,,,,
717835.39700,4475844.83000,c061a03,686,137,14292.0000,-99.0000,18090.0000,0.023566,529.0158,-99,-99,13374.0000,4,34,1061004,61,-99,,,,
717853.39700,4475838.83000,c061a04,692,139,13374.0000,-99.0000,18090.0000,0.033303,291.3650,-99,-99,13032.0000,4,35,1061005,61,-99,,,,
717859.39700,4475838.83000,c061a05,694,139,13032.0000,-99.0000,18090.0000,0.023566,254.3246,-99,-99,12015.0000,4,36,1061006,61,-99,,,,
717862.39700,4475832.83000,c061a06,695,141,12015.0000,-99.0000,18090.0000,0.023563,234.4364,-99,-99,11826.0000,4,37,1061007,61,-99,,,,
717868.39700,4475829.83000,c061a07,697,142,11826.0000,-99.0000,18090.0000,0.033327,257.9387,-99,-99,10359.0000,4,38,1061008,61,-99,,,,
717877.39700,4475826.83000,c061a08,700,143,10359.0000,-99.0000,18090.0000,0.023558,202.0841,-99,-99,9981.0000,4,39,1061009,61,-99,,,,
717886.39700,4475817.83000,c061a09,703,146,9981.0000,-99.0000,18090.0000,0.033293,217.3931,-99,-99,6534.0000,4,40,1061010,61,-99,,,,
717775.39700,4475811.83000,c061a10,666,148,19485.0000,-99.0000,25371.0000,0.033283,379.3306,-99,-99,18558.0000,3,41,1061011,61,-99,,,,
717892.39700,4475805.83000,c061a11,705,150,6534.0000,-99.0000,18090.0000,0.023544,85.3668,-99,-99,6489.0000,4,42,1061012,61,-99,,,,
717898.39700,4475796.83000,c061a12,707,153,6489.0000,-99.0000,18090.0000,0.023549,126.4747,-99,-99,3942.0000,4,43,1061013,61,-99,,,,
717772.39700,4475793.83000,c061a13,665,154,18558.0000,-99.0000,25371.0000,0.033287,361.3201,-99,-99,18234.0000,4,44,1061014,61,-99,,,,
717919.39700,4475778.83000,c061a14,714,159,3942.0000,-99.0000,18090.0000,0.033307,85.9280,-99,-99,0.0000,4,45,1061015,61,-99,,,,
717772.39700,4475772.83000,c061a15,665,161,18234.0000,-99.0000,25371.0000,0.023535,673.6460,-99,-99,17100.0000,4,46,1061016,61,-99,,,,
717775.39700,4475754.83000,c061a16,666,167,17100.0000,-99.0000,25371.0000,0.023535,332.8998,-99,-99,12420.0000,4,47,1061017,61,-99,,,,
717787.39700,4475739.83000,c061a17,670,172,12420.0000,-99.0000,25371.0000,0.000010,162.1966,-99,-99,11790.0000,4,48,1061018,61,-99,,,,
717799.39700,4475733.83000,c061a18,674,174,11790.0000,-99.0000,25371.0000,0.023556,436.2301,-99,-99,11286.0000,4,49,1061019,61,-99,,,,
717805.39700,4475730.83000,c061a19,676,175,11286.0000,-99.0000,25371.0000,0.033327,220.2672,-99,-99,10683.0000,4,50,1061020,61,-99,,,,
717811.39700,4475730.83000,c061a20,678,175,10683.0000,-99.0000,25371.0000,0.033323,208.4621,-99,-99,10314.0000,4,51,1061021,61,-99,,,,
717820.39700,4475727.83000,c061a21,681,176,10314.0000,-99.0000,25371.0000,0.033317,224.9197,-99,-99,9936.0000,4,52,1061022,61,-99,,,,
717829.39700,4475727.83000,c061a22,684,176,9936.0000,-99.0000,25371.0000,0.023537,367.1173,-99,-99,8892.0000,4,53,1061023,61,-99,,,,
717844.39700,4475724.83000,c061a23,689,177,8892.0000,-99.0000,25371.0000,0.023551,328.9382,-99,-99,7965.0000,4,54,1061024,61,-99,,,,
717853.39700,4475715.83000,c061a24,692,180,7965.0000,-99.0000,25371.0000,0.023556,173.6980,-99,-99,7020.0000,4,55,1061025,61,-99,,,,
717865.39700,4475706.83000,c061a25,696,183,7020.0000,-99.0000,25371.0000,0.033303,152.9495,-99,-99,5625.0000,4,56,1061026,61,-99,,,,
717877.39700,4475703.83000,c061a26,700,184,5625.0000,-99.0000,25371.0000,0.033307,109.6457,-99,-99,3933.0000,4,57,1061027,61,-99,,,,
717886.39700,4475700.83000,c061a27,703,185,3933.0000,-99.0000,25371.0000,0.033293,76.5900,-99,-99,0.0000,4,58,1061028,61,-99,,,,
717814.39700,4475916.83000,c062a00,679,113,4329.0000,-99.0000,9801.0000,0.032350,79.5973,-99,-99,0.0000,3,59,1062001,62,-99,,,,
717253.39700,4475721.83000,c073a00,492,178,3780.0000,-99.0000,6714.0000,0.023563,73.7719,-99,-99,0.0000,4,60,1073001,73,-99,,,,
717259.39700,4475718.83000,c073a01,494,179,4302.0000,-99.0000,6714.0000,0.023573,83.9930,-99,-99,3780.0000,4,61,1073002,73,-99,,,,
717265.39700,4475718.83000,c073a02,496,179,4338.0000,-99.0000,6714.0000,0.033293,84.4768,-99,-99,4302.0000,4,62,1073003,73,-99,,,,
717295.39700,4475715.83000,c073a03,506,180,6696.0000,-99.0000,6714.0000,0.023521,130.1461,-99,-99,4338.0000,3,63,1073004,73,-99,,,,
717670.39700,4475610.83000,c101a00,631,215,9747.0000,-99.0000,29817.0000,0.000010,125.9934,-99,-99,0.0000,4,64,1101001,101,-99,,,,
717574.39700,4475571.83000,c101a01,599,228,4149.0000,-99.0000,29817.0000,0.023464,89.7719,-99,-99,0.0000,3,65,1101002,101,-99,,,,
717607.39700,4475541.83000,c101a02,610,238,21114.0000,-99.0000,29817.0000,0.033247,409.9197,-99,-99,13752.0000,3,66,1101003,101,-99,,,,
717661.39700,4475523.83000,c101a03,628,244,4005.0000,-99.0000,29817.0000,0.023464,86.6562,-99,-99,0.0000,4,67,1101004,101,-99,,,,
717763.39700,4475436.83000,c122a00,662,273,2178.0000,-99.0000,3231.0000,0.023363,109.2370,-99,-99,0.0000,3,68,1122001,122,-99,,,,
717862.39700,4475391.83000,c123a00,695,288,2628.0000,-99.0000,14067.0000,0.023570,87.3647,-99,-99,0.0000,3,69,1123001,123,-99,,,,
717811.39700,4475646.83000,c131a00,678,203,13374.0000,-99.0000,29565.0000,0.023521,259.9488,-99,-99,11547.0000,4,70,1131001,131,-99,,,,
717826.39700,4475637.83000,c131a01,683,206,11547.0000,-99.0000,29565.0000,0.033277,224.6556,-99,-99,11466.0000,4,71,1131002,131,-99,,,,
717853.39700,4475637.83000,c131a02,692,206,11466.0000,-99.0000,29565.0000,0.033327,223.6697,-99,-99,11178.0000,4,72,1131003,131,-99,,,,
717859.39700,4475637.83000,c131a03,694,206,11178.0000,-99.0000,29565.0000,0.033337,231.4386,-99,-99,11151.0000,4,73,1131004,131,-99,,,,
717865.39700,4475637.83000,c131a04,696,206,11151.0000,-99.0000,29565.0000,0.033323,243.2356,-99,-99,10854.0000,4,74,1131005,131,-99,,,,
