27
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	63	1	[213.34]
2	64	128	1	[237.98]
3	129	323	1	[688.87]
4	324	357	2	[106.46]
5	358	417	1	[219.25]
6	418	419	2	[4.24]
7	420	540	2	[418.4]
8	541	570	1	[95.7]
9	571	687	2	[408.89]
10	688	736	1	[175.07]
11	737	842	1	[357.25]
12	843	877	2	[129.34]
13	878	1004	1	[446.35]
14	1005	1124	1	[432.8]
15	1125	1159	1	[116.91]
16	1160	1171	1	[37.97]
17	1172	1204	2	[123.34]
18	1205	1286	2	[288.98]
19	1287	1317	1	[116.1]
20	1318	1343	2	[103.58]
21	1344	1387	2	[170.01]
22	1388	1448	3	[196.15]
23	1449	1501	1	[174.64]
24	1502	1544	1	[168.25]
25	1545	1647	2	[359.43]
26	1648	1737	3	[311.74]
27	1738	1739	3	[7.24]
