27
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	63	1	1	1
2	2	64	128	2	2	1
3	3	129	323	3	3	1
4	4	324	357	4	4	1
5	5	358	417	5	5	1
6	6	418	419	6	6	1
7	7	420	540	7	7	1
8	8	541	570	8	8	1
9	9	571	687	9	9	1
10	10	688	736	10	10	1
11	11	737	842	11	11	1
12	12	843	877	12	12	1
13	13	878	1004	13	13	1
14	14	1005	1124	14	14	1
15	15	1125	1159	15	15	1
16	16	1160	1171	16	16	1
17	17	1172	1204	17	17	1
18	18	1205	1286	18	18	1
19	19	1287	1317	19	19	1
20	20	1318	1343	20	20	1
21	21	1344	1387	21	21	1
22	22	1388	1448	22	22	1
23	23	1449	1501	23	23	1
24	24	1502	1544	24	24	1
25	25	1545	1647	25	25	1
26	26	1648	1737	26	26	1
27	27	1738	1739	27	27	1
