737
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	3.0
2	2	3	1	3.0
3	3	4	1	3.0
4	4	5	1	4.242640687119285
5	5	6	1	3.0
6	6	7	1	3.0
7	7	8	1	4.242640687119285
8	8	9	1	3.0
9	9	10	1	3.0
10	10	11	1	3.0
11	11	12	1	4.242640687119285
12	12	13	1	3.0
13	13	14	1	3.0
14	14	15	1	3.0
15	15	16	1	3.0
16	16	17	1	3.0
17	17	18	1	3.0
18	18	19	1	3.0
19	19	20	1	3.0
20	20	21	1	3.0
21	21	22	1	4.242640687119285
22	22	23	1	4.242640687119285
23	23	24	1	3.0
24	24	25	1	3.0
25	25	26	1	3.0
26	26	27	1	3.0
27	27	28	1	3.0
28	28	29	1	4.242640687119285
29	29	30	1	3.0
30	30	31	1	3.0
31	31	32	1	3.0
32	32	33	1	3.0
33	33	34	1	3.0
34	34	35	1	4.242640687119285
35	35	36	1	4.242640687119285
36	36	37	1	3.0
37	37	38	1	3.0
38	38	39	1	4.242640687119285
39	39	40	1	3.0
40	40	41	1	3.0
41	41	42	1	4.242640687119285
42	42	43	1	3.0
43	43	44	1	3.0
44	44	45	1	4.242640687119285
45	45	46	1	3.0
46	46	47	1	4.242640687119285
47	47	48	1	4.242640687119285
48	48	49	1	4.242640687119285
49	49	50	1	4.242640687119285
50	50	51	1	3.0
51	51	52	1	3.0
52	52	53	1	4.242640687119285
53	53	54	1	3.0
54	54	55	1	4.242640687119285
55	55	56	1	3.0
56	56	57	1	4.242640687119285
57	57	58	1	3.0
58	58	59	1	3.0
59	59	60	1	3.0
60	60	61	1	4.242640687119285
61	61	62	1	4.242640687119285
62	62	63	1	3.0
63	63	64	1	3.0
64	64	65	1	3.0
65	65	66	1	4.242640687119285
66	66	67	1	3.0
67	67	68	1	3.0
68	68	69	1	4.242640687119285
69	69	70	1	3.0
70	70	71	1	3.0
71	71	72	1	3.0
72	72	73	1	4.242640687119285
73	73	74	1	3.0
74	74	75	1	3.0
75	75	76	1	4.242640687119285
76	76	77	1	3.0
77	77	78	1	3.0
78	78	79	1	3.0
79	79	80	1	3.0
80	80	81	1	4.242640687119285
81	81	82	1	3.0
82	82	83	1	3.0
83	83	84	1	3.0
84	84	85	1	3.0
85	85	86	1	3.0
86	86	87	1	3.0
87	87	88	1	3.0
88	88	89	1	3.0
89	89	90	1	4.242640687119285
90	90	91	1	3.0
91	91	92	1	3.0
92	92	93	1	4.242640687119285
93	93	94	1	3.0
94	94	95	1	3.0
95	95	96	1	3.0
96	96	97	1	4.242640687119285
97	97	98	1	4.242640687119285
98	98	99	1	4.242640687119285
99	99	100	1	4.242640687119285
100	100	101	1	4.242640687119285
101	101	102	1	4.242640687119285
102	102	103	1	4.242640687119285
103	103	104	1	4.242640687119285
104	104	105	1	4.242640687119285
105	105	106	1	4.242640687119285
106	106	107	1	4.242640687119285
107	107	108	1	3.0
108	108	109	1	3.0
109	109	110	1	4.242640687119285
110	110	111	1	3.0
111	111	112	1	4.242640687119285
112	112	113	1	4.242640687119285
113	113	114	1	3.0
114	114	115	1	3.0
115	115	116	1	3.0
116	116	117	1	3.0
117	117	118	1	3.0
118	118	119	1	3.0
119	119	120	1	3.0
120	120	121	1	3.0
121	121	122	1	3.0
122	122	123	1	3.0
123	123	124	1	3.0
124	124	125	1	3.0
125	125	126	1	4.242640687119285
126	126	127	1	4.242640687119285
127	127	128	1	3.0
128	128	129	1	3.0
129	129	130	1	3.0
130	130	131	1	3.0
131	131	132	1	3.0
132	132	133	1	3.0
133	133	134	1	3.0
134	134	135	1	3.0
135	135	136	1	3.0
136	136	137	1	4.242640687119285
137	137	138	1	4.242640687119285
138	138	139	1	4.242640687119285
139	139	140	1	3.0
140	140	141	1	4.242640687119285
141	141	142	1	3.0
142	142	143	1	4.242640687119285
143	143	144	1	3.0
144	144	145	1	4.242640687119285
145	145	146	1	3.0
146	146	147	1	3.0
147	147	148	1	3.0
148	148	149	1	4.242640687119285
149	149	150	1	4.242640687119285
150	150	151	1	4.242640687119285
151	151	152	1	4.242640687119285
152	152	153	1	3.0
153	153	154	1	3.0
154	154	155	1	4.242640687119285
155	155	156	1	3.0
156	156	157	1	3.0
157	157	158	1	3.0
158	158	159	1	3.0
159	159	160	1	3.0
160	160	161	1	4.242640687119285
161	161	162	1	3.0
162	162	163	1	3.0
163	163	164	1	3.0
164	164	165	1	3.0
165	165	166	1	3.0
166	166	167	1	3.0
167	167	168	1	3.0
168	168	169	1	3.0
